"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"64303600001171","Nodes","1171","21.000000","30.664051","Default Known Flow Node","Known Flow","348421.402914","682521.192675","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001119","Nodes","1119","21.000000","26.092917","Default Known Flow Node","Known Flow","348703.944041","682767.690997","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001121","Nodes","1121","21.000000","26.093433","Default Known Flow Node","Known Flow","348709.743043","682761.874995","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001145","Nodes","1145","21.000000","26.094598","Default Known Flow Node","Known Flow","348710.758613","682764.629155","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001123","Nodes","1123","21.000000","35.068276","Default Known Flow Node","Known Flow","348200.991904","682971.627052","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001126","Nodes","1126","21.000000","39.098429","Default Known Flow Node","Known Flow","348208.943907","682711.870982","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001130","Nodes","1130","21.000000","30.117765","Default Known Flow Node","Known Flow","348462.180975","682505.961926","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001132","Nodes","1132","21.000000","29.338834","Default Known Flow Node","Known Flow","348826.553075","682901.250033","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001133","Nodes","1133","21.000000","35.285653","Default Known Flow Node","Known Flow","348156.210892","683079.609082","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001139","Nodes","1139","21.000000","39.192506","Default Known Flow Node","Known Flow","348389.001215","682840.334144","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001140","Nodes","1140","21.000000","30.117765","Default Known Flow Node","Known Flow","348465.835976","682493.402922","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001143","Nodes","1143","21.000000","32.750495","Default Known Flow Node","Known Flow","348496.671985","682746.139991","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001148","Nodes","1148","21.000000","38.574731","DDS demands","Known Flow","348250.797636","682752.148324","","0.000000","","","","","-3.190000","","","","","-2.852555","-3.190000","","","","","","","D1 PROFILE","","","",""
"64303600001110","Nodes","1110","21.000000","38.866709","Default Known Flow Node","Known Flow","348257.647920","682737.302989","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001149","Nodes","1149","21.000000","38.574731","Default Known Flow Node","Known Flow","348238.935915","682747.328991","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001129","Nodes","1129","21.000000","38.476914","Default Known Flow Node","Known Flow","348402.016959","682816.349010","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001151","Nodes","1151","21.000000","38.290869","Default Known Flow Node","Known Flow","348405.264960","682818.735011","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001141","Nodes","1141","21.000000","30.117765","Default Known Flow Node","Known Flow","348469.528977","682486.876920","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001146","Nodes","1146","21.000000","34.440046","DDS demands","Known Flow","348129.587885","682941.540044","","0.000000","","","","","-2.049999","","","","","-1.833146","-2.049999","","","","","","","D1 PROFILE","","","",""
"64303600001156","Nodes","1156","21.000000","35.818277","Default Known Flow Node","Known Flow","348246.053917","683103.294088","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001158","Nodes","1158","21.000000","30.662796","Default Known Flow Node","Known Flow","348792.926065","683015.838064","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001159","Nodes","1159","21.000000","36.568472","DDS demands","Known Flow","348276.335925","682858.920022","","0.000000","","","","","-1.059999","","","","","-0.947870","-1.059999","","","","","","","D1 PROFILE","","","",""
"64303600001161","Nodes","1161","21.000000","39.141103","Default Known Flow Node","Known Flow","348385.681182","682839.609348","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001163","Nodes","1163","21.000000","30.117765","Default Known Flow Node","Known Flow","348463.736976","682501.739924","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001164","Nodes","1164","21.000000","30.117765","Default Known Flow Node","Known Flow","348460.228975","682499.736924","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001095","Nodes","1095","21.000000","29.101973","Default Known Flow Node","Known Flow","348686.002036","682817.791010","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001167","Nodes","1167","21.000000","33.880636","Default Known Flow Node","Known Flow","348364.268949","683110.238090","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
