"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"64304500001030","Nodes","","21.000000","42.245044","Default Known Flow Node","Known Flow","305061.709630","666695.729745","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"64304500002905","Nodes","2905","21.000000","41.877457","Default Known Flow Node","Known Flow","305019.224154","666698.458624","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"64304500001943","Nodes","","21.000000","24.976326","DDS demands","Known Flow","303217.973664","668593.084140","","0.000000","","","","","","","-11.019999","","","","","","","","-9.854281","-11.019999","","","","","","","","","D1 PROFILE","","","","","","",""
"64304500001025","Nodes","1025, O/S 14 Lenzie Avenue Deans, ID10150","21.000000","24.906471","Val Log Post","Known Flow","303242.012414","668634.469014","","0.000000","","","","","","","-3.140000","","","","","","","","-2.807844","-3.140000","","","","","","","","","D1 PROFILE","","","","","","",""
"64304500001944","Nodes","1944","21.000000","24.807386","DDS demands","Known Flow","303223.723666","668641.209153","","0.000000","","","","","","","-2.369999","","","","","","","","-2.119296","-2.369999","","","","","","","","","D1 PROFILE","","","","","","",""
"64304500002519","Nodes","2519","21.000000","33.123650","Default Known Flow Node","Known Flow","306267.994828","665707.193104","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"64304500001018","Nodes","1018, 77 Easter Bankton, ID10118","21.000000","33.112330","Val Log Post","Known Flow","306260.575529","665714.160521","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"64304500001414","Nodes","1414","21.000000","33.089728","DDS demands","Known Flow","306248.474489","665730.583361","","0.000000","","","","","","","-10.770000","","","","","","","","-9.630727","-10.770000","","","","","","","","","D1 PROFILE","","","","","","",""
"64304503850975","Nodes","-3850975","21.000000","40.367460","Default Known Flow Node","Known Flow","305679.879334","667968.448970","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"64304500000398","Nodes","398","21.000000","40.367460","DDS demands","Known Flow","305681.349334","667970.083970","","0.000000","","","","","","","-13.569999","","","","","","","","-12.134536","-13.569999","","","","","","","","","D1 PROFILE","","","","","","",""
"64304503407856","Nodes","7856,S11126479, ALMONDVALE NORTH, SCH 93.05","21.000000","24.629492","Point Loads","Known Flow","305519.099468","666784.304137","","0.000000","","","","","","","","","","","","-93.049999","","","-83.206973","-93.049999","","","","","","","","","","","","","","PL-AF PROFILE","",""
"64304500001024","Nodes","1024,P00072449, Quentin Rise, -14.20","22.999998","29.772526","CSEP DDS Matched","Known Flow","305318.910236","666047.048447","","0.000000","","","","","","","","-14.199999","","","","","","","-12.697893","-14.199999","","","","","","","","","","DC PROFILE","","","","","",""
"64304500000011","Nodes","Dedridge West DG, Clocked, Site ID 5866","21.000000","36.500002","Default Known Pressure Node","Known Pressure","305298.849230","665889.083404","","999998.967025","","","","","","","","","","","","","","","937.417577","1048.309981","","","","","","","","","","","","","","","",""
"64304501553766","Nodes","-1553766","21.000000","40.391180","Default Known Flow Node","Known Flow","304927.204591","666816.934417","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
