"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)"
"64301800000385","Nodes","","21.000000","30.775306","DDS demands","Known Flow","298500.173766","665660.488968","","0.000000","","","","","-5.800000","","-5.186464","-5.800000","","","","","","","D1 PROFILE",""
"64301800000398","Nodes","","21.000000","31.418969","Default Known Flow Node","Known Flow","298500.612380","665716.460357","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000442","Nodes","","21.000000","26.793334","Default Known Flow Node","Known Flow","298351.472340","666039.333445","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000276","Nodes","","21.000000","25.695195","Default Known Flow Node","Known Flow","298041.344255","665991.988432","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000277","Nodes","","21.000000","25.695195","Default Known Flow Node","Known Flow","298028.899252","666028.062442","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000303","Nodes","","21.000000","29.366709","Default Known Flow Node","Known Flow","298150.011285","665794.841378","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000315","Nodes","","21.000000","25.768366","Default Known Flow Node","Known Flow","298039.609255","665966.867425","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000316","Nodes","","21.000000","25.689869","Default Known Flow Node","Known Flow","298041.194255","665993.838433","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800003628","Nodes","-220644","21.000000","24.759999","Default Known Flow Node","Known Flow","298193.821297","665486.594294","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000382","Nodes","","21.000000","29.031155","DDS demands","Known Flow","298507.104382","665478.447292","","0.000000","","","","","-2.240000","","-2.003048","-2.240000","","","","","","","D1 PROFILE",""
"64301800000383","Nodes","","21.000000","28.986650","Default Known Flow Node","Known Flow","298510.129383","665460.044287","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000394","Nodes","","21.000000","27.293014","DDS demands","Known Flow","298431.864097","665542.166457","","0.000000","","","","","-7.199999","","-6.438368","-7.199999","","","","","","","D1 PROFILE",""
"64301800000403","Nodes","","21.000000","29.519227","DDS demands","Known Flow","298469.041093","665615.893397","","0.000000","","","","","-11.570000","","-10.346101","-11.570000","","","","","","","D1 PROFILE",""
"64301800000388","Nodes","","21.000000","28.020837","Default Known Flow Node","Known Flow","298384.563349","665612.973329","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000392","Nodes","","21.000000","29.851798","DDS demands","Known Flow","298512.336918","665574.774967","","0.000000","-6.000000","","","","","","-5.365307","-6.000000","","","C1 PROFILE","","","","",""
"64301800000393","Nodes","","21.000000","29.590847","Default Known Flow Node","Known Flow","298571.941400","665634.381335","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000405","Nodes","","21.000000","26.429528","DDS demands","Known Flow","298346.532338","665529.797306","","0.000000","","","","","-11.199999","","-10.015240","-11.199999","","","","","","","D1 PROFILE",""
"64301800000407","Nodes","","21.000000","26.370526","DDS demands","Known Flow","298349.011339","665514.584302","","0.000000","","","","","-10.249999","","-9.165733","-10.249999","","","","","","","D1 PROFILE",""
"64301800000408","Nodes","","21.000000","26.598862","DDS demands","Known Flow","298397.169352","665495.018297","","0.000000","","","","","-6.800000","","-6.080681","-6.800000","","","","","","","D1 PROFILE",""
"64301800000511","Nodes","","21.000000","26.988953","Default Known Flow Node","Known Flow","298973.078509","665438.871282","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000518","Nodes","","21.000000","26.988953","Default Known Flow Node","Known Flow","298971.912509","665451.148285","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000512","Nodes","","21.000000","26.988953","Default Known Flow Node","Known Flow","298972.398509","665443.259283","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000085","Nodes","85","21.000000","24.855547","DDS demands","Known Flow","300787.122750","666206.210416","","0.000000","","","","","-3.549999","","-3.174473","-3.549999","","","","","","","D1 PROFILE",""
"64301800000056","Nodes","56","21.000000","25.909978","DDS demands","Known Flow","298160.291288","665984.045430","","0.000000","","","","","-7.979999","","-7.135858","-7.979999","","","","","","","D1 PROFILE",""
"64301800001000","Nodes","Logger 10065, 9 Dean Place, Seafield","21.000000","25.170779","Val Log Cath","Known Flow","300853.641637","666190.973776","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000016","Nodes","Redhouse Road RRI","21.000000","49.999998","Default Known Pressure Node","Known Pressure","299745.472719","665581.458320","","499.999994","","","","","","","21.264501","23.779999","","","","","","","",""
"64301800000027","Nodes","27","21.000000","43.063905","DDS demands","Known Flow","300013.168792","665353.159258","","0.000000","","","","","-2.890000","","-2.584289","-2.890000","","","","","","","D1 PROFILE",""
"64301800000163","Nodes","163","21.000000","35.138801","DDS demands","Known Flow","300578.618206","666050.690520","","0.000000","","","","","-11.960000","","-10.694846","-11.960000","","","","","","","D1 PROFILE",""
"64301800000201","Nodes","201","21.000000","29.935886","Default Known Flow Node","Known Flow","298126.600753","665756.577104","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000151","Nodes","151","21.000000","26.386073","DDS demands","Known Flow","298564.757398","665934.820416","","0.000000","","","","","-10.679999","","-9.550247","-10.679999","","","","","","","D1 PROFILE",""
"64301800000245","Nodes","245","21.000000","49.951152","DDS demands","Known Flow","298972.579500","666102.838885","","0.000000","","","","","-2.640000","","-2.360735","-2.640000","","","","","","","D1 PROFILE",""
"64301800000055","Nodes","55","21.000000","26.623676","Default Known Flow Node","Known Flow","298170.011784","665911.942004","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000054","Nodes","54","21.000000","26.660915","DDS demands","Known Flow","298187.358951","665914.771315","","0.000000","","","","","-4.010000","","-3.585814","-4.010000","","","","","","","D1 PROFILE",""
"64301800000217","Nodes","217","21.000000","24.260683","DDS demands","Known Flow","298628.097415","666125.333468","","0.000000","","","","","-5.680000","","-5.079157","-5.680000","","","","","","","D1 PROFILE",""
"64301800001009","Nodes","Logger 10054, 34 Bathgate Road","21.000000","32.438240","Val Log Cath","Known Flow","298490.463927","665830.576462","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000073","Nodes","73","21.000000","27.622829","DDS demands","Known Flow","298047.943959","665822.261637","","0.000000","","","","","-3.420000","","-3.058225","-3.420000","","","","","","","D1 PROFILE",""
"64301800000099","Nodes","99","21.000000","25.107383","DDS demands","Known Flow","298064.904262","665997.370433","","0.000000","","","","","-6.939999","","-6.205872","-6.939999","","","","","","","D1 PROFILE",""
"64301800001001","Nodes","Logger 10233, 126 Riddochill Road","21.000000","25.900218","Val Log Cath","Known Flow","298063.625093","665561.596470","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000081","Nodes","81","21.000000","26.735759","DDS demands","Known Flow","298342.988367","665558.948986","","0.000000","","","","","-2.450000","","-2.190834","-2.450000","","","","","","","D1 PROFILE",""
"64301800001002","Nodes","","21.000000","26.989857","DDS demands","Known Flow","298969.412790","665438.238437","","0.000000","","-27.269999","","","-19.069999","","-41.438058","-46.339997","","","","C2 PROFILE","","","D1 PROFILE",""
"64301800000174","Nodes","P00079671, Redhouse Court 2, 38.3","22.999998","64.071455","CSEP DDS Matched","Known Flow","299448.548638","665278.847238","","0.000000","","","","","","-38.299999","-34.248545","-38.299999","","","","","","","","DC PROFILE"
"64301800001007","Nodes","Wester Brioch Road DG","21.000000","74.999996","Default Known Pressure Node","Known Pressure","299355.317495","665356.694530","","499.999994","","","","","","","73.799803","82.529998","","","","","","","",""
"64301800001008","Nodes","1008","21.000000","74.595850","DDS demands","Known Flow","299356.685323","665355.202639","","0.000000","","","","","-14.330000","","-12.814142","-14.330000","","","","","","","D1 PROFILE",""
"64301800000075","Nodes","75","21.000000","27.562648","DDS demands","Known Flow","298042.086256","665779.820374","","0.000000","","","","","-4.409999","","-3.943500","-4.409999","","","","","","","D1 PROFILE",""
