"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IC)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IC)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"64401200005390","Nodes",,21.000000,37.149268,"Default Known Flow Node","Known Flow",276840.216486,658984.206525,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"64401201463463","Nodes",,21.000000,43.210001,"Default Known Flow Node","Known Flow",276887.841499,658680.206442,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"64401200005371","Nodes",,21.000000,43.210001,"Default Known Flow Node","Known Flow",276894.966501,658670.956440,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"64401201463510","Nodes",,21.000000,44.156692,"Default Known Flow Node","Known Flow",276921.216508,658639.956431,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"64401200005366","Nodes",,21.000000,44.199736,"Default Known Flow Node","Known Flow",276929.591511,658630.956429,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"64401200005383","Nodes",,21.000000,35.968849,"Default Known Flow Node","Known Flow",276572.841414,658915.706507,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"64401200005382","Nodes",,21.000000,35.968849,"Default Known Flow Node","Known Flow",276594.966420,658887.581499,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"64401200001859","Nodes","1859",21.000000,35.968553,"DDS demands","Known Flow",276598.716421,658926.206509,,0.000000,-7.309999,,,,,,,,,,,,,,,,-6.536732,-7.309999,,"","C1 PROFILE",,,,,,,,,,,,,,,
"64401200003190","Nodes","3190",21.000000,35.968713,"Default Known Flow Node","Known Flow",276589.716418,658924.206509,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"64401200001862","Nodes","1862",21.000000,39.005848,"DDS demands","Known Flow",276742.341460,658889.081499,,0.000000,,,,,,,-2.750000,,,,,,,,,,-2.459099,-2.750000,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"64401200000723","Nodes","723",21.000000,38.945979,"Default Known Flow Node","Known Flow",276766.716466,658917.081507,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
