"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)"
"64303100001246","Nodes","-207261",21.000000,33.890772,"Default Known Flow Node","Known Flow",336382.120688,584510.860260,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001263","Nodes","-82621",21.000000,38.954741,"Default Known Flow Node","Known Flow",336340.000677,584666.762303,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100000056","Nodes","56",21.000000,37.798473,"DDS","Known Flow",336355.226681,584726.908319,,0.000000,,,,,-19.969998,,-17.857530,-19.969998,,"",,,,,"D1 PROFILE",
"64303100000118","Nodes","118",21.000000,40.163299,"DDS","Known Flow",336271.388820,584695.496284,,0.000000,,,,,-8.739999,,-7.815464,-8.739999,,"",,,,,"D1 PROFILE",
"64303100000099","Nodes","99",21.000000,38.660202,"DDS","Known Flow",336056.531600,584815.211343,,0.000000,,-43.009997,,,-1.469999,,-39.774811,-44.479998,,"",,"C2 PROFILE",,,"D1 PROFILE",
"64303100001261","Nodes","-82617",21.000000,40.436324,"Default Known Flow Node","Known Flow",336264.439964,584693.440978,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001262","Nodes","-82619",21.000000,40.187513,"Default Known Flow Node","Known Flow",336269.872658,584697.290311,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100000032","Nodes","32",21.000000,34.454288,"DDS","Known Flow",336501.589721,584558.235273,,0.000000,,,,,-20.200000,,-18.063201,-20.200000,,"",,,,,"D1 PROFILE",
"64303100000038","Nodes","38",21.000000,33.632307,"DDS","Known Flow",336522.809035,584736.641959,,0.000000,,,,,-4.060000,,-3.630524,-4.060000,,"",,,,,"D1 PROFILE",
"64303100000103","Nodes","103",21.000000,34.151238,"DDS","Known Flow",336604.145749,584708.138314,,0.000000,,,,,-2.279999,,-2.038816,-2.279999,,"",,,,,"D1 PROFILE",
"64303100000057","Nodes","57",21.000000,33.752141,"DDS","Known Flow",336681.257770,584452.569244,,0.000000,,,,,-12.220000,,-10.927343,-12.220000,,"",,,,,"D1 PROFILE",
"64303100000033","Nodes","33",21.000000,34.379362,"DDS","Known Flow",336511.986724,584567.657276,,0.000000,,,,,-10.289999,,-9.201502,-10.289999,,"",,,,,"D1 PROFILE",
"64303100000039","Nodes","39",21.000000,33.691713,"DDS","Known Flow",336566.307738,584462.462247,,0.000000,,,,,-9.260000,,-8.280457,-9.260000,,"",,,,,"D1 PROFILE",
"64303100000112","Nodes","112",21.000000,39.732807,"DDS","Known Flow",335701.535503,585058.562409,,0.000000,,,,,-4.630000,,-4.140228,-4.630000,,"",,,,,"D1 PROFILE",
"64303100000097","Nodes","97",21.000000,39.795494,"DDS","Known Flow",335617.176480,585056.924409,,0.000000,,,,,-9.560000,,-8.548724,-9.560000,,"",,,,,"D1 PROFILE",
"64303100000092","Nodes","92",21.000000,39.766415,"DDS","Known Flow",335672.280495,585090.679418,,0.000000,,,,,-1.789999,,-1.600649,-1.789999,,"",,,,,"D1 PROFILE",
"64303100001258","Nodes","-785946",21.000000,27.129363,"Default Known Flow Node","Known Flow",336257.680654,584736.149322,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001256","Nodes","-396064",21.000000,43.443332,"Default Known Flow Node","Known Flow",336065.580695,584627.088040,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100000021","Nodes","21",21.000000,26.857224,"DDS","Known Flow",336247.633652,584709.096314,,0.000000,,,,,-10.399999,,-9.299865,-10.399999,,"",,,,,"D1 PROFILE",
"64303100001257","Nodes","-396065",21.000000,43.443332,"Default Known Flow Node","Known Flow",336076.367596,584620.271341,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001222","Nodes","-1428085",21.000000,25.997235,"Default Known Flow Node","Known Flow",336716.332779,584260.675192,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100000054","Nodes","54",21.000000,25.807611,"DDS","Known Flow",336762.106792,584238.590186,,0.000000,,,,,-4.639999,,-4.149170,-4.639999,,"",,,,,"D1 PROFILE",
"64303100000055","Nodes","55",21.000000,21.303913,"DDS","Known Flow",336917.509834,584037.958132,,0.000000,,,,,-20.139999,,-18.009548,-20.139999,,"",,,,,"D1 PROFILE",
"64303100001220","Nodes","-1428082",21.000000,24.952434,"DDS","Known Flow",336661.444764,584106.422150,,0.000000,-35.509999,,,,,,-31.753676,-35.509999,,"","C1 PROFILE",,,,,
"64303100001223","Nodes","-1428086",21.000000,24.996549,"Default Known Flow Node","Known Flow",336728.293783,584038.462132,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100000117","Nodes","117",21.000000,25.536677,"Default Known Flow Node","Known Flow",336672.123767,584167.139167,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001221","Nodes","-1428084",21.000000,24.864224,"Default Known Flow Node","Known Flow",336716.482779,584009.176124,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001226","Nodes","-207230",21.000000,42.017713,"Default Known Flow Node","Known Flow",335654.138315,584641.323571,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100000109","Nodes","109",21.000000,41.801705,"DDS","Known Flow",335683.540498,584638.913295,,0.000000,,,,,-20.670000,-11.170000,-18.483484,-20.670000,,"",,,,,"D1 PROFILE","DM PROFILE"
"64303100001224","Nodes","-1534925",21.000000,32.395128,"Default Known Flow Node","Known Flow",335942.360569,584538.191268,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001225","Nodes","-207229",21.000000,42.017713,"Default Known Flow Node","Known Flow",335651.688490,584615.573289,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001009","Nodes","1009",21.000000,25.461330,"DDS","Known Flow",336616.048752,584228.756184,,0.000000,,,,,-5.019999,,-4.488973,-5.019999,,"",,,,,"D1 PROFILE",
"64303100001007","Nodes","1007",21.000000,21.303913,"Default Known Flow Node","Known Flow",336914.910833,584071.063141,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001005","Nodes","1005",21.000000,21.750289,"Default Known Flow Node","Known Flow",336938.168840,584105.465150,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100000091","Nodes","91",21.000000,44.348047,"DDS","Known Flow",336202.531639,584541.262269,,0.000000,,,,,-6.560000,,-5.866069,-6.560000,,"",,,,,"D1 PROFILE",
"64303100001004","Nodes","1004",21.000000,42.298045,"Default Known Flow Node","Known Flow",336239.781660,584635.204030,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001006","Nodes","Langholm DG, GCU, Tel, Constant, Site ID 6242",21.000000,47.999998,"Default Known Pressure Node","Known Pressure",336032.638593,584491.659255,,5497.999949,,,,,,,1104.189257,1234.810068,,"",,,,,,
"64303100001003","Nodes","1003",21.000000,47.176608,"Default Known Flow Node","Known Flow",336029.951459,584483.354445,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001264","Nodes",,21.000000,34.128915,"Default Known Flow Node","Known Flow",336277.982080,584534.640934,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001013","Nodes",,21.000000,46.184859,"Default Known Flow Node","Known Flow",336006.441586,584476.692251,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001016","Nodes",,21.000000,45.142818,"Default Known Flow Node","Known Flow",335766.626521,584445.076242,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001017","Nodes",,21.000000,46.086965,"Default Known Flow Node","Known Flow",335991.979582,584463.813247,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001018","Nodes",,21.000000,46.086965,"Default Known Flow Node","Known Flow",335998.381584,584450.363244,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001036","Nodes",,21.000000,46.086965,"Default Known Flow Node","Known Flow",335989.353351,584471.726622,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001021","Nodes",,21.000000,42.147387,"Default Known Flow Node","Known Flow",335617.993480,584618.525290,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001022","Nodes",,21.000000,42.017713,"Default Known Flow Node","Known Flow",335631.812484,584620.555290,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001023","Nodes",,21.000000,42.147387,"Default Known Flow Node","Known Flow",335617.867480,584617.028289,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001025","Nodes",,21.000000,46.846718,"Default Known Flow Node","Known Flow",336021.423590,584480.457252,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001026","Nodes",,21.000000,46.846718,"Default Known Flow Node","Known Flow",336021.844590,584479.294252,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001027","Nodes",,21.000000,42.017713,"Default Known Flow Node","Known Flow",335655.263491,584641.173296,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001030","Nodes",,21.000000,47.704645,"Default Known Flow Node","Known Flow",336040.799595,584487.077254,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001032","Nodes",,21.000000,44.983793,"Default Known Flow Node","Known Flow",335802.257968,584432.561562,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001034","Nodes",,21.000000,44.929201,"Default Known Flow Node","Known Flow",335584.139471,584418.137235,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001035","Nodes",,21.000000,44.929201,"Default Known Flow Node","Known Flow",335584.209471,584422.667236,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001037","Nodes",,21.000000,45.027753,"Default Known Flow Node","Known Flow",335817.964535,584425.911237,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001043","Nodes",,21.000000,36.753070,"Default Known Flow Node","Known Flow",336143.609623,584748.626325,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001044","Nodes",,21.000000,36.612559,"Default Known Flow Node","Known Flow",336155.353627,584780.725334,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001040","Nodes",,21.000000,42.627963,"Default Known Flow Node","Known Flow",336090.298609,584690.815309,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001047","Nodes",,21.000000,42.562625,"Default Known Flow Node","Known Flow",336090.884629,584692.212720,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001045","Nodes",,21.000000,40.566348,"Default Known Flow Node","Known Flow",336110.057614,584738.263322,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001087","Nodes",,21.000000,41.539319,"Default Known Flow Node","Known Flow",335704.361504,584664.122302,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001024","Nodes",,21.000000,42.017713,"Default Known Flow Node","Known Flow",335635.601485,584643.799296,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001057","Nodes",,21.000000,39.012764,"Default Known Flow Node","Known Flow",336046.993597,584788.690336,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001059","Nodes",,21.000000,39.673374,"Default Known Flow Node","Known Flow",336118.577617,584757.884328,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001067","Nodes",,21.000000,39.673374,"Default Known Flow Node","Known Flow",336123.285193,584770.626858,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001061","Nodes",,21.000000,38.852067,"Default Known Flow Node","Known Flow",335958.760573,584842.739351,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001062","Nodes",,21.000000,38.852067,"Default Known Flow Node","Known Flow",335953.197572,584827.122346,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001065","Nodes",,21.000000,39.918523,"Default Known Flow Node","Known Flow",335656.536491,584999.316393,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001060","Nodes",,21.000000,39.673374,"Default Known Flow Node","Known Flow",336124.389618,584773.616332,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001071","Nodes",,21.000000,39.692890,"Default Known Flow Node","Known Flow",336120.666617,584756.913327,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001072","Nodes",,21.000000,42.680221,"Default Known Flow Node","Known Flow",336088.002608,584683.178307,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001070","Nodes",,21.000000,42.551274,"Default Known Flow Node","Known Flow",336232.663648,584634.815294,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001084","Nodes",,21.000000,38.939178,"Default Known Flow Node","Known Flow",336002.640585,584806.804341,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001085","Nodes",,21.000000,38.939178,"Default Known Flow Node","Known Flow",336001.274585,584803.105340,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001091","Nodes",,21.000000,34.112984,"Default Known Flow Node","Known Flow",336582.498743,584642.301296,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001094","Nodes",,21.000000,25.542120,"DDS","Known Flow",336673.931768,584170.470168,,0.000000,,,,,-7.840000,,-7.010668,-7.840000,,"",,,,,"D1 PROFILE",
"64303100001101","Nodes",,21.000000,31.997829,"DDS","Known Flow",336504.845722,584437.857240,,0.000000,,,,,-2.789999,,-2.494867,-2.789999,,"",,,,,"D1 PROFILE",
