"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(TT)"
"64401000000030","Nodes","30","21.000000","32.442836","DDS demands","Known Flow","287641.344425","694182.091103","","0.000000","","","","","","","-4.900000","","","","","","","-4.381668","-4.900000","","","","","","","","","","D1 PROFILE","","","","","","",""
"64401000000635","Nodes","635","21.000000","32.592105","DDS demands","Known Flow","287590.467894","694209.342493","","0.000000","","","","","","","-8.010000","","","","","","","-7.162685","-8.010000","","","","","","","","","","D1 PROFILE","","","","","","",""
"64401000000029","Nodes","29","21.000000","32.541732","DDS demands","Known Flow","287598.219414","694214.841112","","0.000000","","","","","","","-2.689999","","","","","","","-2.405446","-2.689999","","","","","","","","","","D1 PROFILE","","","","","","",""
"64401000012172","Nodes","","21.000000","33.695805","Default Known Flow Node","Known Flow","287696.012595","694094.487243","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64401000001614","Nodes","Inglewood Fogger","21.000000","33.775046","Fogger On","Known Flow","287705.129443","694085.889077","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64401000015765","Nodes","-1462874","21.000000","32.701278","Default Known Flow Node","Known Flow","287599.719186","693921.658065","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64401000012157","Nodes","","21.000000","32.705390","Default Known Flow Node","Known Flow","287599.706414","693920.207032","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64401000012179","Nodes","","21.000000","33.560114","Default Known Flow Node","Known Flow","287702.783383","694132.394854","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64401000000203","Nodes","203","21.000000","33.827322","DDS demands","Known Flow","287702.096233","694131.593179","","0.000000","","","","","","","-5.789999","","","","","","","-5.177521","-5.789999","","","","","","","","","","D1 PROFILE","","","","","","",""
"64401000012183","Nodes","","21.000000","31.168296","Default Known Flow Node","Known Flow","287706.950747","693840.233154","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64401000012224","Nodes","","21.000000","31.098727","Default Known Flow Node","Known Flow","287713.947291","693833.499637","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64401000012184","Nodes","","21.000000","30.255044","Default Known Flow Node","Known Flow","287689.006499","693823.516028","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64401000016433","Nodes","-245","21.000000","29.798110","Default Known Flow Node","Known Flow","287741.219453","693759.590988","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64401000001515","Nodes","1515","21.000000","32.397144","DDS demands","Known Flow","287655.359575","694245.748702","","0.000000","","","","","","","-4.349999","","","","","","","-3.889847","-4.349999","","","","","","","","","","D1 PROFILE","","","","","","",""
"64401000001559","Nodes","1559","21.000000","32.368812","DDS demands","Known Flow","287702.094442","694249.216121","","0.000000","","","","","","","-5.689999","","","","","","","-5.088099","-5.689999","","","","","","","","","","D1 PROFILE","","","","","","",""
