"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"64402300001136","Nodes","","21.000000","26.011775","Default Known Flow Node","Known Flow","303673.780220","637725.037507","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001129","Nodes","","21.000000","26.147959","Default Known Flow Node","Known Flow","303640.899779","637736.541743","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001130","Nodes","","21.000000","26.147959","Default Known Flow Node","Known Flow","303642.610780","637747.465746","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001131","Nodes","","21.000000","25.951631","Default Known Flow Node","Known Flow","303677.734789","637702.670734","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001137","Nodes","","21.000000","25.951631","Default Known Flow Node","Known Flow","303677.448760","637700.991666","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001134","Nodes","","21.000000","25.800102","Default Known Flow Node","Known Flow","303696.671794","637704.374735","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001132","Nodes","","21.000000","26.054879","Default Known Flow Node","Known Flow","303674.774788","637685.294730","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001135","Nodes","","21.000000","26.147959","Default Known Flow Node","Known Flow","303660.602784","637727.248741","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001147","Nodes","","21.000000","36.747896","Default Known Flow Node","Known Flow","304015.759701","637866.305710","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001153","Nodes","","21.000000","27.248075","Default Known Flow Node","Known Flow","303674.719788","637827.671768","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
