"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)"
"94120701462499","Nodes","1462499",21.000000,26.932014,"Default Known Flow Node","Known Flow",555763.417384,97665.428786,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94120709507070","Nodes","9507070",21.000000,28.967822,"Default Known Flow Node","Known Flow",555774.148913,97945.564759,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94120701462484","Nodes","1462484",21.000000,26.879956,"DDS demands","Known Flow",555791.917392,97746.053808,,0.000000,,,,,-1.559999,,-1.394979,-1.559999,,"",,,,,"",
"94120701462506","Nodes","1462506",21.000000,26.933845,"DDS demands","Known Flow",555796.917393,97663.928785,,0.000000,,,,,-5.330000,,-4.766181,-5.330000,,"",,,,,"",
"94120709507077","Nodes","9507077",21.000000,26.735978,"DDS demands","Known Flow",555814.417398,97808.803825,,0.000000,,,,,-2.200000,,-1.967279,-2.200000,,"",,,,,"",
"94120701462500","Nodes","1462500",21.000000,26.725704,"Default Known Flow Node","Known Flow",555816.792399,97815.553827,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94120701462471","Nodes","1462471",21.000000,26.517671,"DDS demands","Known Flow",555848.792408,97904.053851,,0.000000,,,,,-4.280000,,-3.827252,-4.280000,,"",,,,,"",
"94120709507078","Nodes","9507078",21.000000,26.470883,"DDS demands","Known Flow",555858.032802,97929.339313,,0.000000,,,,,-1.259999,,-1.126714,-1.259999,,"",,,,,"D1 PROFILE",
"94120709507079","Nodes","9507079",21.000000,26.558485,"Default Known Flow Node","Known Flow",555924.917428,97927.303857,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94120709507085","Nodes","9507085",21.000000,24.823775,"DDS demands","Known Flow",555965.917439,97994.678875,,0.000000,,,,,-7.820000,,-6.992784,-7.820000,,"",,,,,"",
"94120709507069","Nodes","9507069",21.000000,29.743611,"Default Known Flow Node","Known Flow",555788.920241,97970.918037,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94120700000021","Nodes","21",21.000000,28.880593,"Default Known Flow Node","Known Flow",555803.042395,97935.178859,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94120709507067","Nodes","9507067",21.000000,30.007981,"Default Known Flow Node","Known Flow",555793.792393,97980.928872,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94120701462492","Nodes","1462492",21.000000,29.805098,"DDS demands","Known Flow",555733.460836,97974.359602,,0.000000,,,,,-1.980000,,-1.770551,-1.980000,,"",,,,,"D1 PROFILE",
"94120709507114","Nodes","9507114",21.000000,24.410401,"DDS demands","Known Flow",555018.042181,97959.053866,,0.000000,,,,,-5.199999,,-4.649932,-5.199999,,"",,,,,"D1 PROFILE",
