"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)"
"94104302903092","Nodes","2903092",21.000000,27.882512,"Default Known Flow Node","Known Flow",517409.000000,143477.325000,,0.000000,,,,0.000000,0.000000,,"",,,
"94104302903094","Nodes","2903094",21.000000,27.805647,"Default Known Flow Node","Known Flow",517420.125000,143461.950000,,0.000000,,,,0.000000,0.000000,,"",,,
"94104302903095","Nodes","2903095",21.000000,27.805410,"Default Known Flow Node","Known Flow",517420.250000,143461.700000,,0.000000,,,,0.000000,0.000000,,"",,,
"94104302903089","Nodes","2903089",21.000000,27.804847,"DDS demands","Known Flow",517405.000000,143443.075000,,0.000000,,,-0.680000,-0.608068,-0.680000,,"",,,"D1 PROFILE"
"94104302903099","Nodes","2903099",21.000000,27.716248,"DDS demands","Known Flow",517434.000000,143472.825000,,0.000000,,,-0.970000,-0.867391,-0.970000,,"",,,"D1 PROFILE"
"94104302903098","Nodes","2903098",21.000000,27.700572,"Default Known Flow Node","Known Flow",517431.125000,143446.200000,,0.000000,,,,0.000000,0.000000,,"",,,
"94104302903096","Nodes","2903096",21.000000,27.781320,"DDS demands","Known Flow",517421.125000,143427.200000,,0.000000,,,-1.690000,-1.511228,-1.690000,,"",,,"D1 PROFILE"
"94104302903100","Nodes","2903100",21.000000,27.696654,"DDS demands","Known Flow",517444.875000,143457.200000,,0.000000,,,-1.779999,-1.591707,-1.779999,,"",,,"D1 PROFILE"
"94104302903005","Nodes","PHILPOTTS YARD, HORSHAM ROAD RRI",21.000000,30.000000,"Default Known Pressure Node","Known Pressure",517798.875000,143488.825000,,999998.967025,,,,46.392016,51.879999,,"",,,
"94104302903065","Nodes","2903065",21.000000,29.797543,"DDS demands","Known Flow",517799.500000,143486.700000,,0.000000,,,-10.029999,-8.969005,-10.029999,,"",,,"D1 PROFILE"
"94104302903126","Nodes","2903126",21.000000,26.809359,"DDS demands","Known Flow",517756.875000,143463.825000,,0.000000,-36.429999,,-5.420000,-37.423018,-41.850000,,"","C1 PROFILE",,"D1 PROFILE"
"94104302903093","Nodes","2903093",21.000000,27.895973,"DDS demands","Known Flow",517413.875000,143505.200000,,0.000000,,,-0.579999,-0.518646,-0.579999,,"",,,"D1 PROFILE"
"94104302903050","Nodes","2903050",21.000000,29.985023,"DDS demands","Known Flow",517480.250000,143742.200000,,0.000000,,,-3.400000,-3.040340,-3.400000,,"",,,"D1 PROFILE"
"94104302903106","Nodes","2903106",21.000000,29.688821,"DDS demands","Known Flow",517359.750000,143617.450000,,0.000000,,,-5.189999,-4.640990,-5.189999,,"",,,"D1 PROFILE"
"94104302903002","Nodes","HAWKESMOORE DRVIE DG,",21.000000,30.000000,"Default Known Pressure Node","Known Pressure",517483.875000,143741.700000,,999998.967025,,,,7.681330,8.590000,,"",,,
"94104302903087","Nodes","2903087",21.000000,27.979028,"Default Known Flow Node","Known Flow",517394.875000,143538.950000,,0.000000,,,,0.000000,0.000000,,"",,,
"94104302903088","Nodes","2903088",21.000000,27.965559,"DDS demands","Known Flow",517402.625000,143530.825000,,0.000000,,,-0.990000,-0.885275,-0.990000,,"",,,"D1 PROFILE"
"94104302903097","Nodes","2903097",21.000000,28.145898,"Default Known Flow Node","Known Flow",517429.500000,143647.825000,,0.000000,,,,0.000000,0.000000,,"",,,
"94104302903091","Nodes","2903091",21.000000,27.831699,"DDS demands","Known Flow",517408.625000,143580.075000,,0.000000,,,-9.039999,-8.083729,-9.039999,,"",,,"D1 PROFILE"
"94104302903024","Nodes","2903024",21.000000,28.172973,"DDS demands","Known Flow",517461.625000,143637.575000,,0.000000,,,-2.030000,-1.815262,-2.030000,,"",,,"D1 PROFILE"
"94104302903101","Nodes","2903101",21.000000,28.167924,"DDS demands","Known Flow",517459.250000,143666.700000,,0.000000,,,-1.469999,-1.314500,-1.469999,,"",,,"D1 PROFILE"
"94104302903076","Nodes","2903076",21.000000,28.126216,"Default Known Flow Node","Known Flow",517491.750000,143632.950000,,0.000000,,,,0.000000,0.000000,,"",,,
"94104302903042","Nodes","2903042",21.000000,28.154177,"DDS demands","Known Flow",517456.125000,143609.200000,,0.000000,,,-2.230000,-1.994105,-2.230000,,"",,,"D1 PROFILE"
