"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"94118900000142","Nodes","142",21.000000,68.757393,"Default Known Flow Node","Known Flow",518974.696854,118785.681392,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118909303039","Nodes","9303039",21.000000,66.458826,"Default Known Flow Node","Known Flow",518966.743103,118992.305392,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118909303040","Nodes","9303040",21.000000,68.795595,"Default Known Flow Node","Known Flow",518985.168324,118787.481916,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118909303042","Nodes","9303042",21.000000,67.144220,"DDS demands","Known Flow",518976.058654,118499.762175,,0.000000,,,-10.620000,,,,,-9.496594,-10.620000,,"",,,"D1 PROFILE",,,,
"94118900000143","Nodes","143",21.000000,65.210146,"Default Known Flow Node","Known Flow",518996.383728,118962.027851,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118909303046","Nodes","9303046",21.000000,65.210146,"Default Known Flow Node","Known Flow",519008.551954,118969.527452,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118900000144","Nodes","144",21.000000,65.210146,"Default Known Flow Node","Known Flow",519006.813636,118926.864162,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118900000145","Nodes","145",21.000000,65.210146,"Default Known Flow Node","Known Flow",519011.283596,118934.761093,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118900000148","Nodes","148",21.000000,65.210146,"Default Known Flow Node","Known Flow",519023.302823,118939.131721,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118900000147","Nodes","147",21.000000,65.210146,"Default Known Flow Node","Known Flow",519016.299885,118931.731453,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118909303001","Nodes","STAR ROAD IND. ESTATE, PARTRIDGE GREEN, TRS, Site ID 3245",21.000000,69.999999,"Default Known Pressure Node","Known Pressure",519222.672924,118697.718818,,3230.000127,,,,,,,,717.618709,802.510005,,"",,,,,,,
"94118909303041","Nodes","9303041",21.000000,69.992963,"Default Known Flow Node","Known Flow",519221.549920,118699.075781,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118900000150","Nodes","150",21.000000,65.210146,"Default Known Flow Node","Known Flow",519032.093746,118952.938932,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118900000146","Nodes","146",21.000000,65.210146,"Default Known Flow Node","Known Flow",519013.915907,118926.864162,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118909303043","Nodes","9303043",21.000000,69.242535,"DDS demands","Known Flow",519086.540941,118837.652397,,0.000000,,,,,-35.759998,,,-31.977231,-35.759998,,"",,,,,"I2 PROFILE",,
"94118900000149","Nodes","149",21.000000,69.242535,"Default Known Flow Node","Known Flow",519092.344799,118851.593623,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118909303020","Nodes","9303020",21.000000,65.482957,"DDS demands","Known Flow",518927.151360,119079.502827,,0.000000,,-7.459999,-28.129999,,,,,-31.825215,-35.589999,,"",,"C4 PROFILE","D1 PROFILE",,,,
"94118900000105","Nodes","105",21.000000,62.832305,"Default Known Flow Node","Known Flow",518918.788976,119225.476724,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118909303060","Nodes","9303060",21.000000,62.832305,"DDS demands","Known Flow",518923.076903,119212.942787,,0.000000,,,-1.209999,,,,,-1.082003,-1.209999,,"",,,"D1 PROFILE",,,,
"94118900000111","Nodes","111",21.000000,61.124324,"DDS demands","Known Flow",518966.809199,119397.389111,,0.000000,,,-1.580000,,,,,-1.412864,-1.580000,,"",,,"D1 PROFILE",,,,
"94118900903062","Nodes","903062",21.000000,61.126490,"DDS demands","Known Flow",518965.833529,119384.575315,,0.000000,,,-2.170000,,,,,-1.940452,-2.170000,,"",,,"D1 PROFILE",,,,
"94118909303019","Nodes","P06110347, Church Road, Partridge Road, 12.28",22.999998,61.996265,"CSEP DDS Matched","Known Flow",518832.230736,119330.506854,,0.000000,,,,-12.279999,,,,-10.980995,-12.279999,,"",,,,"DC PROFILE",,,
"94118900000106","Nodes","106",21.000000,65.439071,"Default Known Flow Node","Known Flow",518924.290945,119085.103306,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118909303044","Nodes","9303044",21.000000,63.584653,"DDS demands","Known Flow",518808.620499,119194.636461,,0.000000,,,-3.489999,,,,,-3.120820,-3.489999,,"",,,"D1 PROFILE",,,,
"94118900000108","Nodes","108",21.000000,62.832305,"Default Known Flow Node","Known Flow",518928.024510,119195.932443,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118900000113","Nodes","113",21.000000,62.840179,"Default Known Flow Node","Known Flow",518996.909372,119237.766600,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118909303061","Nodes","9303061",21.000000,61.193349,"DDS demands","Known Flow",518930.333255,119372.266567,,0.000000,,,-3.910000,,,,,-3.496392,-3.910000,,"",,,"D1 PROFILE",,,,
