"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"94122009901082","Nodes","9901082",21.000000,26.559352,"DDS demands","Known Flow",544096.789210,101791.929909,,0.000000,,,,,,,-10.110000,,,,,,-9.040542,-10.110000,,"",,,,,,,"D1 PROFILE",,,,,
"94122009901220","Nodes","9901220",21.000000,31.863231,"DDS demands","Known Flow",543756.898839,100812.906409,,0.000000,,,,,,,-25.280000,,,,,,-22.605829,-25.280000,,"",,,,,,,"D1 PROFILE",,,,,
"941220-9901135","Nodes","-9901135",21.000000,30.377129,"Default Known Flow Node","Known Flow",543948.160409,100873.212249,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"94122009901063","Nodes","9901063",21.000000,29.837390,"DDS demands","Known Flow",544023.167732,100874.146470,,0.000000,,,,,,,-17.360000,,,,,,-15.523622,-17.360000,,"",,,,,,,"D1 PROFILE",,,,,
"94122009901066","Nodes","9901066",21.000000,29.514981,"DDS demands","Known Flow",544202.109285,100909.469156,,0.000000,,,,,,,-18.189999,,,,,,-16.265823,-18.189999,,"",,,,,,,"D1 PROFILE",,,,,
"94122009901067","Nodes","9901067",21.000000,29.266320,"DDS demands","Known Flow",544241.181479,100959.730869,,0.000000,,,,,,,-7.539999,,,,,,-6.742402,-7.539999,,"",,,,,,,"D1 PROFILE",,,,,
"94122009901068","Nodes","9901068",21.000000,29.250663,"DDS demands","Known Flow",544256.517244,100979.637398,,0.000000,,,,,,,-13.760000,,,,,,-12.304439,-13.760000,,"",,,,,,,"D1 PROFILE",,,,,
"94122009901152","Nodes","9901152",21.000000,32.171804,"DDS demands","Known Flow",543350.150786,100367.457163,,0.000000,,,,,,,-0.970000,,,,,,-0.867391,-0.970000,,"",,,,,,,"D1 PROFILE",,,,,
"94122009901016","Nodes","9901016",21.000000,32.520828,"DDS demands","Known Flow",543312.538996,100436.429540,,0.000000,,,,,,,-1.159999,,,,,,-1.037292,-1.159999,,"",,,,,,,"D1 PROFILE",,,,,
"94122009901017","Nodes","9901017",21.000000,31.617231,"DDS demands","Known Flow",543476.280877,100475.178046,,0.000000,,,,,,,-3.450000,,,,,,-3.085051,-3.450000,,"",,,,,,,"D1 PROFILE",,,,,
"941220-329219","Nodes","-329219",21.000000,32.345809,"Default Known Flow Node","Known Flow",543404.914021,100377.929524,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"941220-432744","Nodes","-432744",21.000000,31.011339,"Default Known Flow Node","Known Flow",544225.164245,100308.679505,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"941220-432745","Nodes","-432745",21.000000,31.011339,"Default Known Flow Node","Known Flow",544249.914251,100315.554507,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"941220-432752","Nodes","-432752",21.000000,31.791850,"Default Known Flow Node","Known Flow",544295.539264,100334.429512,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"941220-432757","Nodes","-432757",21.000000,31.791850,"Default Known Flow Node","Known Flow",544317.664270,100345.304515,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"94122009901181","Nodes","9901181",21.000000,31.662646,"DDS demands","Known Flow",544332.789274,100317.179507,,0.000000,,,,,,,-38.669999,,,,,,-34.579405,-38.669999,,"",,,,,,,"D1 PROFILE",,,,,
"94122009901182","Nodes","9901182",21.000000,31.544396,"DDS demands","Known Flow",544315.539269,100308.429505,,0.000000,,,,,,,-18.620001,,,,,,-16.650337,-18.620001,,"",,,,,,,"D1 PROFILE",,,,,
"941220-399339","Nodes","-399339",21.000000,31.504961,"Default Known Flow Node","Known Flow",544301.289265,100301.804503,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"94122009901183","Nodes","9901183",21.000000,31.011339,"DDS demands","Known Flow",544255.399347,100285.971421,,0.000000,,,,,,,-16.639999,,,,,,-14.879785,-16.639999,,"",,,,,,,"D1 PROFILE",,,,,
"941220-432750","Nodes","-432750",21.000000,31.011339,"Default Known Flow Node","Known Flow",544264.789255,100319.554508,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"94122009901186","Nodes","9901186",21.000000,31.511292,"DDS demands","Known Flow",544323.289271,100293.429501,,0.000000,-1.929999,,,,,,-16.260000,,,,,,-16.265824,-18.190001,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,,,
"941220-432762","Nodes","-432762",21.000000,31.619590,"Default Known Flow Node","Known Flow",544331.664274,100352.554517,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"941220-432751","Nodes","-432751",21.000000,31.640501,"Default Known Flow Node","Known Flow",544281.164260,100226.929483,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"94122009901187","Nodes","9901187",21.000000,31.855330,"DDS demands","Known Flow",544370.164284,100239.804486,,0.000000,,,,,,,-0.910000,,,,,,-0.813738,-0.910000,,"",,,,,,,"D1 PROFILE",,,,,
"94122009901180","Nodes","9901180",21.000000,32.920063,"DDS demands","Known Flow",544541.168443,100466.044795,,0.000000,-2.580000,,,0.000000,,,-47.039999,,,,,,-44.371092,-49.619997,,"","C1 PROFILE",,,"C4 PROFILE",,,"D1 PROFILE",,,,,
"941220-201427","Nodes","-201427",21.000000,32.920063,"Default Known Flow Node","Known Flow",544557.914335,100414.304534,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"94122009901188","Nodes","9901188",21.000000,34.118400,"Default Known Flow Node","Known Flow",545046.414468,100166.929466,,0.000000,,,,-8.739999,,,,,,,,,-7.815464,-8.739999,,"",,,,"C4 PROFILE",,,,,,,,
"94122009901040","Nodes","9901040",21.000000,34.119888,"DDS demands","Known Flow",545032.296712,100254.556400,,0.000000,,,,0.000000,,,-17.049999,,,,,,-15.246414,-17.049999,,"",,,,"C4 PROFILE",,,"D1 PROFILE",,,,,
"941220-318055","Nodes","-318055",21.000000,34.160608,"Default Known Flow Node","Known Flow",545029.789464,100260.929492,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"94122009901041","Nodes","9901041",21.000000,34.837292,"Default Known Flow Node","Known Flow",544799.414401,100425.929537,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"941220-441568","Nodes","-441568",21.000000,34.126244,"Default Known Flow Node","Known Flow",545031.914464,100255.554491,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"94122009901189","Nodes","9901189",21.000000,34.597460,"Default Known Flow Node","Known Flow",545003.414456,100195.054474,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"941220-321789","Nodes","-321789",21.000000,32.586002,"Default Known Flow Node","Known Flow",542885.663880,100827.429646,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"94122009901149","Nodes","9901149",21.000000,32.760241,"Default Known Flow Node","Known Flow",542915.413888,100726.054619,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"94122009901142","Nodes","9901142",21.000000,32.791355,"DDS demands","Known Flow",542988.693751,100775.981953,,0.000000,,,,,,,-20.739999,,,,,,-18.546079,-20.739999,,"",,,,,,,"D1 PROFILE",,,,,
"94122009901148","Nodes","9901148",21.000000,32.803815,"Default Known Flow Node","Known Flow",542949.413898,100612.429588,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
