"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(I2)"
"94117000044081","Nodes",,21.000000,41.419389,"Default Known Flow Node","Known Flow",500452.277334,107070.556345,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000002408","Nodes",,0.000000,39.460213,"DDS demands","Known Flow",500593.777372,107041.306337,,0.000000,,,,,-4.610000,,-4.122344,-4.610000,,"",,,,,"D1 PROFILE",
"94117000056281","Nodes",,21.000000,37.337969,"DDS demands","Known Flow",500603.554375,106828.716279,,0.000000,,-27.189999,,,-2.630000,,-26.665578,-29.819999,,"",,"C1 PROFILE",,,"D1 PROFILE",
"94117000000183","Nodes",,21.000000,39.348975,"Default Known Flow Node","Known Flow",500595.006030,107011.943375,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000002412","Nodes",,0.000000,39.380565,"Default Known Flow Node","Known Flow",500596.223373,107013.770329,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000056283","Nodes",,21.000000,41.051638,"DDS demands","Known Flow",500619.527379,107022.056332,,0.000000,,,,,-2.019999,,-1.806320,-2.019999,,"",,,,,"D1 PROFILE",
"94117000002415","Nodes",,0.000000,37.498617,"DDS demands","Known Flow",500548.921360,106846.328284,,0.000000,,,,,-3.029999,,-2.709480,-3.029999,,"",,,,,"D1 PROFILE",
"94117000002418","Nodes",,0.000000,31.985985,"Default Known Flow Node","Known Flow",500679.195174,106577.555000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000002419","Nodes",,0.000000,31.983030,"Default Known Flow Node","Known Flow",500675.080222,106583.130629,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000002420","Nodes",,0.000000,32.004488,"DDS demands","Known Flow",500621.978306,106589.638955,,0.000000,,,,,-2.279999,,-2.038816,-2.279999,,"",,,,,"D1 PROFILE",
"94117000000140","Nodes",,21.000000,41.063235,"Default Known Flow Node","Known Flow",501174.450393,106896.059442,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000030763","Nodes",,21.000000,41.117962,"Default Known Flow Node","Known Flow",501284.652560,106886.806295,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000000261","Nodes",,21.000000,41.232871,"Default Known Flow Node","Known Flow",500435.902329,107370.806427,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117001462524","Nodes",,21.000000,40.957898,"DDS demands","Known Flow",500380.777314,107429.556443,,0.000000,,,,,-6.670000,,-5.964433,-6.670000,,"",,,,,"D1 PROFILE",
"94117000036614","Nodes",,21.000000,34.598874,"Default Known Flow Node","Known Flow",501038.043445,106499.624140,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000000035","Nodes",,21.000000,31.315124,"Default Known Flow Node","Known Flow",500798.902113,106358.496691,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000056307","Nodes",,21.000000,49.987045,"Default Known Flow Node","Known Flow",500916.027460,106301.556136,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000000034","Nodes",,21.000000,31.314072,"Default Known Flow Node","Known Flow",500807.988307,106351.473572,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000030773","Nodes",,21.000000,23.419981,"Default Known Flow Node","Known Flow",501332.192588,106373.198699,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117009104186","Nodes",,21.000000,23.474499,"Default Known Flow Node","Known Flow",501357.473474,106426.402824,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000056538","Nodes",,21.000000,34.261406,"Default Known Flow Node","Known Flow",501013.008846,106462.261898,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000056533","Nodes",,21.000000,31.671901,"DDS demands","Known Flow",500876.262103,106619.474643,,0.000000,,,,,-8.630000,,-7.717100,-8.630000,,"",,,,,"D1 PROFILE",
"94117001462502","Nodes",,21.000000,31.267200,"DDS demands","Known Flow",500839.877703,106393.587936,,0.000000,,,,,-1.009999,,-0.903160,-1.009999,,"",,,,,"D1 PROFILE",
"94117000034959","Nodes",,21.000000,46.330421,"Default Known Flow Node","Known Flow",501051.405033,106511.559977,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000056294","Nodes",,21.000000,54.079984,"Default Known Flow Node","Known Flow",500771.152420,106063.306071,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000056303","Nodes",,21.000000,32.182267,"DDS demands","Known Flow",500854.527443,106444.556175,,0.000000,,,,,-1.209999,,-1.082003,-1.209999,,"",,,,,"D1 PROFILE",
"94117000484665","Nodes",,21.000000,23.418719,"DDS demands","Known Flow",501336.191824,106371.341910,,0.000000,,,,,-6.489999,,-5.803474,-6.489999,,"",,,,,"D1 PROFILE",
"94117000056313","Nodes",,21.000000,35.408329,"Default Known Flow Node","Known Flow",500960.402472,106873.306291,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000000124","Nodes",,21.000000,35.405674,"Default Known Flow Node","Known Flow",500948.152469,106878.931293,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000000145","Nodes",,21.000000,35.405674,"Default Known Flow Node","Known Flow",500954.277470,106900.306299,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117001462494","Nodes",,21.000000,37.910645,"Default Known Flow Node","Known Flow",501256.256521,106836.073543,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000000110","Nodes",,21.000000,37.868078,"Default Known Flow Node","Known Flow",501282.200340,106842.870124,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000030735","Nodes",,21.000000,35.209313,"DDS demands","Known Flow",501079.777504,106758.306260,,0.000000,,,,,-12.229999,,-10.936285,-12.229999,,"",,,,,"D1 PROFILE",
"94117000000206","Nodes",,21.000000,37.498629,"Default Known Flow Node","Known Flow",500802.902429,107051.181340,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117001462521","Nodes",,21.000000,37.387210,"DDS demands","Known Flow",500833.777437,107041.931337,,0.000000,,,,,-3.410000,,-3.049283,-3.410000,,"",,,,,"D1 PROFILE",
"94117000000171","Nodes",,21.000000,37.668372,"Default Known Flow Node","Known Flow",500794.777427,106967.556317,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000056301","Nodes",,21.000000,37.665816,"DDS demands","Known Flow",500808.027430,106962.931316,,0.000000,,,,,-5.019999,,-4.488973,-5.019999,,"",,,,,"D1 PROFILE",
"94117000000192","Nodes",,21.000000,37.365959,"Default Known Flow Node","Known Flow",500787.902425,107017.306330,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000030760","Nodes",,21.000000,38.753280,"Default Known Flow Node","Known Flow",501279.318854,106791.647105,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000030753","Nodes",,21.000000,35.924510,"DDS demands","Known Flow",501260.221932,106611.439567,,0.000000,,,,,-5.780000,,-5.168579,-5.780000,,"",,,,,"D1 PROFILE",
"94117000030759","Nodes",,21.000000,40.905044,"Default Known Flow Node","Known Flow",501278.145023,106781.554254,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000056540","Nodes",,21.000000,37.100479,"Default Known Flow Node","Known Flow",501073.027503,106927.431306,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000030737","Nodes",,21.000000,36.966465,"DDS demands","Known Flow",501083.527505,106963.431316,,0.000000,,,,,-4.169999,,-3.728888,-4.169999,,"",,,,,"D1 PROFILE",
"94117000000123","Nodes",,21.000000,35.405674,"Default Known Flow Node","Known Flow",500947.527468,106877.556292,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000034961","Nodes",,21.000000,35.922201,"Default Known Flow Node","Known Flow",501090.277507,106577.306211,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000030744","Nodes",,21.000000,36.669185,"Default Known Flow Node","Known Flow",501191.847649,106666.599222,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000030757","Nodes",,21.000000,41.248610,"Default Known Flow Node","Known Flow",501266.878848,106773.247717,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000030769","Nodes",,21.000000,36.755565,"Default Known Flow Node","Known Flow",501315.152568,106892.181296,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000056530","Nodes",,21.000000,37.359297,"Default Known Flow Node","Known Flow",500785.527424,107017.431330,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000000190","Nodes",,21.000000,37.359297,"Default Known Flow Node","Known Flow",500789.279802,107016.188505,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000056292","Nodes",,21.000000,37.781065,"DDS demands","Known Flow",500767.277419,106970.931318,,0.000000,,,,,-2.779999,,-2.485925,-2.779999,,"",,,,,"D1 PROFILE",
"94117000030745","Nodes",,21.000000,36.147382,"Default Known Flow Node","Known Flow",501214.188932,106581.029091,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117000999636","Nodes",,21.000000,36.075480,"DDS demands","Known Flow",501196.411126,106572.904392,,0.000000,,,,,-3.329999,,-2.977745,-3.329999,,"",,,,,"D1 PROFILE",
"94117000030749","Nodes",,21.000000,35.845092,"DDS demands","Known Flow",501233.160189,106545.778825,,0.000000,,,,,-5.480000,,-4.900314,-5.480000,,"",,,,,"D1 PROFILE",
"94117000056311","Nodes",,21.000000,35.494893,"DDS demands","Known Flow",500954.527470,106850.556285,,0.000000,,,,,-1.940000,,-1.734782,-1.940000,,"",,,,,"D1 PROFILE",
"94117000030733","Nodes",,21.000000,36.345460,"DDS demands","Known Flow",501049.277496,106973.806319,,0.000000,,,,,-3.450000,,-3.085051,-3.450000,,"",,,,,"D1 PROFILE",
"94117000034960","Nodes",,21.000000,36.644717,"DDS demands","Known Flow",501084.902506,107080.556348,,0.000000,,-33.259997,,,,,-29.741685,-33.259997,,"",,"C2 PROFILE",,,,
