"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"94118709301097","Nodes","9301097","21.000000","36.021238","Default Known Flow Node","Known Flow","526277.850000","129944.942812","0.000000","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"94118709301098","Nodes","9301098","21.000000","36.025627","Default Known Flow Node","Known Flow","526285.975000","129942.310000","0.000000","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"94118709301085","Nodes","9301085","21.000000","36.256459","Default Known Flow Node","Known Flow","526312.850000","130006.942812","0.000000","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"94118709301045","Nodes","9301045","21.000000","36.523997","Default Known Flow Node","Known Flow","526341.475000","130074.810000","0.000000","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"94118709301001","Nodes","Handcross Village DG, Site ID 1603,","21.000000","37.000000","Default Known Pressure Node","Known Pressure","526392.850000","130215.310000","","6579.999973","","","","","","","","370.930488","414.809982","","","","","","","","",""
"94118709301049","Nodes","9301049","21.000000","29.020994","DDS demands","Known Flow","526427.975000","130756.192812","0.000000","0.000000","-30.630000","","","","","","","-27.389894","-30.630000","C2 PROFILE","","C2 PROFILE","","","","","",""
"94118709301086","Nodes","9301086","21.000000","28.970534","DDS demands","Known Flow","526401.100000","130750.560000","0.000000","0.000000","-13.080000","","","","","","","-11.696370","-13.080000","","","C2 PROFILE","","","","","",""
"94118709301048","Nodes","9301048","21.000000","29.044024","DDS demands","Known Flow","526460.350000","130792.692812","0.000000","0.000000","-40.400001","","","","","","","-36.126403","-40.400001","C2 PROFILE","","C2 PROFILE","","","","","",""
"94118709301002","Nodes","Handcross Park School DG,","21.000000","29.999977","Default Known Pressure Node","Known Pressure","526727.975000","130549.692812","","0.000000","","","","","","","","96.459286","107.870002","","","","","","","","",""
"94118709301096","Nodes","9301096","21.000000","34.192994","Default Known Flow Node","Known Flow","526217.100000","129764.692812","0.000000","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"94118709301084","Nodes","9301084","21.000000","35.881943","DDS demands","Known Flow","526159.600000","129832.810000","","0.000000","","","","-1.860000","","","","-1.663245","-1.860000","","","","","","D1 PROFILE","","",""
