"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"94120200002126","Nodes","2126, P12128993, Ghyll Road, SCH 44.77","22.999998","38.753252","CSEP DDS Matched","Known Flow","558210.543050","120167.434909","","0.000000","","","","","","-44.770000","","","","0.000000","-40.034135","-44.770000","","","","","","","","DC PROFILE","","","","PL-DC PROFILE"
"94120200002152","Nodes","","21.000000","43.980287","Default Known Flow Node","Known Flow","558238.293058","120318.559950","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120200002073","Nodes","","21.000000","43.999545","Default Known Flow Node","Known Flow","558281.293069","120290.309942","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120200002164","Nodes","","21.000000","43.701895","DDS demands","Known Flow","558245.043060","120345.684957","","0.000000","","","","","-38.959998","","","","","","-34.838726","-38.959998","","","","","","","D1 PROFILE","","","","",""
"94120200002161","Nodes","","21.000000","44.049201","Default Known Flow Node","Known Flow","558251.168061","120341.309956","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120200002162","Nodes","","21.000000","44.140927","Default Known Flow Node","Known Flow","558251.918061","120342.559956","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120200002168","Nodes","","21.000000","45.065759","Default Known Flow Node","Known Flow","558245.168060","120373.434965","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120200002202","Nodes","","21.000000","45.961080","Default Known Flow Node","Known Flow","558256.668063","120447.434985","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120209505021","Nodes","9505021","21.000000","42.506365","DDS demands","Known Flow","558281.168069","120468.934991","","0.000000","","","","","-15.339999","","","","","","-13.717302","-15.339999","","","","","","","D1 PROFILE","","","","",""
"94120200002144","Nodes","","21.000000","43.374812","DDS demands","Known Flow","558272.168067","120281.934940","","0.000000","","","","","-18.010000","","","","","","-16.104864","-18.010000","","","","","","","D1 PROFILE","","","","",""
"94120200002124","Nodes","","21.000000","45.042815","Default Known Flow Node","Known Flow","558302.668075","120131.559899","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120200002123","Nodes","","21.000000","44.999673","Default Known Flow Node","Known Flow","558326.418082","120119.934896","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120200002127","Nodes","","21.000000","45.042815","Default Known Flow Node","Known Flow","558321.395728","120169.570922","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120200002132","Nodes","","21.000000","45.032496","Default Known Flow Node","Known Flow","558344.793087","120217.059922","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120209505032","Nodes","9505032","21.000000","45.054881","DDS demands","Known Flow","558375.293095","120319.684950","","0.000000","","","","","-30.489999","","","","","","-27.264703","-30.489999","","","","","","","D1 PROFILE","","","","",""
"94120209505031","Nodes","9505031","21.000000","44.124070","DDS demands","Known Flow","558401.793102","120496.809998","","0.000000","","","","","-11.439999","","","","","","-10.229852","-11.439999","","","","","","","D1 PROFILE","","","","",""
"94120200002183","Nodes","","21.000000","43.138967","Default Known Flow Node","Known Flow","558415.418106","120408.684974","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120200002181","Nodes","","21.000000","43.138967","Default Known Flow Node","Known Flow","558419.293107","120405.809974","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120209505033","Nodes","9505033","21.000000","43.138967","DDS demands","Known Flow","558420.043107","120415.809976","","0.000000","","","","","-12.729999","","","","","","-11.383393","-12.729999","","","","","","","D1 PROFILE","","","","",""
"94120200002185","Nodes","","21.000000","42.715037","Default Known Flow Node","Known Flow","558479.543123","120425.809979","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120209505034","Nodes","9505034","21.000000","43.980337","DDS demands","Known Flow","558427.043109","120482.559994","","0.000000","","","","","-1.940000","","","","","","-1.734782","-1.940000","","","","","","","D1 PROFILE","","","","",""
"94120200002211","Nodes","","21.000000","42.681762","Default Known Flow Node","Known Flow","558476.668123","120468.059990","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120200002209","Nodes","","21.000000","42.681581","Default Known Flow Node","Known Flow","558484.418125","120465.059990","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
