"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"94117908306105","Nodes","-3362302","21.000000","25.367442","DDS demands","Known Flow","512873.800000","115838.450000","","0.000000","","","","-12.220000","","","","","","-10.927343","-12.220000","","","","","","D1 PROFILE","","","","",""
"94117908306107","Nodes","-3362359","21.000000","31.849787","DDS demands","Known Flow","512983.050000","115809.950000","","0.000000","","","","-7.989999","","","","","","-7.144800","-7.989999","","","","","","D1 PROFILE","","","","",""
"94117908306108","Nodes","-3368990","21.000000","33.911682","DDS demands","Known Flow","513153.550000","115934.200000","","0.000000","","","","-3.370000","","","","","","-3.013514","-3.370000","","","","","","D1 PROFILE","","","","",""
"94117900000230","Nodes","","21.000000","26.973552","Default Known Flow Node","Known Flow","512913.700085","115878.657855","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"94117900000001","Nodes","","21.000000","34.426846","Default Known Flow Node","Known Flow","513249.803345","116282.730142","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"94117900000002","Nodes","","21.000000","34.351749","DDS demands","Known Flow","513291.599351","116243.865131","","0.000000","","","","-4.190000","","","","","","-3.746773","-4.190000","","","","","","D1 PROFILE","","","","",""
"94117900000003","Nodes","8306023","21.000000","32.505419","Default Known Flow Node","Known Flow","513266.675000","116443.450000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"94117900000004","Nodes","","21.000000","34.957744","Default Known Flow Node","Known Flow","513233.714459","116257.090808","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"94117900000006","Nodes","","21.000000","34.999987","Default Known Pressure Node","Known Pressure","512406.728485","116396.529792","","0.000000","","","","","","","","","","13.949799","15.599999","","","","","","","","","","",""
"94117900000008","Nodes","","21.000000","34.670742","Default Known Flow Node","Known Flow","512364.062947","116375.072996","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"94117900000009","Nodes","","21.000000","34.670742","Default Known Flow Node","Known Flow","512435.378890","116360.933835","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"941179-8306035","Nodes","8306035","21.000000","34.016727","Default Known Flow Node","Known Flow","513144.050000","116229.332812","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
