"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"94103304619849","Nodes","4619849","21.000000","32.303591","Default Known Flow Node","Known Flow","494387.525683","156145.569699","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"94103302408132","Nodes","2408132","21.000000","32.253641","Default Known Flow Node","Known Flow","494590.650739","156155.194701","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"94103304622696","Nodes","4622696","21.000000","34.995137","Default Known Flow Node","Known Flow","494510.775717","156300.944741","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"94103304622783","Nodes","4622783","21.000000","35.050818","Default Known Flow Node","Known Flow","494557.062788","156363.205008","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"94103304622762","Nodes","4622762","21.000000","35.022976","Default Known Flow Node","Known Flow","494515.775718","156348.319754","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"94103304625321","Nodes","4625321","21.000000","35.769702","Default Known Flow Node","Known Flow","496293.776202","156029.819667","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"94103304625358","Nodes","4625358","21.000000","35.818491","Default Known Flow Node","Known Flow","496300.401204","156038.069669","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"94103304625329","Nodes","4625329","21.000000","35.836442","Default Known Flow Node","Known Flow","496299.151204","156030.444667","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"94103304625374","Nodes","4625374","21.000000","36.510473","Default Known Flow Node","Known Flow","496486.526255","156115.819691","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"94103304619278","Nodes","4619278","21.000000","37.577648","Default Known Flow Node","Known Flow","496764.651330","156283.944736","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
