"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(IC)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IC)","NodeFlowProfileNameByCategory(PL-AF)"
"94123309211045","Nodes","9211045",21.000000,45.805778,"DDS demands","Known Flow",541430.374583,121070.503463,,0.000000,,,,,-3.849999,,,,,-3.442738,-3.849999,,"",,,,,"D1 PROFILE",,,,
"94123300102806","Nodes","102806",21.000000,46.913606,"DDS demands","Known Flow",541401.657866,121037.919402,,0.000000,,,,,-2.039999,,,,,-1.824204,-2.039999,,"",,,,,"D1 PROFILE",,,,
"94123309211032","Nodes","9211032",21.000000,40.602631,"DDS demands","Known Flow",541441.902971,121295.562225,,0.000000,,,,,-6.670000,,,,,-5.964433,-6.670000,,"",,,,,"D1 PROFILE",,,,
"94123309211085","Nodes","9211085",21.000000,40.350668,"DDS demands","Known Flow",541358.726103,121320.451467,,0.000000,,,,,-5.039999,,,,,-4.506857,-5.039999,,"",,,,,"D1 PROFILE",,,,
"94123300102805","Nodes","102805",21.000000,45.800103,"DDS demands","Known Flow",541389.126600,121085.244773,,0.000000,,,,,-1.370000,,,,,-1.225078,-1.370000,,"",,,,,"D1 PROFILE",,,,
"94123309211073","Nodes","9211073",21.000000,39.974743,"DDS demands","Known Flow",541462.537641,121359.529704,,0.000000,,,,,-2.980000,,,,,-2.664769,-2.980000,,"",,,,,"D1 PROFILE",,,,
"94123309211074","Nodes","9211074",21.000000,39.820312,"DDS demands","Known Flow",541484.448683,121387.950239,,0.000000,,,,,-2.180000,,,,,-1.949395,-2.180000,,"",,,,,"D1 PROFILE",,,,
"94123309211076","Nodes","9211076",21.000000,39.694271,"DDS demands","Known Flow",541334.368683,121327.173689,,0.000000,,,,,-6.489999,,,,,-5.803474,-6.489999,,"",,,,,"D1 PROFILE",,,,
"94123300102820","Nodes","102820",21.000000,44.312548,"Default Known Flow Node","Known Flow",541483.500000,121128.750000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"94123300102818","Nodes","102818",21.000000,27.369982,"Default Known Flow Node","Known Flow",541610.898794,121488.410198,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"94123309211049","Nodes","9211049",21.000000,43.186281,"DDS demands","Known Flow",541707.907107,121089.797761,,0.000000,,,,,-22.059999,,,,,-19.726446,-22.059999,,"",,,,,"D1 PROFILE",,,,
"94123309211031","Nodes","9211031",21.000000,41.869603,"Default Known Flow Node","Known Flow",541543.341483,121255.084075,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"94123309211075","Nodes","9211075",21.000000,39.730855,"DDS demands","Known Flow",541507.955189,121431.772323,,0.000000,,,,,-1.059999,,,,,-0.947870,-1.059999,,"",,,,,"D1 PROFILE",,,,
"94123309211047","Nodes","9211047",21.000000,42.793781,"DDS demands","Known Flow",541522.781750,121208.306931,,0.000000,,,,,-6.829999,,,,,-6.107508,-6.829999,,"",,,,,"D1 PROFILE",,,,
"94123300102830","Nodes","102830",21.000000,42.565769,"DDS demands","Known Flow",541556.500000,121194.382812,,0.000000,,,,,-2.430000,,,,,-2.172949,-2.430000,,"",,,,,"D1 PROFILE",,,,
"94123300102825","Nodes","102825",21.000000,37.474572,"DDS demands","Known Flow",541539.226288,121342.277417,,0.000000,,,,,-2.640000,,,,,-2.360735,-2.640000,,"",,,,,"D1 PROFILE",,,,
"94123309211070","Nodes","9211070",21.000000,37.482787,"DDS demands","Known Flow",541555.180930,121336.852839,,0.000000,,,,,-2.390000,,,,,-2.137181,-2.390000,,"",,,,,"D1 PROFILE",,,,
"94123309211064","Nodes","9211064",21.000000,38.727390,"DDS demands","Known Flow",541658.894751,121196.182574,,0.000000,,,,,-1.519999,,,,,-1.359211,-1.519999,,"",,,,,"D1 PROFILE",,,,
"94123309211065","Nodes","9211065",21.000000,38.416992,"DDS demands","Known Flow",541611.125000,121147.000000,,0.000000,,,,,-6.380000,,,,,-5.705110,-6.380000,,"",,,,,"D1 PROFILE",,,,
"94123309211033","Nodes","9211033",21.000000,39.114876,"DDS demands","Known Flow",541624.625000,121215.632812,,0.000000,,,,,-5.330000,,,,,-4.766181,-5.330000,,"",,,,,"D1 PROFILE",,,,
"94123300102831","Nodes","102831",21.000000,37.472484,"DDS demands","Known Flow",541562.626429,121329.088246,,0.000000,,,,,-3.720000,,,,,-3.326490,-3.720000,,"",,,,,"D1 PROFILE",,,,
"94123309211069","Nodes","9211069",21.000000,37.575072,"DDS demands","Known Flow",541577.411065,121371.208502,,0.000000,,,,,-5.489999,,,,,-4.909256,-5.489999,,"",,,,,"D1 PROFILE",,,,
"94123300102826","Nodes","102826",21.000000,37.548150,"DDS demands","Known Flow",541541.625000,121391.132812,,0.000000,,,,,-3.079999,,,,,-2.754191,-3.079999,,"",,,,,"D1 PROFILE",,,,
"94123300102833","Nodes","102833",21.000000,28.126851,"Default Known Flow Node","Known Flow",541581.325942,121473.097309,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"94123309211025","Nodes","9211025",21.000000,27.894161,"DDS demands","Known Flow",541610.703084,121469.361460,,0.000000,,,,,-4.330000,,,,,-3.871963,-4.330000,,"",,,,,"D1 PROFILE",,,,
"94123300102841","Nodes","102841",21.000000,27.893688,"DDS demands","Known Flow",541622.403155,121467.127810,,0.000000,,,,,-9.809999,,,,,-8.772278,-9.809999,,"",,,,,"D1 PROFILE",,,,
"94123309211068","Nodes","9211068",21.000000,38.223463,"DDS demands","Known Flow",541621.126784,121349.935645,,0.000000,,,,,-2.809999,,,,,-2.512752,-2.809999,,"",,,,,"D1 PROFILE",,,,
"94123300102847","Nodes","102847",21.000000,38.026840,"DDS demands","Known Flow",541663.625000,121374.132812,,0.000000,,,,,-2.640000,,,,,-2.360735,-2.640000,,"",,,,,"D1 PROFILE",,,,
"94123309211061","Nodes","9211061",21.000000,27.743953,"DDS demands","Known Flow",541738.293750,121415.632485,,0.000000,,,,,-6.370000,,,,,-5.696168,-6.370000,,"",,,,,"D1 PROFILE",,,,
"94123309211067","Nodes","9211067",21.000000,38.647253,"DDS demands","Known Flow",541639.250000,121259.632812,,0.000000,,,,,-10.679999,,,,,-9.550247,-10.679999,,"",,,,,"D1 PROFILE",,,,
"94123300102834","Nodes","102834",21.000000,38.693354,"DDS demands","Known Flow",541586.877486,121258.951640,,0.000000,,,,,-2.859999,,,,,-2.557463,-2.859999,,"",,,,,"D1 PROFILE",,,,
"94123309211062","Nodes","9211062",21.000000,38.273576,"DDS demands","Known Flow",541717.344828,121210.719381,,0.000000,,,,,-7.210000,,,,,-6.447311,-7.210000,,"",,,,,"D1 PROFILE",,,,
"94123309211050","Nodes","9211050",21.000000,41.424481,"DDS demands","Known Flow",541555.942248,121056.735586,,0.000000,,,,,-15.220000,,,,,-13.609997,-15.220000,,"",,,,,"D1 PROFILE",,,,
"94123300102851","Nodes","102851",21.000000,38.009078,"DDS demands","Known Flow",541711.875000,121246.382812,,0.000000,,,,,-3.690000,,,,,-3.299664,-3.690000,,"",,,,,"D1 PROFILE",,,,
"94123309211066","Nodes","9211066",21.000000,36.454693,"Default Known Flow Node","Known Flow",541759.516710,121325.575296,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"94123309211063","Nodes","9211063",21.000000,38.028935,"DDS demands","Known Flow",541713.180639,121239.747567,,0.000000,,,,,-0.799999,,,,,-0.715374,-0.799999,,"",,,,,"D1 PROFILE",,,,
"94123300102848","Nodes","102848",21.000000,38.132095,"DDS demands","Known Flow",541679.250000,121217.382812,,0.000000,,,,,-2.570000,,,,,-2.298140,-2.570000,,"",,,,,"D1 PROFILE",,,,
"94123309211034","Nodes","9211034",21.000000,38.187422,"DDS demands","Known Flow",541782.079045,121170.818875,,0.000000,,,,,-8.510000,,,,,-7.609794,-8.510000,,"",,,,,"D1 PROFILE",,,,
"94123309211024","Nodes","9211024",21.000000,28.955164,"DDS demands","Known Flow",541802.621539,121375.775267,,0.000000,,,,,-15.359999,,,,,-13.735186,-15.359999,,"",,,,,"D1 PROFILE",,,,
"94123300102857","Nodes","102857",21.000000,26.773620,"Default Known Flow Node","Known Flow",541772.625000,121473.132812,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"94123300102860","Nodes","102860",21.000000,38.193985,"Default Known Flow Node","Known Flow",541785.125000,121165.750000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"94123300102864","Nodes","102864",21.000000,37.998726,"DDS demands","Known Flow",541832.882156,121153.314137,,0.000000,,,,,-4.539999,,,,,-4.059749,-4.539999,,"",,,,,"D1 PROFILE",,,,
