"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IC)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IC)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"60600400001113","Nodes","1113","21.000000","24.835362","DDS demands","Known Flow","266362.838635","844464.631996","","0.000000","-87.460001","","","","","","","","","","","","","","","","","-78.208287","-87.460001","","","","C1 PROFILE","","","","","","","","","","","","","","","","",""
"60600400010613","Nodes","-1462830","21.000000","32.710751","Default Known Flow Node","Known Flow","266615.838704","844260.506940","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400011072","Nodes","-1500","21.000000","32.710751","Default Known Flow Node","Known Flow","266618.713705","844259.756940","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400011077","Nodes","-1521","21.000000","32.687480","Default Known Flow Node","Known Flow","266524.963680","844452.631993","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400011070","Nodes","-1494","21.000000","32.771557","Default Known Flow Node","Known Flow","266616.963705","844250.131938","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400011065","Nodes","-1477","21.000000","33.060975","Default Known Flow Node","Known Flow","266506.866967","844167.255046","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400010960","Nodes","-1463554","21.000000","33.060975","Default Known Flow Node","Known Flow","266509.338675","844167.256915","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400011416","Nodes","-2227","21.000000","32.789857","Default Known Flow Node","Known Flow","267574.213965","844055.506885","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400011419","Nodes","-2233","21.000000","32.746681","Default Known Flow Node","Known Flow","267585.963968","844068.131888","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400002252","Nodes","P00017812, Harris Road, 42.46","23.500000","33.597226","CSEP DDS Matched","Known Flow","267563.193591","844028.166129","","0.000000","","","","","","","","-20.794001","","","","","","","","","","-18.594365","-20.794001","","","","","","","","","","","DC PROFILE","","","","","","","","","",""
"60600400010685","Nodes","-1462990","21.000000","32.703510","Default Known Flow Node","Known Flow","267613.213976","844098.381896","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400002682","Nodes","2682","21.000000","25.807960","DDS demands","Known Flow","268715.589276","844387.506975","","0.000000","-194.170003","","","","","","","","","","","","","","","","","-173.630267","-194.170003","","","","C1 PROFILE","","","","","","","","","","","","","","","","",""
"60600400010977","Nodes","-1463598","21.000000","25.851674","Default Known Flow Node","Known Flow","268722.964278","844374.131971","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400010945","Nodes","-1463518","21.000000","31.027169","Default Known Flow Node","Known Flow","268518.475311","844368.074034","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
