"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"60201200000368","Nodes","368","21.000000","33.752003","DDS demands","Known Flow","328025.125000","700831.750000","","0.000000","","","","","","","-5.599999","","","","","","","-5.007620","-5.599999","","","","","","","","","D1 PROFILE","","","","","",""
"60201200000367","Nodes","367","21.000000","34.042628","DDS demands","Known Flow","328047.625000","700827.750000","","0.000000","","","","","","","-4.139999","","","","","","","-3.702062","-4.139999","","","","","","","","","D1 PROFILE","","","","","",""
"60201200000366","Nodes","366","21.000000","35.313409","DDS demands","Known Flow","328028.250000","700726.250000","","0.000000","","","","","","","-6.740000","","","","","","","-6.027028","-6.740000","","","","","","","","","D1 PROFILE","","","","","",""
"602012-176927","Nodes","-176927","21.000000","35.823439","Default Known Flow Node","Known Flow","328001.500000","700704.000000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60201200000355","Nodes","355","21.000000","35.744374","DDS demands","Known Flow","328319.887264","700635.181337","","0.000000","","","","","","","-1.019999","","","","","","","-0.912102","-1.019999","","","","","","","","","D1 PROFILE","","","","","",""
"60201200000356","Nodes","356","21.000000","35.788569","DDS demands","Known Flow","328301.750000","700656.625000","","0.000000","","","","","","","-11.249999","","","","","","","-10.059950","-11.249999","","","","","","","","","D1 PROFILE","","","","","",""
"602012-300673","Nodes","-300673","21.000000","35.652241","Default Known Flow Node","Known Flow","328200.250000","700665.125000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60201200000364","Nodes","364","21.000000","35.637167","DDS demands","Known Flow","328179.375000","700657.000000","","0.000000","","","","","","","-25.719998","","","","","","","-22.999282","-25.719998","","","","","","","","","D1 PROFILE","","","","","",""
"602012-300676","Nodes","-300676","21.000000","35.696243","Default Known Flow Node","Known Flow","328215.125000","700634.250000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"602012-300677","Nodes","-300677","21.000000","35.721739","Default Known Flow Node","Known Flow","328252.500000","700628.000000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60201200000307","Nodes","307","21.000000","43.686571","DDS demands","Known Flow","328459.000000","700544.625000","","0.000000","","","","","","","-9.200000","","","","","","","-8.226804","-9.200000","","","","","","","","","D1 PROFILE","","","","","",""
