"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"60603700000298","Nodes","298","21.000000","31.179419","DDS demands","Known Flow","390147.497319","802988.245710","","0.000000","","","","","","-12.879999","","","","","","","-11.517526","-12.879999","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700001257","Nodes","-1257","21.000000","31.078771","Default Known Flow Node","Known Flow","390175.372326","802979.120707","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"60603700001251","Nodes","-1251","21.000000","30.327027","Default Known Flow Node","Known Flow","390170.309068","802968.366851","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"60603700000363","Nodes","363","21.000000","24.308543","DDS demands","Known Flow","390301.622360","803317.620800","","0.000000","","","","","","-5.469999","","","","","","","-4.891371","-5.469999","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700000364","Nodes","364","21.000000","24.000457","DDS demands","Known Flow","390332.247369","803261.620784","","0.000000","","","","","","-4.530000","","","","","","","-4.050807","-4.530000","","","","","","","","","D1 PROFILE","","","","","","",""
"60603701462497","Nodes","-1462497","21.000000","24.308543","Default Known Flow Node","Known Flow","390303.747361","803318.620800","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"60603700001361","Nodes","-1361","21.000000","24.329673","Default Known Flow Node","Known Flow","390284.622356","803310.995798","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"60603700000263","Nodes","263","21.000000","29.721532","DDS demands","Known Flow","390021.372284","803215.870772","","0.000000","","0.000000","","","","-18.920000","","","","","","","-16.918603","-18.920000","","","","","C2 PROFILE","","","","D1 PROFILE","","","","","","",""
"60603700000388","Nodes","388","21.000000","29.890611","Default Known Flow Node","Known Flow","389969.371814","803193.801602","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"60603701462508","Nodes","1462508","21.000000","24.242487","DDS demands","Known Flow","390276.997354","803326.995802","","0.000000","","-34.999999","","","","-13.729999","","","","","","","-43.575236","-48.730001","","","","","C2 PROFILE","","","","D1 PROFILE","","","","","","",""
"60603700000509","Nodes","509","21.000000","30.314191","DDS demands","Known Flow","390645.122454","803381.620817","","0.000000","","","","","","-7.750000","","","","","","","-6.930188","-7.750000","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700000329","Nodes","329","21.000000","30.869280","DDS demands","Known Flow","390788.372493","803157.370756","","0.000000","","","","","","-16.450000","","","","","","","-14.709884","-16.450000","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700000510","Nodes","510","21.000000","30.212000","DDS demands","Known Flow","390604.747443","803452.120836","","0.000000","","","","","","-12.199999","","","-6.000000","","","","-16.274765","-18.199999","","","","","","","","","D1 PROFILE","","","I2 PROFILE","","","",""
"60603700000365","Nodes","365,P13131157,  ROCKLANDS ROAD, -120.00SCMH","24.000000","22.266167","CSEP DDS Matched","Known Flow","390074.864605","803513.186470","","0.000000","","","","","","","-127.199999","","","","","","-113.744514","-127.199999","","","","","","","","","","DC PROFILE","","","","","",""
"60603700000634","Nodes","634","21.000000","23.103984","Default Known Flow Node","Known Flow","390319.372365","803628.995884","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"60603700001400","Nodes","-1400","21.000000","23.087105","Default Known Flow Node","Known Flow","390090.247303","803520.120855","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"60603700000366","Nodes","366","21.000000","23.506377","DDS demands","Known Flow","390061.122295","803579.120871","","0.000000","","-16.870000","","","","","","","","","","","-15.085456","-16.870000","","","","","C2 PROFILE","","","","","","","","","","",""
"60603701462835","Nodes","1462835","21.000000","22.770997","DDS demands","Known Flow","390323.118476","803624.867369","","0.000000","","","-25.660000","","","","","","","","","","-22.945630","-25.660000","","","","","","C3 PROFILE","","","","","","","","","",""
"60603700000511","Nodes","511","21.000000","30.083893","DDS demands","Known Flow","390718.997474","803517.370854","","0.000000","","","-3.670000","0.000000","","-3.479999","","","","","","","-6.393657","-7.150000","","","","","","C3 PROFILE","C4 PROFILE","","D1 PROFILE","","","","","","",""
