"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"60604800000172","Nodes","172","21.000000","67.192249","DDS demands","Known Flow","386228.394252","807409.707913","","0.000000","","","","-4.070000","","","","","","-3.639466","-4.070000","","","","","","D1 PROFILE","","","","",""
"60604800000170","Nodes","170","21.000000","67.490544","DDS demands","Known Flow","386241.792754","807456.632897","","0.000000","","","","-2.250000","","","","","","-2.011990","-2.250000","","","","","","D1 PROFILE","","","","",""
"60604800000168","Nodes","168","21.000000","67.690858","DDS demands","Known Flow","386269.287263","807460.886927","","0.000000","","","","-6.610000","","","","","","-5.910779","-6.610000","","","","","","D1 PROFILE","","","","",""
"60604800009777","Nodes","-93141","21.000000","67.508281","Default Known Flow Node","Known Flow","386245.435848","807457.110172","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60604800000132","Nodes","132","21.000000","66.183384","DDS demands","Known Flow","386289.547269","807114.057833","","0.000000","","","","-5.680000","","","","","","-5.079156","-5.680000","","","","","","D1 PROFILE","","","","",""
"60604800000133","Nodes","133","21.000000","65.816147","DDS demands","Known Flow","386331.220280","807148.776842","","0.000000","","","","-11.230000","","","","","","-10.042065","-11.230000","","","","","","D1 PROFILE","","","","",""
"60604800000134","Nodes","134","21.000000","66.076420","DDS demands","Known Flow","386278.089266","807143.198841","","0.000000","","","","-4.320000","","","","","","-3.863021","-4.320000","","","","","","D1 PROFILE","","","","",""
"60604800009778","Nodes","-93144","21.000000","67.440871","Default Known Flow Node","Known Flow","386424.190876","807122.865200","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60604800000202","Nodes","202","21.000000","67.296793","DDS demands","Known Flow","386425.405306","807113.845833","","0.000000","","","","-4.980000","","","","","","-4.453204","-4.980000","","","","","","D1 PROFILE","","","","",""
"60604800000205","Nodes","205","21.000000","66.054117","DDS demands","Known Flow","386454.865314","807167.013847","","0.000000","","","","-8.380000","","","","","","-7.493545","-8.380000","","","","","","D1 PROFILE","","","","",""
"60604800000206","Nodes","206","21.000000","65.929346","DDS demands","Known Flow","386407.764301","807171.971848","","0.000000","","","","-3.020000","","","-2.279999","","","-4.739354","-5.299999","","","","","","D1 PROFILE","","","I2 PROFILE","",""
"60604800000135","Nodes","135","21.000000","66.169379","DDS demands","Known Flow","386361.694288","807039.195812","","0.000000","","","","-16.500000","","","","","","-14.754593","-16.500000","","","","","","D1 PROFILE","","","","",""
"60604800000207","Nodes","207","21.000000","66.026990","DDS demands","Known Flow","386457.952315","807196.676855","","0.000000","","","","-3.650000","","","","","","-3.263894","-3.650000","","","","","","D1 PROFILE","","","","",""
"60604800009806","Nodes","-956781","21.000000","66.047069","Default Known Flow Node","Known Flow","386444.948389","807175.642637","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60604800000102","Nodes","102","21.000000","46.583050","DDS demands","Known Flow","386625.179360","807010.116804","","0.000000","","","","-9.600000","","","","","","-8.584491","-9.600000","","","","","","D1 PROFILE","","","","",""
"60604800000025","Nodes","25","21.000000","49.615110","Default Known Flow Node","Known Flow","386757.790029","807000.148848","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60604800009758","Nodes","-118718","21.000000","46.730371","Default Known Flow Node","Known Flow","386625.329818","807061.845726","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60604800009757","Nodes","-118716","21.000000","39.639202","Default Known Flow Node","Known Flow","386523.419714","807013.688527","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60604800000031","Nodes","31","21.000000","46.425879","DDS demands","Known Flow","386924.710172","807207.080737","","0.000000","","","","-2.650000","","","","","","-2.369677","-2.650000","","","","","","D1 PROFILE","","","","",""
"60604800000034","Nodes","34","21.000000","46.466330","DDS demands","Known Flow","386906.106692","807268.188074","","0.000000","","","","-2.970000","","","","","","-2.655826","-2.970000","","","","","","D1 PROFILE","","","","",""
"60604800009790","Nodes","-93163","21.000000","49.637906","Default Known Flow Node","Known Flow","386704.587382","807084.230824","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60604800000027","Nodes","27","21.000000","49.638038","Default Known Flow Node","Known Flow","386708.909615","807081.221712","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60604800009793","Nodes","-93169","21.000000","47.694487","Default Known Flow Node","Known Flow","386840.989419","807241.648867","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60604800000033","Nodes","33","21.000000","47.694487","DDS demands","Known Flow","386835.031189","807242.523108","","0.000000","","","","-3.700000","","","","","","-3.308605","-3.700000","","","","","","D1 PROFILE","","","","",""
"60604800009794","Nodes","-93170","21.000000","46.466330","Default Known Flow Node","Known Flow","386899.945435","807267.308874","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
