"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"60603100000206","Nodes","206","21.000000","39.730863","DDS demands","Known Flow","395008.639641","830453.836184","","0.000000","","","","","-8.140000","","","","","-7.278933","-8.140000","","","","","","","D1 PROFILE","","","",""
"60603100000085","Nodes","85","21.000000","28.592819","DDS demands","Known Flow","395026.880646","830101.674088","","0.000000","-2.499999","","","","-7.739999","","","","","-9.156790","-10.239999","","","C1 PROFILE","","","","D1 PROFILE","","","",""
"60603100009359","Nodes","-4904552","21.000000","28.532821","Default Known Flow Node","Known Flow","395001.377738","830089.239738","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603100000220","Nodes","220","21.000000","28.597660","DDS demands","Known Flow","395051.023653","830186.729111","","0.000000","","-35.749999","","","","","","","","-31.968290","-35.749999","","","","C2 PROFILE","","","","","","",""
"60603100009305","Nodes","-130","21.000000","28.597660","Default Known Flow Node","Known Flow","395040.640650","830178.872109","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603100000043","Nodes","43","21.000000","28.667688","DDS demands","Known Flow","395082.762661","830155.256102","","0.000000","","","","","-0.739999","","","","","-0.661721","-0.739999","","","","","","","D1 PROFILE","","","",""
"60603100009363","Nodes","-4904572","21.000000","27.425928","Default Known Flow Node","Known Flow","395004.854316","830020.281888","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603100000110","Nodes","110","21.000000","28.357409","DDS demands","Known Flow","395114.610670","830075.105080","","0.000000","","","","","-2.850000","","","","","-2.548521","-2.850000","","","","","","","D1 PROFILE","","","",""
"60603100009304","Nodes","-116","21.000000","27.476879","Default Known Flow Node","Known Flow","395139.044677","830064.668078","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603100000115","Nodes","115","21.000000","23.623810","DDS demands","Known Flow","395195.990692","830149.893101","","0.000000","","","","","-10.199999","","","","","-9.121022","-10.199999","","","","","","","D1 PROFILE","","","",""
"60603100000219","Nodes","219","21.000000","23.542780","DDS demands","Known Flow","395133.458675","830124.233094","","0.000000","","","","","-6.439999","","","","","-5.758763","-6.439999","","","","","","","D1 PROFILE","","","",""
"60603100000116","Nodes","116","21.000000","23.478434","DDS demands","Known Flow","395098.969666","830173.357107","","0.000000","","","","","-7.190000","","","","","-6.429426","-7.190000","","","","","","","D1 PROFILE","","","",""
"60603100000114","Nodes","114","21.000000","24.525819","Default Known Flow Node","Known Flow","395210.465696","830116.096092","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603100000111","Nodes","111","21.000000","24.614636","DDS demands","Known Flow","395218.022698","830096.703086","","0.000000","","","","","-20.940001","","","","","-18.724923","-20.940001","","","","","","","D1 PROFILE","","","",""
"60603100000112","Nodes","112","21.000000","23.756277","DDS demands","Known Flow","395329.378729","830070.576079","","0.000000","","","","","-15.670000","","","","","-14.012395","-15.670000","","","","","","","D1 PROFILE","","","",""
"60603100000113","Nodes","113","21.000000","21.694466","DDS demands","Known Flow","395189.889691","830013.643064","","0.000000","","","","","-16.149999","","","","","-14.441618","-16.149999","","","","","","","D1 PROFILE","","","",""
"60603100000042","Nodes","42","21.000000","28.527731","DDS demands","Known Flow","394999.214639","830088.185084","","0.000000","","","","","-5.330000","","","","","-4.766181","-5.330000","","","","","","","D1 PROFILE","","","",""
"60603100000248","Nodes","248, Ythan Terrace RRI,","21.000000","49.999998","Default Known Pressure Node","Known Pressure","395551.860789","830323.590148","","999998.967025","","","","","","","","","","11.615890","12.990000","","","","","","","","","","",""
"60603100000249","Nodes","249","21.000000","49.817228","DDS demands","Known Flow","395571.227794","830342.728153","","0.000000","","","","","-6.040000","","","","","-5.401076","-6.040000","","","","","","","D1 PROFILE","","","",""
"60603100000267","Nodes","267, Market Street RRI,","21.000000","49.999998","Default Known Pressure Node","Known Pressure","395701.454830","830390.744166","","999998.967025","","","","","","","","","","42.573713","47.609998","","","","","","","","","","",""
"60603100000265","Nodes","265","21.000000","48.714813","DDS demands","Known Flow","395691.137827","830399.238169","","0.000000","","","","","-6.320000","","","","","-5.651457","-6.320000","","","","","","","D1 PROFILE","","","",""
"60603100000251","Nodes","251","21.000000","49.655249","DDS demands","Known Flow","395526.130782","830388.507166","","0.000000","","","","","-6.949999","","","","","-6.214813","-6.949999","","","","","","","D1 PROFILE","","","",""
"60603100009307","Nodes","-1420","21.000000","49.775504","Default Known Flow Node","Known Flow","395576.392796","830353.384156","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603100009308","Nodes","-1458","21.000000","48.752822","Default Known Flow Node","Known Flow","395670.051821","830390.698166","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603100009329","Nodes","-1462662","21.000000","49.775504","Default Known Flow Node","Known Flow","395580.420797","830366.491160","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603100000266","Nodes","266","21.000000","48.408845","DDS demands","Known Flow","395644.081814","830429.422177","","0.000000","-12.409999","","-13.480000","-15.050000","-0.349999","","","","","-36.922259","-41.290001","","","C1 PROFILE","","C3 PROFILE","C4 PROFILE","D1 PROFILE","","","",""
"60603100000169","Nodes","169, The Meadows (2) RRI,","21.000000","49.999998","Default Known Pressure Node","Known Pressure","396970.255175","830354.459157","","999998.967025","","","","","","","","","","37.575036","42.020001","","","","","","","","","","",""
"60603100000170","Nodes","170","21.000000","47.292165","DDS demands","Known Flow","397009.276997","830340.457988","","0.000000","","","","","-16.559999","","","","","-14.808248","-16.559999","","","","","","","D1 PROFILE","","","",""
"60603100000171","Nodes","","21.000000","47.041739","DDS demands","Known Flow","397112.306214","830316.623146","","0.000000","","","","","-5.030000","","","","","-4.497916","-5.030000","","","","","","","D1 PROFILE","","","",""
"60603100000172","Nodes","172","21.000000","45.260607","DDS demands","Known Flow","397123.760979","830356.017082","","0.000000","","","","","-5.270000","","","","","-4.712528","-5.270000","","","","","","","D1 PROFILE","","","",""
"60603100000179","Nodes","179","21.000000","22.985286","DDS demands","Known Flow","394156.978410","830949.199318","","0.000000","","","","","-15.140000","","","","","-13.538459","-15.140000","","","","","","","D1 PROFILE","","","",""
"60603100009357","Nodes","-4904540","21.000000","26.585103","Default Known Flow Node","Known Flow","394063.768384","831091.733357","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603100000182","Nodes","182","21.000000","22.360397","DDS demands","Known Flow","394294.385447","830930.654313","","0.000000","","","","","-5.389999","","","","","-4.819834","-5.389999","","","","","","","D1 PROFILE","","","",""
"60603100000183","Nodes","","21.000000","21.720390","DDS demands","Known Flow","394257.198437","830956.438320","","0.000000","","","","","","","-3.240000","","","-2.897266","-3.240000","","","","","","","","","PL-AF PROFILE","",""
"60603100000181","Nodes","181","21.000000","22.422648","Default Known Flow Node","Known Flow","394325.938456","830909.825308","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603100000184","Nodes","184","21.000000","30.979315","DDS demands","Known Flow","394095.167083","831238.688824","","0.000000","","","","","-14.489999","","","","","-12.957217","-14.489999","","","","","","","D1 PROFILE","","","",""
"60603100000185","Nodes","185","21.000000","22.355131","DDS demands","Known Flow","394334.509458","830975.230325","","0.000000","","","","","-4.130000","","","","","-3.693120","-4.130000","","","","","","","D1 PROFILE","","","",""
"60603100000177","Nodes","177","21.000000","24.575313","DDS demands","Known Flow","393951.004353","830978.464326","","0.000000","","","","","-11.969999","","","","","-10.703788","-11.969999","","","","","","","D1 PROFILE","","","",""
"60603100009354","Nodes","-198","21.000000","25.161399","Default Known Flow Node","Known Flow","395023.289645","829718.852984","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
