"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"60200600000149","Nodes","149","21.000000","27.064594","DDS","Known Flow","361825.500000","740572.125000","","0.000000","","","","","-6.811999","","","","","","","","-6.091411","-6.811999","","","","","","","D1 PROFILE","","","","","","",""
"60200600000145","Nodes","Logger 9713, Catheter, Patrick Allan Fraser Street","21.000000","28.307619","Val Log Cath","Known Flow","361817.125000","740507.250000","","0.000000","","","","","-17.858999","","","","","","","","-15.969835","-17.858999","","","","","","","D1 PROFILE","","","","","","",""
"60200600000091","Nodes","91","21.000000","30.339697","DDS","Known Flow","361943.250000","740554.750000","","0.000000","","","","","-12.712000","","","","","","","","-11.367297","-12.712000","","","","","","","D1 PROFILE","","","","","","",""
"60200600000142","Nodes","142","21.000000","31.519889","DDS","Known Flow","361905.750000","740592.500000","","0.000000","","","","","-12.842000","","","","","","","","-11.483545","-12.842000","","","","","","","D1 PROFILE","","","","","","",""
"602006-56","Nodes","-56","21.000000","31.747850","Default Known Flow Node","Known Flow","361932.375000","740602.750000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"602006-1463277","Nodes","-1463277","21.000000","30.663334","Default Known Flow Node","Known Flow","361916.875000","740659.875000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200600000066","Nodes","66","21.000000","30.663334","DDS","Known Flow","361938.125000","740667.625000","","0.000000","","","","","-13.413999","","","","","","","","-11.995036","-13.413999","","","","","","","D1 PROFILE","","","","","","",""
"60200600000068","Nodes","68","21.000000","25.559884","DDS","Known Flow","361699.750000","740591.000000","","0.000000","","","","","-17.989000","","","","","","","","-16.086084","-17.989000","","","","","","","D1 PROFILE","","","","","","",""
"602006-1463186","Nodes","-1463186","21.000000","25.559884","Default Known Flow Node","Known Flow","361708.625000","740614.250000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200600000069","Nodes","69","21.000000","28.695625","DDS","Known Flow","361796.500000","740621.750000","","0.000000","","","","","-10.182999","","","","","","","","-9.105818","-10.182999","","","","","","","D1 PROFILE","","","","","","",""
"602006-1462763","Nodes","-1462763","21.000000","28.695625","Default Known Flow Node","Known Flow","361775.250000","740614.500000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"602006-62","Nodes","-62","21.000000","26.793038","Default Known Flow Node","Known Flow","361659.000000","740626.625000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
