"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"60601300002025","Nodes","","21.000000","35.727455","Default Known Flow Node","Known Flow","368857.687553","864224.033870","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300002023","Nodes","","21.000000","33.897545","DDS demands","Known Flow","368870.735529","864014.751316","","0.000000","","","","","","-10.479999","","","","","","-9.371402","-10.479999","","","","","","","","D1 PROFILE","","","","",""
"60601300000153","Nodes","","21.000000","32.565010","DDS demands","Known Flow","368806.464511","863835.191267","","0.000000","","","","","","-0.980000","","","","","","-0.876333","-0.980000","","","","","","","","D1 PROFILE","","","","",""
"60601300002019","Nodes","","21.000000","32.416498","Default Known Flow Node","Known Flow","368852.221524","863834.643267","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300000172","Nodes","","21.000000","33.545683","DDS demands","Known Flow","368887.324533","864021.663318","","0.000000","","","","","","-10.010000","","","","","","-8.951121","-10.010000","","","","","","","","D1 PROFILE","","","","",""
"60601300002017","Nodes","","21.000000","36.859530","Default Known Flow Node","Known Flow","368833.780386","864313.856803","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300000069","Nodes","Logger 0001, OPR, District Council Offices, Town House, Low St.","21.000000","27.647425","OPR","Known Flow","368967.954067","863947.892757","","0.000000","-29.239999","","","-2.180000","","-3.469999","","","","","","-31.199261","-34.889999","","","C1 PROFILE","","","C4 PROFILE","","D1 PROFILE","","","","",""
"60601300002014","Nodes","","21.000000","32.177611","Default Known Flow Node","Known Flow","368868.229528","863809.901260","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300002013","Nodes","","21.000000","33.668355","Default Known Flow Node","Known Flow","368873.486530","864000.908312","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300000013","Nodes","","21.000000","30.857560","DDS demands","Known Flow","368572.436448","864526.457455","","0.000000","","","","","","-2.829999","","","","","","-2.530636","-2.829999","","","","","","","","D1 PROFILE","","","","",""
