"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"60200800000740","Nodes","740","21.000000","35.445689","Default Known Flow Node","Known Flow","345753.822620","750427.369576","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800003926","Nodes","-313945","21.000000","35.488314","Default Known Flow Node","Known Flow","345777.012560","750406.572556","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800003952","Nodes","-313976","21.000000","35.317272","Default Known Flow Node","Known Flow","345900.585091","750283.370034","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800000119","Nodes","","21.000000","34.991188","DDS demands","Known Flow","345862.500000","750192.250000","","0.000000","","","","","","-12.340000","","","","","","","","-11.034649","-12.340000","","","","","","","","D1 PROFILE","","","","","","",""
"60200800000742","Nodes","742","21.000000","35.252612","Daily Metered Site","Known Flow","345841.184968","750347.609913","","0.000000","","0.000000","","","","-32.439999","","","","","","","","-29.008427","-32.439999","","","","C2 PROFILE","","","","D1 PROFILE","","","","","","",""
"60200800000636","Nodes","636,","21.000000","34.894165","DDS demands","Known Flow","345891.283399","750006.079974","","0.000000","","","","","","-14.160000","","","","","","","","-12.662125","-14.160000","","","","","","","","D1 PROFILE","","","","","","",""
"60200800003949","Nodes","-313971","21.000000","34.894165","Default Known Flow Node","Known Flow","345892.189696","750002.605833","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800003950","Nodes","-313973","21.000000","34.883344","Default Known Flow Node","Known Flow","345893.624667","750006.457598","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800000070","Nodes","70","21.000000","34.668112","DDS demands","Known Flow","345644.504171","750318.963694","","0.000000","","0.000000","","","","-6.699999","","","","-5.619999","","","","-11.016764","-12.319999","","","","C2 PROFILE","","","","D1 PROFILE","","","","I2 PROFILE","","",""
"60200800000562","Nodes","562","21.000000","34.234953","DDS demands","Known Flow","345591.928090","750377.968205","","0.000000","","","","","","","","","","0.000000","","","","0.000000","0.000000","","","","","","","","","","","","I2 PROFILE","","",""
