"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DH)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(PL-AF)"
"96108401462532","Nodes","1462532,","21.000000","24.968462","DDS demands","Known Flow","608736.320831","127751.702344","","0.000000","","","-10.609999","","","-9.487651","-10.609999","","","","","D1 PROFILE","",""
"96108400000006","Nodes","6,","21.000000","28.875775","Default Known Flow Node","Known Flow","608495.962015","126928.839109","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108400000191","Nodes","191,","21.000000","24.968462","Default Known Flow Node","Known Flow","608698.195821","127797.702356","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108400000192","Nodes","192,","21.000000","24.968462","Default Known Flow Node","Known Flow","608782.264191","127809.181013","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108401462480","Nodes","1462480,","21.000000","24.968462","Default Known Flow Node","Known Flow","608800.570849","127831.827366","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108405310028","Nodes","5310028,","21.000000","25.252365","DDS demands","Known Flow","608810.872818","127660.936948","","0.000000","","","-7.489999","","","-6.697691","-7.489999","","","","","D1 PROFILE","",""
"96108400000135","Nodes","135,","21.000000","25.474869","Default Known Flow Node","Known Flow","608974.913546","127541.448044","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108400000162","Nodes","162,","21.000000","26.003320","DDS demands","Known Flow","608880.974025","127621.291087","","0.000000","","","-2.400000","","","-2.146123","-2.400000","","","","","D1 PROFILE","",""
"96108400000160","Nodes","160,","21.000000","26.029654","Default Known Flow Node","Known Flow","608853.594093","127611.959422","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108401462484","Nodes","1462484,","21.000000","24.989487","Default Known Flow Node","Known Flow","608781.122809","127696.061957","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
