"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"96121909710074","Nodes","9710074","21.000000","59.931111","Default Known Flow Node","Known Flow","582571.580000","125335.782812","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121909710076","Nodes","9710076","21.000000","59.973272","Default Known Flow Node","Known Flow","582574.330000","125341.900000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121909710045","Nodes","9710045","21.000000","59.843158","DDS demands","Known Flow","582628.330000","125323.532812","","0.000000","","","","","","-0.649999","","","","-0.581241","-0.649999","","","","","","","","D1 PROFILE","","",""
"96121909710022","Nodes","9710022","21.000000","61.023183","DDS demands","Known Flow","582613.955000","125233.150000","","0.000000","","","","","","-16.399999","","","","-14.665173","-16.399999","","","","","","","","D1 PROFILE","","",""
"96121909710081","Nodes","9710081","21.000000","59.647467","Default Known Flow Node","Known Flow","582645.830000","125431.400000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121909710021","Nodes","9710021","21.000000","59.578056","DDS demands","Known Flow","582645.455000","125421.282812","","0.000000","","","","","","0.000000","","","","0.000000","0.000000","","","","","","","","D1 PROFILE","","",""
"96121909710084","Nodes","9710084","21.000000","59.118821","Default Known Flow Node","Known Flow","582687.455000","125419.150000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121909710085","Nodes","9710085","21.000000","59.044364","DDS demands","Known Flow","582688.580000","125433.650000","","0.000000","","","","","","-6.840000","","","","-6.116450","-6.840000","","","","","","","","D1 PROFILE","","",""
"96121909710087","Nodes","9710087","21.000000","58.988350","Default Known Flow Node","Known Flow","582713.580000","125432.650000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121909710086","Nodes","9710086","21.000000","58.863319","Default Known Flow Node","Known Flow","582710.830000","125395.400000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121909710083","Nodes","9710083","21.000000","58.809249","DDS demands","Known Flow","582686.705000","125396.532812","","0.000000","","","","","","-6.150000","","","","-5.499440","-6.150000","","","","","","","","D1 PROFILE","","",""
"96121909710016","Nodes","9710016","21.000000","59.796062","DDS demands","Known Flow","582752.080000","125352.400000","","0.000000","-22.590000","","","","","-3.150000","","","","-23.017170","-25.740000","","","C1 PROFILE","","","","","D1 PROFILE","","",""
"96121909710049","Nodes","9710049","21.000000","59.391349","DDS demands","Known Flow","582842.955000","125471.532812","","0.000000","","","","","","-1.029999","","","","-0.921044","-1.029999","","","","","","","","D1 PROFILE","","",""
"96121909710088","Nodes","MAXIMO 826396","21.000000","50.607758","Point Loads","Known Flow","582803.330000","125293.650000","","0.000000","","","","","","","","-37.389999","","-33.434807","-37.389999","","","","","","","","","","PL-AF PROFILE",""
"96121909710048","Nodes","9710048","21.000000","49.661799","DDS demands","Known Flow","582754.080000","125213.282812","","0.000000","","","","","","-10.280000","","","","-9.192560","-10.280000","","","","","","","","D1 PROFILE","","",""
