"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"96112100207110","Nodes","-207110","21.000000","41.205747","Default Known Flow Node","Known Flow","577800.825758","135808.449417","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112100004508","Nodes","High Street, Logger 4508","21.000000","37.700435","Val Log Cath","Known Flow","577426.711781","135996.710649","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112100146253","Nodes","-146253","21.000000","39.212014","Default Known Flow Node","Known Flow","577814.063384","136311.603302","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112162021239","Nodes","","22.999998","23.837493","Default Known Flow Node","Known Flow","577417.673276","136172.814264","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112100207011","Nodes","-207011","21.000000","24.564185","Default Known Flow Node","Known Flow","577592.798324","136316.689303","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112100022425","Nodes","-22425","21.000000","39.747827","Default Known Flow Node","Known Flow","577807.922383","136230.190279","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112106202043","Nodes","6202043","21.000000","37.505887","DDS demands","Known Flow","577787.391781","136767.174767","","0.000000","","","","","-10.930000","","","","","","-9.773801","-10.930000","","","","","","","D1 PROFILE","","","","",""
"96112100004895","Nodes","","0.000000","36.835764","Default Known Flow Node","Known Flow","577787.231377","136901.182462","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112100004893","Nodes","","0.000000","37.684066","Default Known Flow Node","Known Flow","577780.852375","136736.908417","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112100231141","Nodes","-231141","21.000000","44.478243","Default Known Flow Node","Known Flow","577942.298419","135586.939104","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112106202146","Nodes","6202146","21.000000","34.836963","Default Known Flow Node","Known Flow","577024.423169","136252.064285","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112100004504","Nodes","Lea Hse, 4 Sheafe Drive, Logger 4504","0.000000","34.812269","Val Log Post","Known Flow","577058.861921","136282.341709","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112100004768","Nodes","","0.000000","41.040340","Default Known Flow Node","Known Flow","577658.878342","135768.610154","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112100004777","Nodes","","0.000000","41.040394","Default Known Flow Node","Known Flow","577754.132368","135824.661169","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112106202026","Nodes","6202026","21.000000","27.186704","DDS demands","Known Flow","577267.861840","136343.358557","","0.000000","","","","","-18.680000","","","","","","-16.703991","-18.680000","","","","","","","D1 PROFILE","","","","",""
"96112100207101","Nodes","-207101","21.000000","37.655953","Default Known Flow Node","Known Flow","577781.809022","136741.368754","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112100004506","Nodes","Quaker Lane, Logger 4506","21.000000","37.602092","Val Log Cath","Known Flow","577783.812871","136750.631442","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112106202047","Nodes","6202047","21.000000","37.557705","Default Known Flow Node","Known Flow","577785.464126","136758.264283","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112100004869","Nodes","","0.000000","36.899425","Default Known Flow Node","Known Flow","577738.578364","136786.443431","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112100004873","Nodes","","0.000000","36.899425","Default Known Flow Node","Known Flow","577746.747366","136766.470425","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112106202048","Nodes","6202048","21.000000","38.961353","DDS demands","Known Flow","577921.064013","136408.033903","","0.000000","","","","","-3.510000","","","","","","-3.138704","-3.510000","","","","","","","D1 PROFILE","","","","",""
"96112100004955","Nodes","","0.000000","38.252415","Default Known Flow Node","Known Flow","577866.809399","136820.478440","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112102000002","Nodes","","0.000000","35.091779","Default Known Flow Node","Known Flow","576888.639383","135968.243121","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112100000005","Nodes","","0.000000","31.751639","Default Known Flow Node","Known Flow","577084.392463","136154.379366","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
