"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"62502500000348","Nodes","348,","21.000000","26.231682","DDS demands","Known Flow","204867.572904","561783.932076","","0.000000","-2.180000","","","","","-16.750000","","","","","","","-16.927544","-18.930000","","","","C1 PROFILE","","","","","D1 PROFILE","","","","","","",""
"62502500000478","Nodes","478","21.000000","26.271000","Default Known Flow Node","Known Flow","204888.704021","561818.508518","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500002950","Nodes","-311","21.000000","26.398568","Default Known Flow Node","Known Flow","204896.064912","561846.896093","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500000377","Nodes","377","21.000000","26.174828","DDS demands","Known Flow","205104.596969","560834.809818","","0.000000","","","","","","-13.600000","","","","","","","-12.161363","-13.600000","","","","","","","","","D1 PROFILE","","","","","","",""
"62502500000476","Nodes","476","21.000000","26.163534","DDS demands","Known Flow","205044.620142","560804.354697","","0.000000","","","","","","-6.370000","","","","","","","-5.696168","-6.370000","","","","","","","","","D1 PROFILE","","","","","","",""
"62502500002867","Nodes","-169","21.000000","26.150641","Default Known Flow Node","Known Flow","205032.633949","560799.028808","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500000314","Nodes","314","21.000000","49.816205","Default Known Flow Node","Known Flow","207693.070673","560751.188795","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500000475","Nodes","475","21.000000","49.695909","Default Known Flow Node","Known Flow","207697.131984","560720.612111","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500002997","Nodes","-384","21.000000","49.402669","Default Known Flow Node","Known Flow","207588.693644","560710.652784","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500002963","Nodes","2963","21.000000","48.920071","DDS demands","Known Flow","206431.323197","559621.788796","","0.000000","","","","","","","","","-24.999999","","","","-22.355447","-24.999999","","","","","","","","","","","","I2 PROFILE","","","",""
"62502500002953","Nodes","-326","21.000000","48.920071","Default Known Flow Node","Known Flow","206448.379334","559619.488487","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500002952","Nodes","-325","21.000000","48.961935","Default Known Flow Node","Known Flow","206424.181327","559597.931481","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500002964","Nodes","-329","21.000000","49.003783","Default Known Flow Node","Known Flow","206431.072329","559649.573495","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500002951","Nodes","-324","21.000000","48.920071","Default Known Flow Node","Known Flow","206458.365337","559592.091480","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500000443","Nodes","443","21.000000","48.514906","Default Known Flow Node","Known Flow","206247.025279","559854.557551","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500000080","Nodes","80","21.000000","35.862990","DDS demands","Known Flow","205451.947063","560411.929703","","0.000000","","","","","","-16.090000","","","","","","","-14.387966","-16.090000","-8.560000","","","","","","","","D1 PROFILE","","","","","","","TT PROFILE"
"62502500000381","Nodes","381","21.000000","35.949328","DDS demands","Known Flow","205453.822064","560390.429697","","0.000000","","","","","","-5.030000","","","","","","","-4.497916","-5.030000","","","","","","","","","D1 PROFILE","","","","","","",""
"62502500002828","Nodes","-1462620","21.000000","34.696210","Default Known Flow Node","Known Flow","205287.943018","560419.309705","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500003054","Nodes","-95","21.000000","34.696210","Default Known Flow Node","Known Flow","205293.071020","560413.180703","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500003053","Nodes","-88","21.000000","34.696210","Default Known Flow Node","Known Flow","205298.697021","560405.929701","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500002772","Nodes","-1462495","21.000000","34.696210","Default Known Flow Node","Known Flow","205306.822024","560393.304698","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500000387","Nodes","387","21.000000","34.696210","DDS demands","Known Flow","205299.478022","560413.073703","","0.000000","","","","","","-2.880000","","","","","","","-2.575347","-2.880000","","","","","","","","","D1 PROFILE","","","","","","",""
"62502500000388","Nodes","388","21.000000","34.696210","Default Known Flow Node","Known Flow","205295.695974","560409.797563","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500000383","Nodes","383","21.000000","34.835266","DDS demands","Known Flow","205347.572035","560323.679679","","0.000000","","","","","","-18.139999","","","","","","","-16.221111","-18.139999","","","","","","","","","D1 PROFILE","","","","","","",""
"62502500000389","Nodes","389","21.000000","35.097927","DDS demands","Known Flow","205214.946999","560348.678686","","0.000000","","","","","","-8.359999","","","","","","","-7.475661","-8.359999","","","","","","","","","D1 PROFILE","","","","","","",""
"62502500000390","Nodes","390","21.000000","35.059107","DDS demands","Known Flow","205221.197000","560331.429681","","0.000000","","","","","","-3.890000","","","","","","","-3.478507","-3.890000","","","","","","","","","D1 PROFILE","","","","","","",""
"62502500002793","Nodes","-1462548","21.000000","35.059107","Default Known Flow Node","Known Flow","205219.197000","560337.929683","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500002795","Nodes","-1462550","21.000000","35.059107","Default Known Flow Node","Known Flow","205223.572001","560327.304680","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500002995","Nodes","-3820","21.000000","35.152806","Default Known Flow Node","Known Flow","205339.572032","560215.429649","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
