"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"62600200319192","Nodes","-319192","21.000000","38.240707","Default Known Flow Node","Known Flow","311630.975953","967570.290494","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"62600200319193","Nodes","-319193","21.000000","38.240707","Default Known Flow Node","Known Flow","311636.600955","967540.165486","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"62600200319201","Nodes","-319201","21.000000","38.144193","Default Known Flow Node","Known Flow","311665.866463","967577.717682","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"62600200319194","Nodes","-319194","21.000000","38.144193","Default Known Flow Node","Known Flow","311642.975957","967593.290500","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"62600200000283","Nodes","283","21.000000","37.773220","Default Known Flow Node","Known Flow","311657.100960","967740.665541","","0.000000","","","","","0.000000","","","","","","","0.000000","0.000000","","","","","","","D1 PROFILE","","","","","",""
"62600200000284","Nodes","284","21.000000","37.688032","Default Known Flow Node","Known Flow","311600.100945","967770.415549","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"62600200000282","Nodes","282","21.000000","37.901045","DDS demands","Known Flow","311685.975968","967719.915535","","0.000000","","","","","-2.009999","","","","","","","-1.617640","-1.808999","","","","","","","D1 PROFILE","","","","","",""
"62600200000281","Nodes","281","21.000000","37.859061","DDS demands","Known Flow","311672.475965","967699.165529","","0.000000","","","","","-7.699999","","","","","","","-6.196929","-6.929999","","","","","","","D1 PROFILE","","","","","",""
"62600200000278","Nodes","278","21.000000","38.049385","DDS demands","Known Flow","311688.725969","967667.040521","","0.000000","","","","","-15.750000","","","","","","","-12.675539","-14.175000","","","","","","","D1 PROFILE","","","","","",""
"62600200319202","Nodes","-319202","21.000000","37.914746","Default Known Flow Node","Known Flow","311686.600968","967679.915524","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"62600200000272","Nodes","272","21.000000","38.235550","DDS demands","Known Flow","311694.600971","967611.290505","","0.000000","","","","","-22.340001","","","","","","","-17.979145","-20.106000","","","","","","","D1 PROFILE","","","","","",""
"62600200319204","Nodes","-319204","21.000000","38.265640","Default Known Flow Node","Known Flow","311700.475972","967612.540506","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"62600200000275","Nodes","275","21.000000","38.207575","DDS demands","Known Flow","311597.850944","967558.790491","","0.000000","","","","","-16.200001","","","","","","","-13.037697","-14.580000","","","","","","","D1 PROFILE","","","","","",""
"62600200319191","Nodes","-319191","21.000000","38.230815","Default Known Flow Node","Known Flow","311619.975950","967568.165494","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
