"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"62500600007968","Nodes","7968","21.000000","32.317062","DDS demands","Known Flow","232955.084545","639273.047162","","0.000000","","","","","","","-1.009999","","","","","","","","-0.903160","-1.009999","","","","","","","","","","D1 PROFILE","","","","","","","",""
"62500600007969","Nodes","7969","21.000000","32.317276","DDS demands","Known Flow","232981.508553","639293.396167","","0.000000","","","","","","","-0.920000","","","","","","","","-0.822680","-0.920000","","","","","","","","","","D1 PROFILE","","","","","","","",""
"62500600007973","Nodes","7973","21.000000","32.056462","Default Known Flow Node","Known Flow","232998.022557","639318.647174","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007974","Nodes","7974","21.000000","29.929307","Default Known Flow Node","Known Flow","233035.412567","639383.497192","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007975","Nodes","7975","21.000000","29.929307","Default Known Flow Node","Known Flow","233059.550574","639379.441191","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007976","Nodes","7976","21.000000","31.705125","Default Known Flow Node","Known Flow","233045.735162","639255.048473","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007977","Nodes","7977","21.000000","31.705125","Default Known Flow Node","Known Flow","233026.353565","639266.302160","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007978","Nodes","7978","21.000000","29.929307","Default Known Flow Node","Known Flow","233031.842566","639385.654192","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007979","Nodes","7979","21.000000","29.929307","Default Known Flow Node","Known Flow","233010.230560","639408.580198","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007980","Nodes","7980","21.000000","29.929307","Default Known Flow Node","Known Flow","233009.462560","639409.588199","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007981","Nodes","7981","21.000000","29.929307","Default Known Flow Node","Known Flow","232995.591556","639437.997206","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007982","Nodes","7982","21.000000","29.929307","Default Known Flow Node","Known Flow","232987.557554","639430.576204","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007983","Nodes","7983","21.000000","29.929307","Default Known Flow Node","Known Flow","233008.725560","639410.652199","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007984","Nodes","7984","21.000000","29.929307","Default Known Flow Node","Known Flow","232996.919557","639436.513206","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007988","Nodes","7988","21.000000","32.688150","DDS demands","Known Flow","232902.152531","639282.457164","","0.000000","","","","","","","-0.860000","","","","","","","","-0.769027","-0.860000","","","","","","","","","","D1 PROFILE","","","","","","","",""
"62500600007989","Nodes","7989","21.000000","31.705125","Default Known Flow Node","Known Flow","233019.627563","639255.236157","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007990","Nodes","7990","21.000000","31.705125","Default Known Flow Node","Known Flow","233034.118567","639279.532163","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007991","Nodes","7991","21.000000","31.286988","Default Known Flow Node","Known Flow","233072.237577","639299.497169","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007993","Nodes","7993","21.000000","31.310523","Default Known Flow Node","Known Flow","233069.507577","639299.060169","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007994","Nodes","7994","21.000000","31.357628","Default Known Flow Node","Known Flow","233058.414574","639305.837170","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007995","Nodes","7995","21.000000","31.302902","Default Known Flow Node","Known Flow","233071.302577","639297.964168","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007996","Nodes","7996","21.000000","31.447741","Default Known Flow Node","Known Flow","233062.083493","639282.520415","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007789","Nodes","7789","21.000000","31.320649","Default Known Flow Node","Known Flow","233070.154577","639296.083168","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007997","Nodes","7997","21.000000","31.490846","Default Known Flow Node","Known Flow","233083.971581","639283.521164","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007998","Nodes","7998","21.000000","30.684630","Default Known Flow Node","Known Flow","233119.196590","639372.466189","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007999","Nodes","7999","21.000000","30.670754","Default Known Flow Node","Known Flow","233120.499590","639374.019189","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600008001","Nodes","8001","21.000000","33.704034","DDS demands","Known Flow","232883.630526","639252.823156","","0.000000","","","","","","","-2.840000","","","","","","","","-2.539578","-2.840000","","","","","","","","","","D1 PROFILE","","","","","","","",""
"62500600008002","Nodes","8002","21.000000","30.358301","Default Known Flow Node","Known Flow","233156.464600","639397.654195","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600008003","Nodes","8003","21.000000","30.581395","Default Known Flow Node","Known Flow","233127.997593","639384.657192","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600008004","Nodes","8004","21.000000","30.371890","Default Known Flow Node","Known Flow","233154.557600","639397.104195","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600008094","Nodes","8094","21.000000","32.047290","DDS demands","Known Flow","232876.843732","640344.810167","","0.000000","","","","","","","-2.039999","","","","","","","","-1.824204","-2.039999","","","","","","","","","","D1 PROFILE","","","","","","","",""
"62500600008068","Nodes","8068","21.000000","30.060247","Default Known Flow Node","Known Flow","232758.205492","639987.633356","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600008069","Nodes","8069","21.000000","30.054995","Default Known Flow Node","Known Flow","232766.591494","639981.341354","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600008071","Nodes","8071","21.000000","30.056493","Default Known Flow Node","Known Flow","232764.790494","639982.109354","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600008072","Nodes","8072","21.000000","30.171220","Default Known Flow Node","Known Flow","232695.058475","640011.842363","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600008085","Nodes","8085","21.000000","29.880288","Default Known Flow Node","Known Flow","232774.556496","640143.212398","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600008088","Nodes","8088","21.000000","30.160026","Default Known Flow Node","Known Flow","232692.153474","640016.608364","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600008089","Nodes","8089","21.000000","31.535113","DDS demands","Known Flow","232816.969508","640396.755467","","0.000000","","","","","","","-7.139999","","","","","","","","-6.384715","-7.139999","","","","","","","","","","D1 PROFILE","","","","","","","",""
"62500600008098","Nodes","8098","21.000000","31.492022","Default Known Flow Node","Known Flow","232826.519719","640408.955307","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600008093","Nodes","8093","21.000000","32.047290","Default Known Flow Node","Known Flow","232870.438522","640360.933458","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600008095","Nodes","8095","21.000000","32.048636","Default Known Flow Node","Known Flow","232897.046530","640345.101453","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600008096","Nodes","8096","21.000000","31.535113","Default Known Flow Node","Known Flow","232822.484509","640432.708477","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600008090","Nodes","8090","21.000000","31.492022","Default Known Flow Node","Known Flow","232845.624516","640415.413472","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600008097","Nodes","8097","21.000000","31.535113","Default Known Flow Node","Known Flow","232824.695510","640416.091473","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600008101","Nodes","8101","21.000000","27.924541","Default Known Flow Node","Known Flow","232703.809571","640661.136016","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600008106","Nodes","8106","21.000000","27.433529","Default Known Flow Node","Known Flow","232705.304478","640556.393511","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600008110","Nodes","8110","21.000000","27.271305","Default Known Flow Node","Known Flow","232731.696750","640492.629334","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600008109","Nodes","8109","21.000000","27.271305","Default Known Flow Node","Known Flow","232726.039483","640526.890503","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600008113","Nodes","8113","21.000000","35.952862","Default Known Flow Node","Known Flow","232726.121483","640926.659612","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
