"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-PL)"
"62505100003030","Nodes","3030","21.000000","32.034846","Default Known Flow Node","Known Flow","234124.325000","677950.710000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62505100003001","Nodes","3001","21.000000","32.035339","Default Known Flow Node","Known Flow","234124.325000","677952.460000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62505100003026","Nodes","3026","21.000000","32.393478","Default Known Flow Node","Known Flow","234124.575000","677935.085000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62505100000043","Nodes","43","21.000000","32.393478","Default Known Flow Node","Known Flow","234124.575000","677933.085000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62505100000128","Nodes","128","21.000000","28.833808","Default Known Flow Node","Known Flow","234410.700000","677655.585000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62505100000190","Nodes","190","21.000000","29.344614","Default Known Flow Node","Known Flow","234322.601019","677979.052192","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62505100003002","Nodes","3002","21.000000","29.232763","Default Known Flow Node","Known Flow","234321.707612","677974.834687","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62505100000040","Nodes","40","21.000000","28.670238","DDS demands","Known Flow","234249.826539","677993.669398","","0.000000","","-2.789999","","","-11.510000","","","","-12.787316","-14.300000","","","","C2 PROFILE","","","D1 PROFILE","","",""
"62505100000196","Nodes","196","21.000000","32.319807","DDS demands","Known Flow","234060.200000","677947.960000","","0.000000","","","","","-4.539999","","","","-4.059749","-4.539999","","","","","","","D1 PROFILE","","",""
"62505100000045","Nodes","45","21.000000","32.290294","DDS demands","Known Flow","234014.950000","677973.335000","","0.000000","","","","","-6.170000","","","","-5.517324","-6.170000","","","","","","","D1 PROFILE","","",""
