"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"62504100000214","Nodes","214",21.000000,27.970663,"DDS demands","Known Flow",219277.776226,667783.902268,,0.000000,,,,,,-25.360001,,,,-22.677367,-25.360001,,"",,,,,,"D1 PROFILE",,,
"62504100000235","Nodes","235",21.000000,24.093967,"DDS demands","Known Flow",219295.575829,670300.959605,,0.000000,,,,,,-6.619999,,,,-5.919722,-6.619999,,"",,,,,,"D1 PROFILE",,,
"62504100001001","Nodes","Logger 9736, 13 Brueacre Road (WB)",21.000000,24.108757,"Val Log Cath","Known Flow",219346.555293,670285.753925,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100006178","Nodes","6178",21.000000,24.114948,"Default Known Flow Node","Known Flow",219350.575844,670286.959601,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100006175","Nodes","6175",21.000000,28.710522,"Default Known Flow Node","Known Flow",219012.325752,670238.834588,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100001002","Nodes","Logger 9877, 19 Castle Wemyss Drive",21.000000,28.660786,"Val Log Cath","Known Flow",219013.445072,670247.585630,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100000333","Nodes","333",21.000000,28.102959,"DDS demands","Known Flow",219052.575763,670346.459617,,0.000000,,,,,,-22.440000,,,,-20.066249,-22.440000,,"",,,,,,"D1 PROFILE",,,
"62504100006004","Nodes","6004",21.000000,31.604931,"Default Known Flow Node","Known Flow",219472.075877,663927.707870,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100000377","Nodes","377",21.000000,31.146573,"DDS demands","Known Flow",219388.075854,663901.957863,,0.000000,,,-7.459999,,,-1.440000,,,,-7.958539,-8.900000,,"",,,"C3  PROFILE",,,"D1 PROFILE",,,
"62504100000367","Nodes","367, The Keep, Skelmorlie Castle",21.000000,32.952685,"Point Loads","Known Flow",219560.075901,665785.958376,,0.000000,,,,,,-1.630000,,,-14.770000,-14.665173,-16.400000,,"",,,,,,"D1 PROFILE",,,"PL-AF PROFILE"
"62504100000366","Nodes","366",21.000000,33.554511,"Default Known Flow Node","Known Flow",219622.825918,665949.458420,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100000365","Nodes","365",21.000000,33.835214,"Default Known Flow Node","Known Flow",219656.075927,666001.083434,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100000264","Nodes","264",21.000000,36.048373,"DDS demands","Known Flow",219777.200960,666991.833704,,0.000000,,,,,,-3.609999,,,,-3.228126,-3.609999,,"",,,,,,"D1 PROFILE",,,
"62504100000364","Nodes","364",21.000000,35.355019,"Default Known Flow Node","Known Flow",219721.450945,666502.333571,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100000245","Nodes","245",21.000000,25.544153,"Default Known Flow Node","Known Flow",219241.825815,667495.208841,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100000248","Nodes","248",21.000000,27.023864,"DDS demands","Known Flow",219361.825847,667494.333841,,0.000000,,,,,,-8.100000,,,,-7.243165,-8.100000,,"",,,,,,"D1 PROFILE",,,
"62504100006006","Nodes","6006",21.000000,27.021462,"Default Known Flow Node","Known Flow",219361.700847,667489.708840,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
