"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"62502200005831","Nodes","5831",21.000000,33.774109,"Default Known Flow Node","Known Flow",241895.378788,646410.847752,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200005470","Nodes","5470",21.000000,35.444875,"Default Known Flow Node","Known Flow",241754.823940,646291.958071,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200005471","Nodes","5471",21.000000,37.151257,"Default Known Flow Node","Known Flow",241968.842141,645959.825075,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200005472","Nodes","5472",21.000000,37.107807,"Default Known Flow Node","Known Flow",241986.985003,645971.457984,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200005490","Nodes","5490",21.000000,30.028500,"Default Known Flow Node","Known Flow",242134.567043,646430.602109,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200005494","Nodes","5494",21.000000,30.258987,"Default Known Flow Node","Known Flow",242146.854046,646401.751101,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200005495","Nodes","5495",21.000000,30.054467,"Default Known Flow Node","Known Flow",242135.348043,646428.760109,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200005497","Nodes","5497",21.000000,30.633260,"Default Known Flow Node","Known Flow",242145.456046,646401.191101,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200005570","Nodes","5570",21.000000,33.020337,"Default Known Flow Node","Known Flow",242103.157947,645984.654055,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200005516","Nodes","5516",21.000000,30.293187,"Default Known Flow Node","Known Flow",242147.962047,646399.358101,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
