"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"62503700000084","Nodes","84","21.000000","30.634610","DDS demands","Known Flow","239112.706221","665083.685000","","0.000000","","","","","-19.810000","","","","","-17.714457","-19.810000","","","","","","","D1 PROFILE","","","",""
"62503700003084","Nodes","-119030","21.000000","31.364472","Default Known Flow Node","Known Flow","239233.595003","665058.524741","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62503700000156","Nodes","156","21.000000","32.102305","DDS demands","Known Flow","239092.947758","665453.423595","","0.000000","","","","","-10.509999","","","","","-9.398229","-10.509999","","","","","","","D1 PROFILE","","","",""
"62503700003085","Nodes","-119031","21.000000","31.358620","Default Known Flow Node","Known Flow","239256.116538","665097.803735","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62503700000417","Nodes","417","21.000000","31.191904","DDS demands","Known Flow","239349.920762","665099.071464","","0.000000","","","-2.529999","","","","","","","-2.262371","-2.529999","","","","","C3 PROFILE","","","","","",""
"62503700003132","Nodes","-330379","21.000000","32.090161","Default Known Flow Node","Known Flow","239103.206218","665465.833289","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62503700000386","Nodes","386","21.000000","30.915678","DDS demands","Known Flow","237789.374544","665594.706170","","0.000000","","","-3.690000","","","","","","","-3.299664","-3.690000","","","","","C3 PROFILE","","","","","",""
"62503700000383","Nodes","383","21.000000","31.509785","Default Known Flow Node","Known Flow","237907.635899","665541.678615","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62503700000250","Nodes","250","21.000000","30.657330","DDS demands","Known Flow","238422.353190","665557.175742","","0.000000","","","-2.480000","","-19.080000","","","","","-19.279338","-21.560001","","","","","C3 PROFILE","","D1 PROFILE","","","",""
"62503700000237","Nodes","237","21.000000","30.141804","DDS demands","Known Flow","238113.895475","665589.321211","","0.000000","","","","","-23.690000","","","","","-21.184023","-23.690000","","","","","","","D1 PROFILE","","","",""
