"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)"
"62506700006029","Nodes","6029",21.000000,58.148385,"Default Known Flow Node","Known Flow",236097.471400,614632.798457,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62506700006023","Nodes","6023",21.000000,55.137046,"DDS demands","Known Flow",236314.160459,614668.750467,,0.000000,,,,-11.810000,,,,-10.560714,-11.810000,,"",,,,"D1 PROFILE",,,
"62506700006073","Nodes","6073",21.000000,43.452915,"DDS demands","Known Flow",236571.198793,614339.514041,,0.000000,,,,-15.030000,,,,-13.440095,-15.030000,,"",,,,"D1 PROFILE",,,
"62506700006035","Nodes","6035",21.000000,46.091839,"DDS demands","Known Flow",236509.689513,614349.081380,,0.000000,,-5.119999,,,,,,-4.578395,-5.119999,,"",,"C2 PROFILE",,,,,
"62506700006038","Nodes","6038",21.000000,36.661385,"DDS demands","Known Flow",236358.666471,614535.778430,,0.000000,,,,-7.070000,,,,-6.322121,-7.070000,,"",,,,"D1 PROFILE",,,
"62506700006037","Nodes","6037",21.000000,36.573839,"DDS demands","Known Flow",236308.726458,614480.596415,,0.000000,,,,-3.749999,,,,-3.353317,-3.749999,,"",,,,"D1 PROFILE",,,
"62506700006039","Nodes","6039",21.000000,45.952774,"Default Known Flow Node","Known Flow",236387.951479,614428.666401,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62506700006041","Nodes","6041",21.000000,51.990234,"Default Known Flow Node","Known Flow",236349.518469,614682.177470,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62506700006042","Nodes","6042",21.000000,51.990234,"Default Known Flow Node","Known Flow",236341.808467,614695.296474,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62506700006043","Nodes","6043",21.000000,32.901442,"DDS demands","Known Flow",236733.904574,614517.671425,,0.000000,,,,-6.919999,,,,-6.187987,-6.919999,,"",,,,"D1 PROFILE",,,
"62506700006045","Nodes","6045",21.000000,45.274937,"Default Known Flow Node","Known Flow",236483.427505,614665.461466,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62506700006047","Nodes","6047",21.000000,46.639249,"Default Known Flow Node","Known Flow",236468.903501,614712.761478,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62506700006048","Nodes","6048",21.000000,46.127658,"Default Known Flow Node","Known Flow",236493.086508,614717.049480,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62506700006049","Nodes","6049",21.000000,45.512147,"Default Known Flow Node","Known Flow",236502.460511,614689.729472,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62506700006050","Nodes","6050",21.000000,45.347587,"DDS demands","Known Flow",236387.914479,614712.245478,,0.000000,,,,-10.280000,,,,-9.192560,-10.280000,,"",,,,"D1 PROFILE",,,
"62506700006051","Nodes","6051",21.000000,45.347587,"Default Known Flow Node","Known Flow",236371.317475,614707.199477,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62506700006052","Nodes","6052",21.000000,48.647896,"Default Known Flow Node","Known Flow",236387.379479,614696.730474,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62506700006068","Nodes","6068",21.000000,48.217165,"Default Known Flow Node","Known Flow",236392.877403,614698.269597,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62506700006053","Nodes","6053",21.000000,49.279792,"Default Known Flow Node","Known Flow",236379.513477,614693.493473,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62506700006055","Nodes","6055",21.000000,34.947298,"DDS demands","Known Flow",236793.927590,614511.256424,,0.000000,,,,-7.600000,,,,-6.796056,-7.600000,,"",,,,"D1 PROFILE",,,
"62506700006059","Nodes","6059",21.000000,32.170148,"Default Known Flow Node","Known Flow",236266.554446,614766.729493,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62506700006060","Nodes","6060",21.000000,32.170148,"Default Known Flow Node","Known Flow",236255.542443,614796.282501,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62506700006061","Nodes","6061",21.000000,32.256998,"DDS demands","Known Flow",236339.845466,614780.235497,,0.000000,,,,-22.750000,,,,-20.343458,-22.750000,,"",,,,"D1 PROFILE",,,
