"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"625043-92569","Nodes","-92569",21.000000,45.505079,"Default Known Flow Node","Known Flow",220343.000000,646846.125000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504300000031","Nodes","31",21.000000,49.931294,"DDS demands","Known Flow",220479.500000,646640.125000,,0.000000,,,,,-12.109999,,,,,-10.828979,-12.109999,,"",,,,,"D1 PROFILE",,,,
"625043-92570","Nodes","-92570",21.000000,49.942633,"Default Known Flow Node","Known Flow",220465.000000,646634.750000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504300000218","Nodes","218",21.000000,49.534352,"DDS demands","Known Flow",220459.625000,646685.500000,,0.000000,,,,,-10.849999,,,,,-9.702263,-10.849999,,"",,,,,"D1 PROFILE",,,,
"62504300000219","Nodes","219",21.000000,47.901544,"DDS demands","Known Flow",220432.875000,646742.625000,,0.000000,,,,,-6.500000,,,,,-5.812416,-6.500000,,"",,,,,"D1 PROFILE",,,,
"62504300000220","Nodes","220",21.000000,45.871614,"DDS demands","Known Flow",220376.500000,646864.875000,,0.000000,,,,,-14.290000,,,,,-12.778373,-14.290000,,"",,,,,"D1 PROFILE",,,,
"625043-92568","Nodes","-92568",21.000000,45.513524,"Default Known Flow Node","Known Flow",220335.625000,646861.000000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504300000223","Nodes","223",21.000000,45.392221,"DDS demands","Known Flow",220388.750000,646746.875000,,0.000000,,,,,-3.079999,,,,,-2.754191,-3.079999,,"",,,,,"D1 PROFILE",,,,
"62504300000222","Nodes","222",21.000000,45.499560,"DDS demands","Known Flow",220328.250000,646839.375000,,0.000000,,,,,-2.490000,,,,,-2.226602,-2.490000,,"",,,,,"D1 PROFILE",,,,
"62504300000224","Nodes","224",21.000000,44.855566,"DDS demands","Known Flow",220251.375000,647117.125000,,0.000000,,,,,-0.469999,,,,,-0.420282,-0.469999,,"",,,,,"D1 PROFILE",,,,
