"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"62500300003620","Nodes","3620",21.000000,30.058449,"DDS demands","Known Flow",227592.828087,675429.086000,,0.000000,,,,,,,-2.019999,,,,0.000000,,,,,,-1.806320,-2.019999,,"",,,,,,,"D1 PROFILE",,,,"I2 PROFILE",,,,,
"62500301462907","Nodes","-1462907",21.000000,32.200247,"Default Known Flow Node","Known Flow",227822.703149,675458.336008,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300002554","Nodes","-2554",21.000000,32.874075,"Default Known Flow Node","Known Flow",227911.328173,675444.961004,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500301462501","Nodes","-1462501",21.000000,35.042854,"Default Known Flow Node","Known Flow",228281.703274,675002.210884,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300001534","Nodes","1534",21.000000,35.042854,"Default Known Flow Node","Known Flow",228290.578276,675021.710889,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300001538","Nodes","1538",21.000000,34.650663,"DDS demands","Known Flow",228441.328317,675010.085886,,0.000000,,,,,,,-14.590000,,,,,,,,,,-13.046639,-14.590000,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"62500300001501","Nodes","1501",21.000000,33.570655,"DDS demands","Known Flow",228490.703331,675389.085989,,0.000000,-5.570000,0.000000,,,,,0.000000,,,,-61.490002,,,,,,-59.966255,-67.060002,,"","C1 PROFILE","C2 PROFILE",,,,,"D1 PROFILE",,,,"I2 PROFILE",,,,,
"62500300002520","Nodes","-2520",21.000000,33.588197,"Default Known Flow Node","Known Flow",228494.203332,675396.585991,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300004264","Nodes","4264",21.000000,33.317251,"Default Known Flow Node","Known Flow",228417.703311,675243.960950,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300004263","Nodes","4263",21.000000,33.533599,"Default Known Flow Node","Known Flow",228329.828287,675252.085952,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500301464879","Nodes","-1464879",21.000000,33.570655,"Default Known Flow Node","Known Flow",228486.453330,675390.585989,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300004274","Nodes","4274",21.000000,34.675600,"Default Known Flow Node","Known Flow",228150.203238,675400.210992,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300002511","Nodes","-2511",21.000000,34.912226,"Default Known Flow Node","Known Flow",228202.203252,675389.585989,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
