"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)"
"62506100000055","Nodes","55",21.000000,47.888788,"DDS demands","Known Flow",240606.339576,624950.421781,,0.000000,,,,-11.100000,,,-9.925818,-11.100000,,"",,,,"D1 PROFILE",,
"62506100000066","Nodes","66",21.000000,36.479799,"DDS demands","Known Flow",240750.368381,624947.881854,,0.000000,,,,-3.749999,,,-3.353317,-3.749999,,"",,,,"D1 PROFILE",,
"62506100000065","Nodes","65",21.000000,36.577837,"Default Known Flow Node","Known Flow",240756.057557,624997.082432,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62506100000024","Nodes","24",21.000000,57.761023,"DDS demands","Known Flow",240643.073086,624629.570348,,0.000000,,,,-9.520000,,,-8.512955,-9.520000,,"",,,,"D1 PROFILE",,
"62506100000026","Nodes","26",21.000000,54.657641,"DDS demands","Known Flow",240585.888776,624577.831391,,0.000000,,,,-19.089999,,,-17.070619,-19.089999,,"",,,,"D1 PROFILE",,
"62506100000025","Nodes","25",21.000000,57.632906,"DDS demands","Known Flow",240666.312980,624601.933717,,0.000000,,,,-8.069999,,,-7.216338,-8.069999,,"",,,,"D1 PROFILE",,
"62506100000027","Nodes","27",21.000000,54.558904,"DDS demands","Known Flow",240566.964710,624587.956704,,0.000000,,,,-3.219999,,,-2.879381,-3.219999,,"",,,,"D1 PROFILE",,
"62506100000028","Nodes","28",21.000000,54.204801,"DDS demands","Known Flow",240682.683461,624558.262186,,0.000000,,,,-10.229999,,,-9.147848,-10.229999,,"",,,,"D1 PROFILE",,
"62506100000023","Nodes","23",21.000000,58.458680,"DDS demands","Known Flow",240610.788476,624666.000452,,0.000000,,,,-4.400000,,,-3.934558,-4.400000,,"",,,,"D1 PROFILE",,
"62506100000056","Nodes","56",21.000000,42.445966,"DDS demands","Known Flow",240646.081964,624922.034361,,0.000000,,,,-15.999999,,,-14.307486,-15.999999,,"",,,,"D1 PROFILE",,
"62506100000057","Nodes","57",21.000000,42.488685,"Default Known Flow Node","Known Flow",240642.795000,624933.389329,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62506100000058","Nodes","58",21.000000,41.114260,"DDS demands","Known Flow",240739.909858,624938.170369,,0.000000,,,,-18.479999,,,-16.525146,-18.479999,,"",,,,"D1 PROFILE",,
