"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"625020-169860","Nodes","-169860",21.000000,32.110912,"Default Known Flow Node","Known Flow",249159.125000,636282.875000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"625020-298930","Nodes","-298930",21.000000,32.857203,"Default Known Flow Node","Known Flow",249340.375000,636420.125000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"625020-169896","Nodes","-169896",21.000000,32.863739,"Default Known Flow Node","Known Flow",249298.375000,636425.250000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"62502000000300","Nodes","300",21.000000,32.548909,"DDS demands","Known Flow",249326.625000,636455.750000,,0.000000,,,,,-1.720000,,,,,,,-1.538054,-1.720000,,"",,,,,"D1 PROFILE",,,,,,
"62502000000111","Nodes","111",21.000000,32.157992,"DDS demands","Known Flow",249153.125000,636344.875000,,0.000000,,,,,-16.139999,,,,,,,-14.432676,-16.139999,,"",,,,,"D1 PROFILE",,,,,,
"62502000000145","Nodes","145",21.000000,31.875533,"DDS demands","Known Flow",249225.875000,636265.250000,,0.000000,,,,,-9.359999,,,,,,,-8.369879,-9.359999,,"",,,,,"D1 PROFILE",,,,,,
"62502000000143","Nodes","143",21.000000,31.584494,"DDS demands","Known Flow",249231.250000,636219.250000,,0.000000,,,,,-25.809999,,,,,,,-23.079764,-25.809999,,"",,,,,"D1 PROFILE",,,,,,
"62502000000358","Nodes","358",21.000000,31.788379,"Default Known Flow Node","Known Flow",249282.125000,636256.000000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"62502000000144","Nodes","144",21.000000,31.780873,"DDS demands","Known Flow",249134.500000,636241.250000,,0.000000,,,,,-3.790000,,,,,,,-3.389085,-3.790000,,"",,,,,"D1 PROFILE",,,,,,
"62502000000357","Nodes","357",21.000000,31.671679,"Default Known Flow Node","Known Flow",249150.000000,636200.000000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"625020-169885","Nodes","-169885",21.000000,31.584494,"Default Known Flow Node","Known Flow",249250.750000,636183.875000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"62502000000241","Nodes","241",21.000000,32.829046,"DDS demands","Known Flow",249412.375000,636364.500000,,0.000000,,,,,-5.209999,,,,,,,-4.658875,-5.209999,,"",,,,,"D1 PROFILE",,,,,,
