"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)"
"62501700000153","Nodes","153","21.000000","29.295007","DDS demands","Known Flow","229978.022325","609864.125944","","0.000000","-22.219999","","","","","-8.859999","","","","","-27.792292","-31.079998","","","C1 PROFILE","","","","","D1 PROFILE","","","",""
"62501700000327","Nodes","327","21.000000","28.874770","DDS demands","Known Flow","229927.502722","609825.241149","","0.000000","","","","","","-3.140000","","","","","-2.807844","-3.140000","","","","","","","","D1 PROFILE","","","",""
"62501700000257","Nodes","257","21.000000","28.665458","DDS demands","Known Flow","229911.096999","609812.565012","","0.000000","-6.000000","","-2.180000","","","-2.650000","","","","","-9.684380","-10.830000","","","C1 PROFILE","","C3 PROFILE","","","D1 PROFILE","","","",""
"62501700011758","Nodes","-120","21.000000","28.660599","Default Known Flow Node","Known Flow","229905.034716","609817.613146","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501700000144","Nodes","144","21.000000","31.383841","DDS demands","Known Flow","229910.622717","609684.055110","","0.000000","","","","","","-3.280000","","","","","-2.933034","-3.280000","","","","","","","","D1 PROFILE","","","",""
"62501700000047","Nodes","47","21.000000","28.128367","DDS demands","Known Flow","229842.823848","609963.845255","","0.000000","","","","-5.610000","","-12.479999","","","","","-16.176401","-18.089999","","","","","","C4 PROFILE","","D1 PROFILE","","","",""
"62501700000245","Nodes","245","21.000000","27.475052","DDS demands","Known Flow","229812.206690","609813.208145","","0.000000","","","","","","-4.439999","","","","","-3.970327","-4.439999","","","","","","","","D1 PROFILE","","","",""
"62501700000246","Nodes","246","21.000000","27.379917","DDS demands","Known Flow","229843.475699","609835.238151","","0.000000","","","","","","-5.929999","","","","","-5.302711","-5.929999","","","","","","","","D1 PROFILE","","","",""
"62501700011774","Nodes","-1462492","21.000000","31.962868","Default Known Flow Node","Known Flow","229857.022703","609565.693078","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501700000256","Nodes","256","21.000000","28.792613","Default Known Flow Node","Known Flow","229865.215705","609781.655137","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501700000344","Nodes","344","21.000000","30.728952","DDS demands","Known Flow","230001.623742","609389.506030","","0.000000","","","","","","-2.240000","","","","","-2.003048","-2.240000","","","","","","","","D1 PROFILE","","","",""
"62501700000341","Nodes","341","21.000000","30.988828","Default Known Flow Node","Known Flow","230005.142670","609429.271874","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501700011794","Nodes","-15","21.000000","30.074918","Default Known Flow Node","Known Flow","230027.715749","609366.212024","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501700011790","Nodes","-1462638","21.000000","30.074918","Default Known Flow Node","Known Flow","230030.317750","609354.255020","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501700000345","Nodes","345","21.000000","30.398976","DDS demands","Known Flow","230044.723355","609433.184372","","0.000000","","","","","","-13.109999","","","","","-11.723196","-13.109999","","","","","","","","D1 PROFILE","","","",""
"62501700011808","Nodes","-18","21.000000","30.298178","Default Known Flow Node","Known Flow","230038.673113","609384.760569","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501700000132","Nodes","132","21.000000","29.951275","DDS demands","Known Flow","230022.271689","609299.765225","","0.000000","","","","","","-12.879999","","","","","-11.517526","-12.879999","","","","","","","","D1 PROFILE","","","",""
"62501700011851","Nodes","-4","21.000000","29.949078","Default Known Flow Node","Known Flow","230020.260100","609300.350386","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501700000346","Nodes","346","21.000000","29.879981","Default Known Flow Node","Known Flow","230033.650605","609296.750393","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501700000119","Nodes","119","21.000000","30.074918","DDS demands","Known Flow","230043.153652","609371.781024","","0.000000","","","","","","-15.070000","","","","","-13.475863","-15.070000","","","","","","","","D1 PROFILE","","","",""
"62501700011810","Nodes","-19","21.000000","29.857964","Default Known Flow Node","Known Flow","230091.440512","609390.014265","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501700011782","Nodes","-1462588","21.000000","29.950290","Default Known Flow Node","Known Flow","230029.492241","609334.342728","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501700011788","Nodes","-1462634","21.000000","30.293257","Default Known Flow Node","Known Flow","230019.850747","609384.857029","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501700011781","Nodes","-1462552","21.000000","30.123602","Default Known Flow Node","Known Flow","230085.796601","609399.832647","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501700000131","Nodes","131","21.000000","29.818884","Daily Metered Site","Known Flow","230096.211768","609380.135027","","0.000000","","","","","","","","","","-174.229989","-155.799570","-174.229989","","","","","","","","","","","","I2 PROFILE"
"62501700011754","Nodes","-117","21.000000","32.943206","Default Known Flow Node","Known Flow","230028.818854","609816.951919","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501700000297","Nodes","297","21.000000","36.347359","Default Known Flow Node","Known Flow","230314.827827","609857.921157","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501700000296","Nodes","296","21.000000","37.423013","Default Known Flow Node","Known Flow","230324.054830","609849.915155","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501700000184","Nodes","184","21.000000","33.342079","DDS demands","Known Flow","230203.558919","609823.526062","","0.000000","","","","","","-7.119999","","","","","-6.366831","-7.119999","","","","","","","","D1 PROFILE","","","",""
"62501700011763","Nodes","-133","21.000000","33.433758","Default Known Flow Node","Known Flow","230185.252058","609843.111330","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501700000154","Nodes","154","21.000000","33.480495","Default Known Flow Node","Known Flow","230184.107605","609825.593183","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501700011771","Nodes","-1462481","21.000000","29.552299","Default Known Flow Node","Known Flow","230010.752744","609889.438166","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501700011760","Nodes","-125","21.000000","33.342079","Default Known Flow Node","Known Flow","230220.982606","609824.680614","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501700000293","Nodes","293","21.000000","33.952932","Default Known Flow Node","Known Flow","230390.395455","609969.090827","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501700000295","Nodes","295","21.000000","33.947686","DDS demands","Known Flow","230382.499807","609959.949881","","0.000000","","","","","","-3.020000","","","","","-2.700538","-3.020000","","","","","","","","D1 PROFILE","","","",""
"62501700000305","Nodes","305","21.000000","32.632266","Default Known Flow Node","Known Flow","230250.327810","609935.668179","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501700000306","Nodes","306","21.000000","32.612115","DDS demands","Known Flow","230259.289812","609949.602182","","0.000000","","","","","","-12.399999","","","","","-11.088301","-12.399999","","","","","","","","D1 PROFILE","","","",""
"62501700000090","Nodes","90","21.000000","36.040951","DDS demands","Known Flow","230312.082048","609854.152286","","0.000000","","","","","","-1.450000","","","","","-1.296616","-1.450000","","","","","","","","D1 PROFILE","","","",""
"62501700000002","Nodes","Crosshill Road DG, Clocked, Tel, Site ID 3681","21.000000","37.499998","Default Known Pressure Node","Known Pressure","230323.250829","609848.905155","","5029.740413","","","","","","","","","","","1879.870111","2102.250549","","","","","","","","","","","",""
"62501700000093","Nodes","93","21.000000","34.665445","DDS demands","Known Flow","230246.906934","609777.674034","","0.000000","","","","","","-4.130000","","","","","-3.693120","-4.130000","","","","","","","","D1 PROFILE","","","",""
"62501700000331","Nodes","331","21.000000","34.640788","Default Known Flow Node","Known Flow","230221.990506","609792.097832","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501700011764","Nodes","-135","21.000000","33.489747","Default Known Flow Node","Known Flow","230142.188710","609844.490367","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501700000140","Nodes","140","21.000000","33.018112","DDS demands","Known Flow","230051.060755","609752.835129","","0.000000","","","","","","-19.559999","","","","","-17.490900","-19.559999","","","","","","","","D1 PROFILE","","","",""
"62501700000137","Nodes","137","21.000000","33.370660","DDS demands","Known Flow","230081.566281","609788.241029","","0.000000","","","","","","-2.009999","","","","","-1.797377","-2.009999","","","","","","","","D1 PROFILE","","","",""
"62501700000201","Nodes","201","21.000000","32.958286","DDS demands","Known Flow","230030.129612","609814.538114","","0.000000","","","","","","-6.500000","","","","","-5.812416","-6.500000","","","","","","","","D1 PROFILE","","","",""
