"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)"
"62503900002024","Nodes","2024",21.000000,36.563930,"Default Known Flow Node","Known Flow",268374.614183,626874.161788,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900002026","Nodes","2026",21.000000,37.107318,"Default Known Flow Node","Known Flow",268545.167229,626830.333776,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900002028","Nodes","2028",21.000000,29.655739,"Default Known Flow Node","Known Flow",268656.257259,626926.225802,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900002029","Nodes","2029",21.000000,31.269740,"Default Known Flow Node","Known Flow",268768.731290,626848.744781,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900002032","Nodes","2032",21.000000,30.394172,"Default Known Flow Node","Known Flow",268719.578277,626967.840813,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900002034","Nodes","2034",21.000000,37.675806,"Default Known Flow Node","Known Flow",268438.392200,626575.318706,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900002036","Nodes","2036",21.000000,37.639510,"Default Known Flow Node","Known Flow",268425.752197,626625.699720,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900002038","Nodes","2038",21.000000,37.696642,"Default Known Flow Node","Known Flow",268504.201218,626802.812768,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900002042","Nodes","2042",21.000000,27.527817,"DDS demands","Known Flow",268878.367320,626897.867794,,0.000000,,-15.100000,,,,,,,-13.502690,-15.100000,,"",,"C2 PROFILE",,,,,,
"62503900002043","Nodes","2043",21.000000,37.197178,"Default Known Flow Node","Known Flow",268570.715236,626905.374796,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900002046","Nodes","2046",21.000000,30.909486,"Default Known Flow Node","Known Flow",268704.931273,627012.668825,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900002050","Nodes","2050",21.000000,38.475607,"Default Known Flow Node","Known Flow",268527.144224,626567.007704,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900002055","Nodes","2055",21.000000,29.004494,"DDS demands","Known Flow",268628.520252,626742.718752,,0.000000,,,,,-13.380000,,,,-11.964636,-13.380000,,"",,,,,"D1 PROFILE",,,
"62503900002057","Nodes","2057",21.000000,32.564558,"Default Known Flow Node","Known Flow",268827.144306,626793.551766,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900002058","Nodes","2058",21.000000,32.442851,"DDS demands","Known Flow",268820.087304,626814.378771,,0.000000,-15.590000,,,,,,,,-13.940857,-15.590000,,"","C1 PROFILE",,,,,,,
