"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"80003700000698","Nodes","698","21.000000","29.568986","DDS demands","Known Flow","469795.006992","205541.624140","","0.000000","","","","","","-10.020000","","","","","-8.960063","-10.020000","","","","","","","","D1 PROFILE","","","",""
"80003700009097","Nodes","-157011","21.000000","29.567391","Default Known Flow Node","Known Flow","469795.569992","205538.597139","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80003700000700","Nodes","700","21.000000","28.396769","DDS demands","Known Flow","469885.872016","205516.464133","","0.000000","","","","","","-3.059999","","","","","-2.736306","-3.059999","","","","","","","","D1 PROFILE","","","",""
"80003700009167","Nodes","","21.000000","30.329925","DDS demands","Known Flow","469985.460166","205691.709831","","0.000000","","","","","","-11.600000","","","","","-10.372928","-11.600000","","","","","","","","D1 PROFILE","","","",""
"80003700000702","Nodes","702","21.000000","28.278375","DDS demands","Known Flow","469874.576013","205473.868121","","0.000000","","","","","","-6.630000","","","","","-5.928664","-6.630000","","","","","","","","D1 PROFILE","","","",""
"80003700009231","Nodes","-87684","21.000000","31.931426","Default Known Flow Node","Known Flow","471189.803371","204981.580987","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80003700000193","Nodes","193","21.000000","31.931426","DDS demands","Known Flow","471193.662372","204994.042991","","0.000000","-5.879999","","","","","-0.739999","","","","","-5.919722","-6.619999","","","C1 PROFILE","","","","","D1 PROFILE","","","",""
"80003700000723","Nodes","723","21.000000","31.984571","DDS demands","Known Flow","471481.236450","204920.325971","","0.000000","","","","","","","","-14.089999","","","-12.599530","-14.089999","","","","","","","","","","I2 PROFILE","",""
"80003700009235","Nodes","-87722","21.000000","31.984729","Default Known Flow Node","Known Flow","471477.862353","204921.204642","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80003700000645","Nodes","645","21.000000","32.092240","Default Known Flow Node","Known Flow","471340.194844","204987.135132","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80003700000669","Nodes","669","21.000000","31.902989","DDS demands","Known Flow","471408.889984","204951.785470","","0.000000","","-26.010001","","","","-0.249999","","-62.470001","","","-79.343959","-88.730003","","","","C2 PROFILE","","","","D1 PROFILE","","I2 PROFILE","",""
"80003700000194","Nodes","194","21.000000","31.961171","DDS demands","Known Flow","471464.628446","204924.650972","","0.000000","","","","","","","","-11.379999","","","-10.176199","-11.379999","","","","","","","","","","I2 PROFILE","",""
"80003700000724","Nodes","724","21.000000","31.984571","Default Known Flow Node","Known Flow","471487.236907","204927.063084","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80003700000216","Nodes","216","21.000000","32.306691","DDS demands","Known Flow","471620.023832","204867.068413","","0.000000","","","","","","","","-43.000000","","","-38.451370","-43.000000","","","","","","","","","","I2 PROFILE","",""
"80003700000676","Nodes","676","21.000000","35.632388","DDS demands","Known Flow","471840.709917","204933.436794","","0.000000","","-10.880000","","","","-10.300000","","-13.009999","","","-30.573310","-34.190001","","","","C2 PROFILE","","","","D1 PROFILE","","I2 PROFILE","",""
"80003700000677","Nodes","677","21.000000","36.068326","DDS demands","Known Flow","471849.133682","204894.283352","","0.000000","-0.099999","","","","","-0.399999","","-3.579999","","","-3.648408","-4.079999","","","C1 PROFILE","","","","","D1 PROFILE","","I2 PROFILE","",""
"80003700009241","Nodes","-87738","21.000000","32.456511","Default Known Flow Node","Known Flow","471641.855230","204903.671272","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80003700000563","Nodes","563","21.000000","32.456511","Default Known Flow Node","Known Flow","471654.363497","204898.911965","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80003700000739","Nodes","739","21.000000","33.062652","DDS demands","Known Flow","471696.259758","204999.589432","","0.000000","","","","","","","","-22.230000","","","-19.878464","-22.230000","","","","","","","","","","I2 PROFILE","",""
"80003700009243","Nodes","-87753","21.000000","36.068326","Default Known Flow Node","Known Flow","471842.241549","204889.222962","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80003700009246","Nodes","-87776","21.000000","36.847953","Default Known Flow Node","Known Flow","471953.862239","204930.981428","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80003700009214","Nodes","-83347","21.000000","35.730767","Default Known Flow Node","Known Flow","470486.590180","205464.917119","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80003700009213","Nodes","-83346","21.000000","35.730767","Default Known Flow Node","Known Flow","470481.581249","205453.100477","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80003700009211","Nodes","-83336","21.000000","35.131346","Default Known Flow Node","Known Flow","470436.014166","205401.150101","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80003700009208","Nodes","-83319","21.000000","34.912091","Default Known Flow Node","Known Flow","470207.297036","205454.240890","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80003700000242","Nodes","242","21.000000","35.103783","DDS demands","Known Flow","470275.713298","205429.798953","","0.000000","","","","","","-20.079999","","","","","-17.955894","-20.079999","","","","","","","","D1 PROFILE","","","",""
"80003700000243","Nodes","243","21.000000","35.126928","DDS demands","Known Flow","470284.248977","205454.944460","","0.000000","","","","","","-9.880000","","","","","-8.834873","-9.880000","","","","","","","","D1 PROFILE","","","",""
"80003700009210","Nodes","-83329","21.000000","35.018735","Default Known Flow Node","Known Flow","470343.499185","205480.688597","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80003700009209","Nodes","-83328","21.000000","35.117562","Default Known Flow Node","Known Flow","470299.506129","205418.569106","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80003700000641","Nodes","641","21.000000","35.165858","Default Known Flow Node","Known Flow","470438.388512","205412.624663","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80003700009212","Nodes","-83339","21.000000","35.063427","Default Known Flow Node","Known Flow","470445.376168","205386.676098","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80003700000637","Nodes","637","21.000000","35.714604","DDS demands","Known Flow","470448.075273","205474.256591","","0.000000","","","","","","-4.920000","","","","","-4.399552","-4.920000","","","","","","","","D1 PROFILE","","","",""
"80003700000638","Nodes","638","21.000000","35.731791","Default Known Flow Node","Known Flow","470475.398393","205462.705825","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
