"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"800033-100633","Nodes","-100633",21.000000,37.641162,"Default Known Flow Node","Known Flow",479219.771556,214406.335552,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"800033-100742","Nodes","-100742",21.000000,38.692808,"Default Known Flow Node","Known Flow",479443.521617,214388.960547,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"80003300010804","Nodes",,0.000000,42.509443,"Default Known Flow Node","Known Flow",479651.146673,214389.210547,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"800033-95149","Nodes","-95149",21.000000,42.892880,"Default Known Flow Node","Known Flow",479629.771668,214703.960633,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"800033-95154","Nodes","-95154",21.000000,42.892880,"Default Known Flow Node","Known Flow",479634.968053,214710.273873,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"80003300002355","Nodes","2355",21.000000,41.949486,"DDS demands","Known Flow",479592.771658,214831.085667,,0.000000,,,,,,,-10.759999,,,,,,,,,-9.621784,-10.759999,,"",,,,,,,"D1 PROFILE",,,,,,,,
"800033-95140","Nodes","-95140",21.000000,41.921438,"Default Known Flow Node","Known Flow",479593.021658,214854.085674,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"80003300002399","Nodes","2399",21.000000,38.158762,"DDS demands","Known Flow",479282.396573,214445.085562,,0.000000,-1.700000,,,,,,-2.119999,,,-8.010000,,,,,,-10.578598,-11.830000,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,"I2 PROFILE",,,,,
"80003300002284","Nodes","2284",21.000000,38.198991,"DDS demands","Known Flow",479295.396577,214441.585561,,0.000000,-3.510000,,,,,,-0.639999,,,,,,,,,-3.711004,-4.149999,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,,,,,,
"80003300002381","Nodes","2381",21.000000,27.539182,"DDS demands","Known Flow",479420.271611,214824.460666,,0.000000,,,,,,,-1.100000,,,,,,,,,-0.983639,-1.099999,,"",,,,,,,"D1 PROFILE",,,,,,,,
"80003300002380","Nodes","2380",21.000000,27.452809,"DDS demands","Known Flow",479422.509316,214839.825424,,0.000000,,,,,,,-6.829999,,,,,,,,,-6.107508,-6.829999,,"",,,,,,,"D1 PROFILE",,,,,,,,
"80003300002387","Nodes","2387",21.000000,40.837100,"DDS demands","Known Flow",479478.396626,214820.710665,,0.000000,,,,,,,-2.499999,,,,,,,,,-2.235544,-2.499999,,"",,,,,,,"D1 PROFILE",,,,,,,,
"800033-100746","Nodes","-100746",21.000000,40.837930,"Default Known Flow Node","Known Flow",479465.396623,214808.960661,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"80003300002333","Nodes","2333",21.000000,43.347788,"DDS demands","Known Flow",479714.521691,214614.835609,,0.000000,,,,,,,-2.349999,,,,,,,,,-2.101411,-2.349999,,"",,,,,,,"D1 PROFILE",,,,,,,,
"80003300002334","Nodes","2334",21.000000,43.299981,"DDS demands","Known Flow",479747.396700,214586.335601,,0.000000,,,,,,,-4.330000,,,,,,,,,-3.871963,-4.330000,,"",,,,,,,"D1 PROFILE",,,,,,,,
"80003300002379","Nodes","2379",21.000000,24.158787,"DDS demands","Known Flow",479470.646624,214873.585679,,0.000000,,,,,,,-10.739999,,,,,,,,,-9.603899,-10.739999,,"",,,,,,,"D1 PROFILE",,,,,,,,
"80003300008001","Nodes","8001",21.000000,23.710751,"DDS demands","Known Flow",479502.146633,214850.585673,,0.000000,,,,,,,-6.989999,,,,,,,,,-6.250582,-6.989999,,"",,,,,,,"D1 PROFILE",,,,,,,,
"80003300002307","Nodes","2307",21.000000,44.357639,"DDS demands","Known Flow",479720.146692,214778.210653,,0.000000,,,,,,,-7.139999,,,,,,,,,-6.384715,-7.139999,,"",,,,,,,"D1 PROFILE",,,,,,,,
"80003300002310","Nodes","2310",21.000000,43.847646,"DDS demands","Known Flow",479704.646688,214719.460637,,0.000000,,,,,,,-6.329999,,,,,,,,,-5.660399,-6.329999,,"",,,,,,,"D1 PROFILE",,,,,,,,
"80003300002336","Nodes","2336",21.000000,43.277436,"DDS demands","Known Flow",479677.896681,214641.585616,,0.000000,,,,,,,-2.619999,,,,,,,,,-2.342850,-2.619999,,"",,,,,,,"D1 PROFILE",,,,,,,,
"80003300002337","Nodes","2337",21.000000,43.258959,"DDS demands","Known Flow",479648.646673,214631.210613,,0.000000,,,,,,,-1.850000,,,,,,,,,-1.654303,-1.850000,,"",,,,,,,"D1 PROFILE",,,,,,,,
"80003300002275","Nodes","2275",21.000000,41.159658,"DDS demands","Known Flow",479398.119308,214524.930924,,0.000000,-3.510000,,,,,,,,,,,,,,,-3.138704,-3.510000,,"","C1 PROFILE",,,,,,,,,,,,,,
"80003300002273","Nodes","2273",21.000000,41.326759,"DDS demands","Known Flow",479451.486110,214476.046724,,0.000000,-8.979999,,,,,,,,,,,,,,,-8.030076,-8.979999,,"","C1 PROFILE",,,,,,,,,,,,,,
"80003300002276","Nodes","2276",21.000000,41.074639,"DDS demands","Known Flow",479347.146591,214468.585569,,0.000000,-1.659999,,,,,,,,,-17.679999,,,,,,-17.294174,-19.340000,,"","C1 PROFILE",,,,,,,,,"I2 PROFILE",,,,,
"800033-100695","Nodes","-100695",21.000000,41.077812,"Default Known Flow Node","Known Flow",479349.049133,214470.688644,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"80003300002335","Nodes","2335",21.000000,43.328185,"DDS demands","Known Flow",479704.146688,214597.835604,,0.000000,,,,,,,-2.920000,,,,,,,,,-2.611116,-2.920000,,"",,,,,,,"D1 PROFILE",,,,,,,,
"800033-95156","Nodes","-95156",21.000000,43.081223,"Default Known Flow Node","Known Flow",479637.771670,214669.210623,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"800033-95151","Nodes","-95151",21.000000,43.081223,"Default Known Flow Node","Known Flow",479632.521668,214664.835622,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"80003300002369","Nodes","2369",21.000000,23.915594,"DDS demands","Known Flow",479544.771645,214885.585682,,0.000000,,,,,,,-5.179999,,,,,,,,,-4.632048,-5.179999,,"",,,,,,,"D1 PROFILE",,,,,,,,
"80003300000179","Nodes","179",21.000000,23.918536,"DDS demands","Known Flow",479580.271654,214926.710693,,0.000000,,,,,,,-11.140000,,,,,,,,,-9.961587,-11.140000,,"",,,,,,,"D1 PROFILE",,,,,,,,
"800033-100670","Nodes","-100670",21.000000,38.235899,"Default Known Flow Node","Known Flow",479296.896577,214451.335564,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"800033-100674","Nodes","-100674",21.000000,38.235899,"Default Known Flow Node","Known Flow",479300.396578,214448.085563,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"800033-100673","Nodes","-100673",21.000000,38.198859,"Default Known Flow Node","Known Flow",479298.267770,214440.831511,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"80003300002351","Nodes","2351",21.000000,42.256107,"DDS demands","Known Flow",479550.146646,214790.835656,,0.000000,,,,,,,-6.659999,,,,,,,,,-5.955491,-6.659999,,"",,,,,,,"D1 PROFILE",,,,,,,,
"80003300002352","Nodes","2352",21.000000,42.059076,"DDS demands","Known Flow",479549.021646,214800.335659,,0.000000,,,,,,,-6.589999,,,,,,,,,-5.892895,-6.589999,,"",,,,,,,"D1 PROFILE",,,,,,,,
"80003300003710","Nodes","3710",21.000000,42.581303,"Default Known Flow Node","Known Flow",479634.521669,214761.960649,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"80003300003711","Nodes","3711",21.000000,42.535674,"DDS demands","Known Flow",479634.646669,214779.835653,,0.000000,-1.269999,,,,,,,,,,,,,,,-1.135656,-1.269999,,"","C1 PROFILE",,,,,,,,,,,,,,
"80003300002305","Nodes","2305",21.000000,44.157226,"DDS demands","Known Flow",479704.021688,214827.710666,,0.000000,,,,,,,-6.769999,,,,,,,,,-6.053854,-6.769999,,"",,,,,,,"D1 PROFILE",,,,,,,,
"80003300002304","Nodes","2304",21.000000,44.213178,"DDS demands","Known Flow",479711.771690,214826.085666,,0.000000,,,,,,,-8.949999,,,,,,,,,-8.003250,-8.949999,,"",,,,,,,"D1 PROFILE",,,,,,,,
"80003300002281","Nodes","2281",21.000000,38.177838,"DDS demands","Known Flow",479238.021561,214486.460574,,0.000000,-10.320000,,,,,,,,,-9.170000,,,,,,-17.428308,-19.489999,,"","C1 PROFILE",,,,,,,,,"I2 PROFILE",,,,,
"80003300002282","Nodes","2282",21.000000,38.103673,"Default Known Flow Node","Known Flow",479231.896559,214459.085566,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"80003300002358","Nodes","2358",21.000000,44.401879,"Default Known Flow Node","Known Flow",479702.521687,214950.335700,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"80003300002303","Nodes","2303",21.000000,44.557714,"DDS demands","Known Flow",479751.271701,214955.210701,,0.000000,,,,,,,-12.220000,,,,,,,,,-10.927343,-12.220000,,"",,,,,,,"D1 PROFILE",,,,,,,,
"800033-95157","Nodes","-95157",21.000000,42.892880,"Default Known Flow Node","Known Flow",479639.021670,214713.710635,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
