"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"80015300108777","Nodes",,21.000000,36.681572,"Default Known Flow Node","Known Flow",468934.743989,209164.003011,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"80015300000128","Nodes",,21.000000,36.486218,"DDS demands","Known Flow",468882.234743,209220.383141,,0.000000,,,,,-7.840000,,,,-7.010668,-7.840000,,"",,,,,"D1 PROFILE",,,
"80015300000132","Nodes",,21.000000,33.650174,"DDS demands","Known Flow",469111.365805,209308.136165,,0.000000,,,,,-12.000000,,,,-10.730614,-12.000000,,"",,,,,"D1 PROFILE",,,
"80015300000112","Nodes",,21.000000,26.243988,"DDS demands","Known Flow",469130.941490,209057.552689,,0.000000,,,,,-10.810000,,,,-9.666496,-10.810000,,"",,,,,"D1 PROFILE",,,
"80015300000061","Nodes",,21.000000,24.706504,"DDS demands","Known Flow",469258.072845,209227.781143,,0.000000,,,,,-11.669999,,,,-10.435522,-11.669999,,"",,,,,"D1 PROFILE",,,
"80015300888888","Nodes",,21.000000,27.124214,"Default Known Flow Node","Known Flow",469337.594997,209051.398310,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"80015300000038","Nodes",,21.000000,27.315487,"DDS demands","Known Flow",469267.124256,209040.610771,,0.000000,,,,,-13.529999,,,,-12.098767,-13.529999,,"",,,,,"D1 PROFILE",,,
"80015300000041","Nodes",,21.000000,24.868718,"DDS demands","Known Flow",469397.262883,209240.039146,,0.000000,,,,,-7.669999,,,,-6.858651,-7.669999,,"",,,,,"D1 PROFILE",,,
"80015300000093","Nodes",,21.000000,27.052748,"DDS demands","Known Flow",469377.307950,209025.882541,,0.000000,,,,,-2.509999,,,,-2.244486,-2.509999,,"",,,,,"D1 PROFILE",,,
"80015300108827","Nodes",,21.000000,26.912046,"Default Known Flow Node","Known Flow",469455.925142,209017.801489,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
