"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"80061100000060","Nodes","60",21.000000,40.341684,"DDS demands","Known Flow",439248.616004,217052.982417,,0.000000,,,-2.119999,,,,-1.895741,-2.119999,,"",,,"D1 PROFILE",,,
"80061100000063","Nodes","63",21.000000,37.819428,"DDS demands","Known Flow",439231.788006,216961.634006,,0.000000,,,-1.159999,,,,-1.037292,-1.159999,,"",,,"D1 PROFILE",,,
"80061100000062","Nodes","62",21.000000,37.914245,"DDS demands","Known Flow",439284.714750,217025.268472,,0.000000,,,-17.780000,,,,-15.899194,-17.780000,,"",,,"D1 PROFILE",,,
"80061100000059","Nodes","59",21.000000,43.288042,"DDS demands","Known Flow",439141.342953,217036.997396,,0.000000,,,-0.869999,,,,-0.777969,-0.869999,,"",,,"D1 PROFILE",,,
"80061100000027","Nodes","27",21.000000,37.374593,"DDS demands","Known Flow",439425.373797,217283.074447,,0.000000,,,-15.720000,,,,-14.057105,-15.720000,,"",,,"D1 PROFILE",,,
"80061100000028","Nodes","28",21.000000,37.084748,"DDS demands","Known Flow",439277.392500,217310.156250,,0.000000,,,-15.140000,,,,-13.538459,-15.140000,,"",,,"D1 PROFILE",,,
"80061100000049","Nodes","49",21.000000,44.781342,"DDS demands","Known Flow",439299.486250,217372.250000,,0.000000,,,-1.230000,,,,-1.099888,-1.230000,,"",,,"D1 PROFILE",,,
"80061100000073","Nodes","73",21.000000,46.408237,"DDS demands","Known Flow",439337.392500,217461.250000,,0.000000,,,-2.809999,,,,-2.512752,-2.809999,,"",,,"D1 PROFILE",,,
"80061100000072","Nodes","72",21.000000,46.431756,"Default Known Flow Node","Known Flow",439357.486250,217488.156250,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061100000050","Nodes","50",21.000000,37.578195,"DDS demands","Known Flow",439431.486250,217325.046875,,0.000000,,,-3.499999,,,,-3.129762,-3.499999,,"",,,"D1 PROFILE",,,
"80061100000048","Nodes","48",21.000000,44.836341,"DDS demands","Known Flow",439364.673750,217458.546875,,0.000000,-2.269999,,-3.450000,,,,-5.114926,-5.720000,,"","C1 PROFILE",,"D1 PROFILE",,,
"80061100000033","Nodes","33",21.000000,36.539865,"Default Known Flow Node","Known Flow",439500.392500,217188.546875,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061100000001","Nodes","STONESFIELD DG",21.000000,55.000000,"Default Known Pressure Node","Known Pressure",439021.796241,217273.316046,,999998.967025,,,,,,,526.712173,589.020005,,"",,,,,,
"80061100000080","Nodes","80",21.000000,53.685393,"DDS demands","Known Flow",439051.796323,217297.757206,,0.000000,,,-10.130000,,,,-9.058427,-10.130000,,"",,,"D1 PROFILE",,,
"80061100000081","Nodes","81",21.000000,53.676923,"DDS demands","Known Flow",439032.173750,217327.156250,,0.000000,,,-1.869999,,,,-1.672187,-1.869999,,"",,,"D1 PROFILE",,,
"80061100000078","Nodes","78",21.000000,51.424010,"DDS demands","Known Flow",439126.673750,217336.046875,,0.000000,,,-2.069999,,,,-1.851031,-2.069999,,"",,,"D1 PROFILE",,,
"80061100000079","Nodes","79",21.000000,51.377531,"DDS demands","Known Flow",439123.892500,217399.156250,,0.000000,,,-3.250000,,,,-2.906208,-3.250000,,"",,,"D1 PROFILE",,,
"80061100000069","Nodes","69",21.000000,47.049079,"Default Known Flow Node","Known Flow",439154.892500,217256.046875,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061100000022","Nodes","22",21.000000,48.618213,"DDS demands","Known Flow",439170.392500,217321.750000,,0.000000,,,-7.099999,,,,-6.348946,-7.099999,,"",,,"D1 PROFILE",,,
"80061100000070","Nodes","70",21.000000,47.177586,"Default Known Flow Node","Known Flow",439191.892500,217259.156250,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061100000056","Nodes","56",21.000000,44.143549,"DDS demands","Known Flow",439109.003762,217065.846746,,0.000000,,,-0.860000,,,,-0.769027,-0.860000,,"",,,"D1 PROFILE",,,
