"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"80123100309626","Nodes","309626","21.000000","28.582473","Default Known Flow Node","Known Flow","440151.568925","198348.635182","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80123100000076","Nodes","76","21.000000","29.734814","DDS demands","Known Flow","440172.539394","197998.674577","","0.000000","","","","","-2.180000","","","","","-1.949395","-2.180000","","","","","","","D1 PROFILE","","","",""
"80123100000011","Nodes","11","21.000000","29.783862","DDS demands","Known Flow","440206.229940","198016.014092","","0.000000","","","","","-5.369999","","","","","-4.801949","-5.369999","","","","","","","D1 PROFILE","","","",""
"80123100000015","Nodes","15","21.000000","28.949248","DDS demands","Known Flow","440201.323939","198266.946160","","0.000000","","","","","-9.859999","","","","","-8.816988","-9.859999","","","","","","","D1 PROFILE","","","",""
"80123100309624","Nodes","309624","21.000000","28.949248","Default Known Flow Node","Known Flow","440134.158920","198265.472160","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80123100309638","Nodes","309638","21.000000","29.153836","Default Known Flow Node","Known Flow","440218.918944","198253.874157","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80123100000010","Nodes","10","21.000000","29.803031","DDS demands","Known Flow","440348.331979","198013.677091","","0.000000","","","","","-11.019999","","","","","-9.854281","-11.019999","","","","","","","D1 PROFILE","","","",""
"80123100309633","Nodes","309633","21.000000","28.222325","Default Known Flow Node","Known Flow","440179.684933","198441.354208","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80123100000084","Nodes","84","21.000000","29.511125","DDS demands","Known Flow","440260.909955","198258.749158","","0.000000","","","","","-9.300000","","","","","-8.316226","-9.300000","","","","","","","D1 PROFILE","","","",""
"80123100000016","Nodes","16","21.000000","28.549925","DDS demands","Known Flow","440231.026947","198365.297187","","0.000000","","","","","-23.389999","","","","","-20.915755","-23.389999","","","","","","","D1 PROFILE","","","",""
