"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"80000500005214","Nodes","5214",21.000000,36.806976,"Default Known Flow Node","Known Flow",492560.791451,225247.283847,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"800005-109796","Nodes","-109796",21.000000,36.284145,"Default Known Flow Node","Known Flow",492528.150177,225294.213515,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"800005-109797","Nodes","-109797",21.000000,36.321160,"Default Known Flow Node","Known Flow",492537.900180,225240.838500,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"800005-157095","Nodes","-157095",21.000000,36.359803,"Default Known Flow Node","Known Flow",492409.025145,225441.713555,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80000500005131","Nodes","5131",21.000000,34.247294,"DDS demands","Known Flow",492371.275135,225414.338547,,0.000000,,,,,,,-7.380000,,,,,,-6.599328,-7.380000,,"",,,,,,,"D1 PROFILE",,,,,
"80000500009029","Nodes","9029",21.000000,34.015652,"DDS demands","Known Flow",492315.400120,225431.088552,,0.000000,,,,,,,-5.729999,,,,,,-5.123868,-5.729999,,"",,,,,,,"D1 PROFILE",,,,,
"800005-11361","Nodes","-11361",21.000000,45.942899,"Default Known Flow Node","Known Flow",493185.832351,224736.921265,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80000500009030","Nodes","9030",21.000000,46.545867,"DDS demands","Known Flow",493164.900351,224738.588363,,0.000000,,,,,,,-24.990000,,,,,,-22.346506,-24.990000,,"",,,,,,,"D1 PROFILE",,,,,
"800005-415408","Nodes","-415408",21.000000,37.856937,"Default Known Flow Node","Known Flow",492451.150156,224744.088365,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80000500000593","Nodes","593",21.000000,39.052060,"DDS demands","Known Flow",492593.400195,224742.463364,,0.000000,,,,,,,-4.860000,,,,,,-4.345898,-4.860000,,"",,,,,,,"D1 PROFILE",,,,,
"80000500000592","Nodes","592",21.000000,38.897548,"DDS demands","Known Flow",492519.255907,224733.176675,,0.000000,,,,,,,-1.739999,,,,,,-1.555939,-1.739999,,"",,,,,,,"D1 PROFILE",,,,,
"80000500000590","Nodes","590",21.000000,38.792790,"Default Known Flow Node","Known Flow",492490.050868,224677.112230,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80000500000583","Nodes","583",21.000000,39.297461,"DDS demands","Known Flow",492482.025165,224644.963338,,0.000000,,,,,,,-5.509999,,,,,,-4.927140,-5.509999,,"",,,,,,,"D1 PROFILE",,,,,
"800005-1136","Nodes","-1136",21.000000,38.936914,"Default Known Flow Node","Known Flow",492491.536251,224666.101028,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80000500004125","Nodes","4125",21.000000,38.445887,"DDS demands","Known Flow",491016.149766,225466.963562,,0.000000,,,,,,,-2.799999,,,,,,-2.503810,-2.799999,,"",,,,,,,"D1 PROFILE",,,,,
"80000500004124","Nodes","4124",21.000000,38.599043,"DDS demands","Known Flow",491014.637803,225453.247899,,0.000000,,,,,,,-4.600000,,,,,,-4.113402,-4.600000,,"",,,,,,,"D1 PROFILE",,,,,
"80000500004123","Nodes","4123",21.000000,38.664612,"DDS demands","Known Flow",491014.024765,225448.463556,,0.000000,,,,,,,-4.510000,,,,,,-4.032922,-4.510000,,"",,,,,,,"D1 PROFILE",,,,,
"80000500004129","Nodes","4129",21.000000,37.686832,"DDS demands","Known Flow",491100.774789,225454.713558,,0.000000,,,,,,,-17.549999,,,,,,-15.693524,-17.549999,,"",,,,,,,"D1 PROFILE",,,,,
"80000500001117","Nodes","1117",21.000000,40.093572,"Default Known Flow Node","Known Flow",490961.374712,225285.329622,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80000500001120","Nodes","1120",21.000000,39.303966,"DDS demands","Known Flow",490891.670122,225296.571552,,0.000000,,-12.899999,,,,,,,,,,,-11.535410,-12.899999,,"",,"C2 PROFILE",,,,,,,,,,
"80000500004084","Nodes","4084",21.000000,39.026375,"DDS demands","Known Flow",490880.774729,225272.588509,,0.000000,,,,,,,-14.990000,,,,,,-13.404326,-14.990000,,"",,,,,,,"D1 PROFILE",,,,,
"80000500004083","Nodes","4083",21.000000,36.808365,"DDS demands","Known Flow",490848.399720,225332.713525,,0.000000,,,,,,,-5.919999,,,,,,-5.293770,-5.919999,,"",,,,,,,"D1 PROFILE",,,,,
