"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(PL-DC)"
"80014200000042","Nodes","42","21.000000","37.992216","DDS demands","Known Flow","452058.649711","253596.851342","","0.000000","","","","-5.989999","","","","-5.356365","-5.989999","","","","","","D1 PROFILE","","",""
"80014200000855","Nodes","855","21.000000","42.799658","Default Known Flow Node","Known Flow","453818.274326","252693.783587","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014200000207","Nodes","P11126974, Phipps Road, 16.71","22.999998","42.896797","CSEP DDS Matched","Known Flow","453846.333924","252613.376319","","0.000000","","","","-2.850000","-16.709999","","","-17.490900","-19.559999","","","","","","D1 PROFILE","DC PROFILE","",""
"80014200000250","Nodes","250","21.000000","42.873721","Default Known Flow Node","Known Flow","453850.102653","252616.993949","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014200000293","Nodes","293","21.000000","42.902521","DDS demands","Known Flow","453946.439613","252791.167018","","0.000000","","","","-3.240000","","","","-2.897266","-3.240000","","","","","","D1 PROFILE","","",""
"80014200000294","Nodes","294","21.000000","43.018683","DDS demands","Known Flow","454002.384099","252958.610913","","0.000000","","","","-11.640000","","","","-10.408696","-11.640000","","","","","","D1 PROFILE","","",""
"80014200000863","Nodes","863","21.000000","42.900832","DDS demands","Known Flow","453986.674537","252967.500483","","0.000000","","","","-11.170000","","","","-9.988414","-11.170000","","","","","","D1 PROFILE","","",""
"80014200000252","Nodes","252","21.000000","42.673510","DDS demands","Known Flow","453908.846545","252804.003380","","0.000000","","","","-2.259999","","","","-2.020932","-2.259999","","","","","","D1 PROFILE","","",""
"80014200000251","Nodes","251","21.000000","42.902982","DDS demands","Known Flow","453945.898340","252789.511407","","0.000000","","","","-5.030000","","","","-4.497916","-5.030000","","","","","","D1 PROFILE","","",""
"80014200000254","Nodes","254","21.000000","42.503640","DDS demands","Known Flow","453888.027700","252810.317135","","0.000000","","","","-0.750000","","","","-0.670663","-0.750000","","","","","","D1 PROFILE","","",""
"80014200000206","Nodes","206","21.000000","42.487243","DDS demands","Known Flow","453935.637676","252561.884934","","0.000000","","","","-11.360000","","","","-10.158315","-11.360000","","","","","","D1 PROFILE","","",""
"80014200000203","Nodes","203","21.000000","43.735208","DDS demands","Known Flow","453826.854851","252493.118664","","0.000000","","","","-9.340000","","","","-8.351995","-9.340000","","","","","","D1 PROFILE","","",""
"80014200000284","Nodes","284","21.000000","40.181698","DDS demands","Known Flow","453480.094665","252649.725686","","0.000000","","","","-4.519999","","","","-4.041864","-4.519999","","","","","","D1 PROFILE","","",""
"80014200000217","Nodes","217","21.000000","39.437956","DDS demands","Known Flow","453469.543981","252772.189363","","0.000000","","","","-10.719999","","","","-9.586015","-10.719999","","","","","","D1 PROFILE","","",""
"80014200000208","Nodes","208","21.000000","43.398422","DDS demands","Known Flow","453777.321124","252513.140153","","0.000000","","","","-2.769999","","","","-2.476983","-2.769999","","","","","","D1 PROFILE","","",""
"80014200000166","Nodes","166","21.000000","42.094546","DDS demands","Known Flow","454535.250671","252549.562394","","0.000000","","","","-1.179999","","","","-1.055177","-1.179999","","","","","","D1 PROFILE","","",""
"80014200000232","Nodes","232","21.000000","42.094604","DDS demands","Known Flow","454530.847838","252559.264934","","0.000000","","","","-7.459999","","","","-6.670865","-7.459999","","","","","","D1 PROFILE","","",""
"80014200000227","Nodes","227","21.000000","42.268275","DDS demands","Known Flow","454553.464030","252490.548171","","0.000000","","","","-5.369999","","","","-4.801949","-5.369999","","","","","","D1 PROFILE","","",""
"80014200000228","Nodes","228","21.000000","42.492930","DDS demands","Known Flow","454417.535914","252250.488684","","0.000000","","","","-0.460000","","","","-0.411340","-0.460000","","","","","","D1 PROFILE","","",""
"80014200000265","Nodes","265","21.000000","42.509426","Default Known Flow Node","Known Flow","454113.818235","251869.348700","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
