"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IC)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IC)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"80005800001091","Nodes","1091",21.000000,30.037977,"DDS demands","Known Flow",479110.771526,134431.563790,,0.000000,,,,,,,-11.270000,,,,,,,,,,,-10.077835,-11.270000,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"80005800000014","Nodes","14",21.000000,33.636191,"DDS demands","Known Flow",479330.835254,134359.832415,,0.000000,-1.949999,,,,,,-14.869999,,,,,,,,,,,-15.040745,-16.819999,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,,,,,,,,
"80005800000016","Nodes","16, Logger 506, 41 NEW ROAD",21.000000,34.760011,"Val Log Cath","Known Flow",479522.146828,134318.507474,,0.000000,,,,,,,-22.410000,,,,,,,,,,,-20.039423,-22.410000,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"80005800008005","Nodes",,21.000000,35.543970,"DDS demands","Known Flow",479621.047615,134290.931863,,0.000000,,,,,,,-8.790000,,,,,,,,,,,-7.860175,-8.790000,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"80005800000372","Nodes","372",21.000000,36.117653,"DDS demands","Known Flow",479740.021698,134266.813745,,0.000000,,,,,,,-9.130000,,,,,,,,,,,-8.164209,-9.130000,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"80005800000373","Nodes","373",21.000000,36.168669,"Default Known Flow Node","Known Flow",479770.504814,134389.441884,,0.000000,,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,,
"80005800000862","Nodes","862",21.000000,36.370631,"Default Known Flow Node","Known Flow",479776.583433,134424.153592,,0.000000,,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,,
"80005800000437","Nodes","437",21.000000,36.794918,"Default Known Flow Node","Known Flow",479789.749070,134495.943053,,0.000000,,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,,
"80005800000704","Nodes","704",21.000000,34.386217,"DDS demands","Known Flow",479835.021724,134455.438797,,0.000000,,,,,,,-2.949999,,,,,,,,,,,-2.637942,-2.949999,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"80005800000705","Nodes","705",21.000000,34.309252,"DDS demands","Known Flow",479837.519613,134474.435228,,0.000000,,,,,,,-3.849999,,,,,,,,,,,-3.442738,-3.849999,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"80005800000706","Nodes","706",21.000000,34.220409,"DDS demands","Known Flow",479836.521724,134455.438797,,0.000000,,,,,,,-4.530000,,,,,,,,,,,-4.050807,-4.530000,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"80005800000702","Nodes","702",21.000000,34.511915,"DDS demands","Known Flow",479924.271748,134418.563787,,0.000000,,,,,,,-11.910000,,,,,,,,,,,-10.650135,-11.910000,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"80005800000700","Nodes","700",21.000000,34.459501,"DDS demands","Known Flow",479929.145552,134466.684833,,0.000000,,,,,,,-13.090000,,,,,,,,,,,-11.705312,-13.090000,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"80005800000507","Nodes","507",21.000000,34.656996,"Default Known Flow Node","Known Flow",479967.384464,134464.553553,,0.000000,,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,,
"80005800000774","Nodes","774",21.000000,34.310703,"Default Known Flow Node","Known Flow",479945.146753,134301.688755,,0.000000,,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,,
"80005800000775","Nodes","775",21.000000,34.197890,"DDS demands","Known Flow",479948.396173,134278.028576,,0.000000,,,,,,,-0.720000,,,,,,,,,,,-0.643836,-0.720000,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"80005800009229","Nodes","-265917",21.000000,34.503001,"Default Known Flow Node","Known Flow",479922.271747,134226.438734,,0.000000,,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,,
"80005800000780","Nodes","780",21.000000,32.313770,"Default Known Flow Node","Known Flow",480027.394776,134322.711760,,0.000000,,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,,
"80005800000782","Nodes","782",21.000000,31.910909,"DDS demands","Known Flow",480059.507906,134311.673095,,0.000000,,,,,,,-4.709999,,,,,,,,,,,-4.211766,-4.709999,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"80005800000783","Nodes","783",21.000000,31.538384,"DDS demands","Known Flow",480079.646790,134296.438753,,0.000000,,,,,,,-11.379999,,,,,,,,,,,-10.176199,-11.379999,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"80005800000712","Nodes","712",21.000000,33.939594,"DDS demands","Known Flow",480047.146781,134395.688780,,0.000000,,,,,,,-7.860000,,,,,,,,,,,-7.028552,-7.860000,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"80005800000713","Nodes","713",21.000000,33.899260,"DDS demands","Known Flow",480061.392785,134394.067780,,0.000000,,,,,,,-5.379999,,,,,,,,,,,-4.810892,-5.379999,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"80005800000714","Nodes","714",21.000000,33.801896,"DDS demands","Known Flow",480090.010793,134426.536789,,0.000000,,,,,,,-1.549999,,,,,,,,,,,-1.386037,-1.549999,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"80005800000010","Nodes","Woolmer Way, Petersfield Road DG, GCM, Tel, Clocked, Site ID 5659",21.000000,40.000000,"Default Known Pressure Node","Known Pressure",479456.396620,134817.813895,,1713.999947,,,,,,,,,,,,,,,,,,591.661611,661.652676,,"",,,,,,,,,,,,,,,,,
"80005800009004","Nodes","9004",21.000000,39.934144,"Default Known Flow Node","Known Flow",479456.895469,134819.559865,,0.000000,,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,,
"80005800000471","Nodes","471",21.000000,39.708511,"Default Known Flow Node","Known Flow",479462.896622,134817.938895,,0.000000,,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,,
"80005800000213","Nodes","213",21.000000,38.013561,"DDS demands","Known Flow",479507.936646,134881.844416,,0.000000,,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,,
"80005800001116","Nodes","1116",21.000000,36.244216,"DDS demands","Known Flow",479580.207485,134874.514080,,0.000000,-17.290000,,,,,,-8.600000,,,,,,,,,,,-23.151301,-25.890001,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,,,,,,,,
"80005800009179","Nodes","-265690",21.000000,36.244216,"Default Known Flow Node","Known Flow",479651.771674,134873.063910,,0.000000,,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,,
"80005800000033","Nodes","33",21.000000,37.254552,"DDS demands","Known Flow",479897.271740,135293.064024,,0.000000,,,,,,,-4.559999,,,,,,,,,,,-4.077633,-4.559999,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"80005800008003","Nodes","Logger 517, 29 Chalet Hill",21.000000,37.145931,"Val Log Cath","Known Flow",479941.139705,135302.294117,,0.000000,,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,,
