"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"80004400000665","Nodes","665",21.000000,24.804855,"Default Known Flow Node","Known Flow",448235.780000,168053.445000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"800044-1600","Nodes","-1600",21.000000,24.774062,"Default Known Flow Node","Known Flow",448236.655000,168055.945000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"80004400008043","Nodes",,21.000000,32.388474,"Default Known Flow Node","Known Flow",447157.209285,167111.839634,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"80004400001771","Nodes","1771",21.000000,32.529680,"Default Known Flow Node","Known Flow",447171.655000,167057.023125,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"800044-1021569","Nodes","-1021569",21.000000,35.123258,"Default Known Flow Node","Known Flow",448805.155000,165537.195000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"800044-373704","Nodes","-373704",21.000000,34.195529,"Default Known Flow Node","Known Flow",445899.030000,167997.320000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"80004400002901","Nodes","2901, P00067050, ""Newbury Racecourse, New Road"", 236.59",30.000000,34.669058,"CSEP DDS Matched","Known Flow",448102.755005,166302.949362,,0.000000,,,,,,,-5.919999,-143.910004,,,,,,,-133.980657,-149.830003,,"",,,,,,,"D1 PROFILE","DC PROFILE",,,,,,
"800044-1464298","Nodes","-1464298",21.000000,37.458380,"Default Known Flow Node","Known Flow",447802.530000,167112.195000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"80004400001056","Nodes","1056",21.000000,27.557248,"Default Known Flow Node","Known Flow",447106.530000,165975.070000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"80004400000712","Nodes","712",21.000000,25.755745,"DDS demands","Known Flow",448556.155000,168004.195000,,0.000000,,,,,,,-0.970000,,,-7.629999,,,,,-7.690273,-8.599999,,"",,,,,,,"D1 PROFILE",,,"I2 PROFILE",,,,
"800044-194838","Nodes","-194838",21.000000,27.882656,"Default Known Flow Node","Known Flow",448785.905000,167955.820000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"800044-1884","Nodes","-1884",21.000000,32.086162,"Default Known Flow Node","Known Flow",451074.155000,167694.195000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"80004400001133","Nodes","1133",21.000000,32.042527,"Default Known Flow Node","Known Flow",451022.405000,167669.445000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"80004400003400","Nodes","3400",21.000000,32.370809,"Default Known Flow Node","Known Flow",451038.280000,168189.820000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"800044-283566","Nodes","-283566",21.000000,33.817514,"Default Known Flow Node","Known Flow",445885.030000,168031.570000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"80004400001003","Nodes","1003, 2323/01, ""MONKS LANE,HEATHER GARDENS"", 45.60",24.000000,34.754558,"CSEP DDS Matched","Known Flow",446444.530000,165135.445000,,0.000000,,,,,,,,-45.600000,,,,,,,-40.776330,-45.600000,,"",,,,,,,,"DC PROFILE",,,,,,
"800044-657","Nodes","-657",21.000000,29.761113,"Default Known Flow Node","Known Flow",446909.842500,166373.976250,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"800044-1464559","Nodes","-1464559",21.000000,29.761113,"Default Known Flow Node","Known Flow",446911.123750,166373.976250,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"80004400002766","Nodes","2766",21.000000,35.568545,"DDS demands","Known Flow",446927.530000,165687.195000,,0.000000,,,,,,,-9.819999,,,,,,,,-8.781218,-9.819999,,"",,,,,,,"D1 PROFILE",,,,,,,
"800044-697","Nodes","-697",21.000000,30.566830,"Default Known Flow Node","Known Flow",447100.905000,166508.570000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"80004400003478","Nodes","3478",21.000000,32.086162,"Default Known Flow Node","Known Flow",451054.905000,167694.820000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"800044-1355","Nodes","-1355",21.000000,34.016972,"Default Known Flow Node","Known Flow",448145.155000,167091.445000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"800044-4904858","Nodes","-4904858",21.000000,33.999228,"Default Known Flow Node","Known Flow",448159.280000,167078.445000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"80004400001493","Nodes","1493",21.000000,33.997422,"DDS demands","Known Flow",448160.905000,167077.320000,,0.000000,-76.839992,,,,,,,,,-5.509999,,,,,-73.638830,-82.349992,,"","C1 PROFILE",,,,,,,,,"I2 PROFILE",,,,
"80004400002238","Nodes","2238, 90364/01, ""CORNER MEAD,COLLAROY ROAD"", 10.34",22.999998,33.638517,"CSEP DDS Matched","Known Flow",451322.842500,169331.413750,,0.000000,,,,,,,-4.489999,-10.339999,,,,,,,-13.261249,-14.829999,,"",,,,,,,"D1 PROFILE","DC PROFILE",,,,,,
"80004400003069","Nodes","3069",21.000000,25.075568,"Default Known Flow Node","Known Flow",446635.373750,166514.195000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"80004400002068","Nodes","2068",21.000000,34.388206,"DDS demands","Known Flow",446085.530000,165376.570000,,0.000000,,,,,,,-2.009999,,,,,,,,-1.797377,-2.009999,,"",,,,,,,"D1 PROFILE",,,,,,,
"80004400002488","Nodes","2488",21.000000,31.419323,"DDS demands","Known Flow",447102.030000,167419.070000,,0.000000,,,,-17.020000,,,,,,,,,,,-15.219586,-17.020000,,"",,,,"C4 PROFILE",,,,,,,,,,
"80004400003407","Nodes","3407",21.000000,23.737683,"Default Known Flow Node","Known Flow",448823.530000,168397.070000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"800044-699021","Nodes","-699021",21.000000,24.577009,"Default Known Flow Node","Known Flow",446602.155000,166950.445000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"80004400003292","Nodes","3292",21.000000,68.638506,"DDS demands","Known Flow",452245.530000,168095.695000,,0.000000,,,,,,,-13.560000,,,,,,,,-12.125593,-13.560000,,"",,,,,,,"D1 PROFILE",,,,,,,
"80004400001147","Nodes","1147",21.000000,34.405885,"Default Known Flow Node","Known Flow",448939.905000,167678.695000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"80004400003180","Nodes","3180",21.000000,34.080420,"DDS demands","Known Flow",450604.936250,168195.382500,,0.000000,,,,,,,-3.459999,,,,,,,,-3.093993,-3.459999,,"",,,,,,,"D1 PROFILE",,,,,,,
"80004400003181","Nodes","3181",21.000000,34.049491,"DDS demands","Known Flow",450609.342500,168123.335625,,0.000000,,,,,,,-10.339999,,,,,,,,-9.246211,-10.339999,,"",,,,,,,"D1 PROFILE",,,,,,,
"800044-166","Nodes","-166",21.000000,34.496035,"Default Known Flow Node","Known Flow",446055.905000,165359.820000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"80004400000703","Nodes","703",21.000000,25.329527,"DDS demands","Known Flow",448380.405000,167929.445000,,0.000000,,,,,,,-3.940000,,,,,,,,-3.523218,-3.940000,,"",,,,,,,"D1 PROFILE",,,,,,,
"80004400001038","Nodes","1038,  45757/01, ""KILN ROAD"", 15.88",24.000000,24.755632,"CSEP DDS Matched","Known Flow",448237.155000,168057.445000,,0.000000,,,,,,,,-15.880000,,,,,,,-14.200179,-15.880000,,"",,,,,,,,"DC PROFILE",,,,,,
"80004400008000","Nodes","Logge ID unknown, Conway Close",21.000000,30.669155,"Val Log Cath","Known Flow",450870.155000,168239.695000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
