"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)"
"80006900000410","Nodes","410","21.000000","25.863041","DDS demands","Known Flow","459869.109291","180619.708358","","0.000000","-3.680000","","-1.980000","","-5.579999","","","","","","-10.051008","-11.239999","","","C1 PROFILE","","C3 PROFILE","","D1 PROFILE","","","","",""
"80006900000427","Nodes","427","21.000000","26.055962","DDS demands","Known Flow","459856.627287","180638.404363","","0.000000","-14.619999","","-7.580000","","-10.679999","","","","","","-29.401884","-32.879998","","","C1 PROFILE","","C3 PROFILE","","D1 PROFILE","","","","",""
"80006900000388","Nodes","388","21.000000","27.505268","DDS demands","Known Flow","459888.815296","180776.018401","","0.000000","-5.929999","","","-12.590000","-5.119999","","","","","","-21.139312","-23.640000","","","C1 PROFILE","","","C4 PROFILE","D1 PROFILE","","","","",""
"80006900000433","Nodes","433","21.000000","31.458555","DDS demands","Known Flow","458990.576103","183660.187950","","0.000000","","","","","-3.819999","","","","","","-3.415912","-3.819999","","","","","","","D1 PROFILE","","","","",""
"80006900000448","Nodes","448","21.000000","31.054021","DDS demands","Known Flow","458960.617043","183723.557203","","0.000000","","","","","-7.760000","","","","","","-6.939131","-7.760000","","","","","","","D1 PROFILE","","","","",""
"80006900000435","Nodes","435","21.000000","31.457577","Default Known Flow Node","Known Flow","459004.319130","183665.183666","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80006900000429","Nodes","429","21.000000","31.596313","DDS demands","Known Flow","458921.600033","183630.213177","","0.000000","","","","","-17.809999","","","","","","-15.926020","-17.809999","","","","","","","D1 PROFILE","","","","",""
"80006900000417","Nodes","417","21.000000","33.248526","DDS demands","Known Flow","459128.821309","183547.942756","","0.000000","","","","","-15.310000","","","","","","-13.690476","-15.310000","","","","","","","D1 PROFILE","","","","",""
"80006900000420","Nodes","420","21.000000","33.449217","DDS demands","Known Flow","459135.979824","183508.528117","","0.000000","","","","","-2.390000","","","","","","-2.137181","-2.390000","","","","","","","D1 PROFILE","","","","",""
"80006900000411","Nodes","411","21.000000","33.869051","Default Known Flow Node","Known Flow","459170.060102","183558.795423","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80006900002336","Nodes","2336","21.000000","33.826389","Default Known Flow Node","Known Flow","459170.124551","183554.832894","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80006900000414","Nodes","414","21.000000","33.150093","DDS demands","Known Flow","459244.302121","183393.837113","","0.000000","","","","","-7.940000","","","","","","-7.100090","-7.940000","","","","","","","D1 PROFILE","","","","",""
"80006900000362","Nodes","362","21.000000","34.247060","DDS demands","Known Flow","459170.508432","183570.643351","","0.000000","","","","","-10.739999","","","","","","-9.603899","-10.739999","","","","","","","D1 PROFILE","","","","",""
"80006900000386","Nodes","386","21.000000","29.641076","DDS demands","Known Flow","459311.407139","183619.700175","","0.000000","","","","","-8.260000","","","","","","-7.386240","-8.260000","","","","","","","D1 PROFILE","","","","",""
"80006900000364","Nodes","364","21.000000","31.078302","DDS demands","Known Flow","459276.529114","183607.753056","","0.000000","","","","","-2.580000","","","","","","-2.307082","-2.580000","","","","","","","D1 PROFILE","","","","",""
"80006900000366","Nodes","Maximo Ref: 315759","21.000000","30.779864","Point Loads","Known Flow","459284.205208","183571.424870","","0.000000","","","","","","","","-8.960000","","","-8.012192","-8.960000","","","","","","","","","","PL-AF PROFILE","",""
"80006900000369","Nodes","369","21.000000","30.740130","DDS demands","Known Flow","459232.986117","183552.971156","","0.000000","","","","","-4.429999","","","","","","-3.961385","-4.429999","","","","","","","D1 PROFILE","","","","",""
"80006900000380","Nodes","380","21.000000","30.742820","DDS demands","Known Flow","459295.441134","183535.607152","","0.000000","","","","","-3.229999","","","","","","-2.888323","-3.229999","","","","","","","D1 PROFILE","","","","",""
"80006900001333","Nodes","1333","21.000000","31.560685","Default Known Flow Node","Known Flow","459272.105128","183605.260171","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80006900000354","Nodes","354","21.000000","47.746719","DDS demands","Known Flow","459127.457162","183720.397553","","0.000000","","","","","-2.079999","","","","","","-1.859973","-2.079999","","","","","","","D1 PROFILE","","","","",""
"80006900000345","Nodes","345","21.000000","49.632095","DDS demands","Known Flow","459095.660029","183811.319839","","0.000000","","","","","-7.649999","","","","","","-6.840766","-7.649999","","","","","","","D1 PROFILE","","","","",""
"80006900000359","Nodes","359","21.000000","47.770263","DDS demands","Known Flow","459073.008868","183700.050869","","0.000000","","","","","-2.750000","","","","","","-2.459099","-2.750000","","","","","","","D1 PROFILE","","","","",""
"80006900000338","Nodes","338","21.000000","54.302983","DDS demands","Known Flow","459016.258058","184009.091280","","0.000000","","","","","-50.020000","","","","","","-44.728781","-50.020000","","","","","","","D1 PROFILE","","","","",""
"80006900000314","Nodes","314","21.000000","56.784887","DDS demands","Known Flow","459006.960480","184074.832536","","0.000000","","","","","-5.559999","","","","","","-4.971851","-5.559999","","","","","","","D1 PROFILE","","","","",""
"80006900000336","Nodes","336","21.000000","55.942412","DDS demands","Known Flow","458811.018003","184029.820286","","0.000000","","","","","-9.149999","","","","","","-8.182093","-9.149999","","","","","","","D1 PROFILE","","","","",""
"80006900000279","Nodes","279","21.000000","63.043107","Default Known Flow Node","Known Flow","459011.686652","184222.387019","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80006900000284","Nodes","284","21.000000","61.029368","DDS demands","Known Flow","458822.357588","184203.420674","","0.000000","","-25.189999","","","-4.790000","","","","","","-26.808652","-29.980000","","","","C2 PROFILE","","","D1 PROFILE","","","","",""
"80006900000297","Nodes","297","21.000000","61.012909","Default Known Flow Node","Known Flow","458775.200754","184069.938318","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
