"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-DC)"
"80120800000038","Nodes","38",21.000000,27.458752,"DDS demands","Known Flow",464354.392511,181749.826666,,0.000000,,,,,-15.140000,,-13.538459,-15.140000,,"",,,,,"D1 PROFILE",
"80120800278625","Nodes","-278625",21.000000,27.458752,"Default Known Flow Node","Known Flow",464368.267515,181755.701667,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80120800000135","Nodes","P11126775, WOOD GREEN, WOODCOTE, 10.52",0.000000,27.242118,"CSEP DDS Matched","Known Flow",464344.572350,181917.346414,,0.000000,,,,,,-10.520000,-9.407172,-10.520000,,"",,,,,,"DC PROFILE"
"80120800000014","Nodes","14",21.000000,35.124754,"DDS demands","Known Flow",464049.517428,181978.326728,,0.000000,,,,,-8.270000,,-7.395182,-8.270000,,"",,,,,"D1 PROFILE",
"80120800010726","Nodes","-10726",21.000000,35.124754,"Default Known Flow Node","Known Flow",464047.017427,181963.076724,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80120800262483","Nodes","-262483",21.000000,35.127129,"Default Known Flow Node","Known Flow",464058.142430,181991.451731,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80120800010727","Nodes","-10727",21.000000,35.259467,"Default Known Flow Node","Known Flow",464080.517437,181980.076728,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80120800000027","Nodes","27",21.000000,27.243639,"DDS demands","Known Flow",464232.892478,181944.951719,,0.000000,,,,,-4.280000,,-3.827252,-4.280000,,"",,,,,"D1 PROFILE",
"80120800000103","Nodes","103",21.000000,27.234205,"DDS demands","Known Flow",464280.392491,181942.951718,,0.000000,,,,,-1.169999,,-1.046234,-1.169999,,"",,,,,"D1 PROFILE",
"80120800000033","Nodes","33",21.000000,28.978807,"DDS demands","Known Flow",464486.392547,181627.076632,,0.000000,,,,,-20.739999,,-18.546079,-20.739999,,"",,,,,"D1 PROFILE",
"80120800000059","Nodes","59",21.000000,25.282435,"DDS demands","Known Flow",464180.767464,181816.076684,,0.000000,,,,,-8.159999,,-7.296817,-8.159999,,"",,,,,"D1 PROFILE",
"80120800000057","Nodes","57",21.000000,25.874800,"DDS demands","Known Flow",464233.392478,181837.701690,,0.000000,,,,,-8.630000,,-7.717100,-8.630000,,"",,,,,"D1 PROFILE",
"80120800000039","Nodes","39",21.000000,27.284603,"DDS demands","Known Flow",464238.767480,181738.826663,,0.000000,,,,,-14.399999,,-12.876737,-14.399999,,"",,,,,"D1 PROFILE",
"80120800000056","Nodes","56",21.000000,26.938575,"DDS demands","Known Flow",464400.642524,181974.451727,,0.000000,,,,,-4.320000,,-3.863021,-4.320000,,"",,,,,"D1 PROFILE",
"80120800000053","Nodes","53",21.000000,27.608394,"DDS demands","Known Flow",464432.267532,181884.326702,,0.000000,-3.499999,,,,-0.389999,,-3.478507,-3.889999,,"","C1 PROFILE",,,,"D1 PROFILE",
"80120800000037","Nodes","37",21.000000,27.618249,"DDS demands","Known Flow",464435.517533,181869.076698,,0.000000,,,,,-12.319999,,-11.016764,-12.319999,,"",,,,,"D1 PROFILE",
"80120800000137","Nodes","137",21.000000,27.606333,"DDS demands","Known Flow",464518.392556,181879.076701,,0.000000,,,,,-1.809999,,-1.618534,-1.809999,,"",,,,,"D1 PROFILE",
"80120800000032","Nodes","32",21.000000,29.785820,"DDS demands","Known Flow",464500.106827,181566.818858,,0.000000,,,,,-15.959999,,-14.271717,-15.959999,,"",,,,,"D1 PROFILE",
"80120800000091","Nodes","91",21.000000,23.324157,"DDS demands","Known Flow",464574.017571,181707.951654,,0.000000,,,,,-2.059999,,-1.842088,-2.059999,,"",,,,,"D1 PROFILE",
"80120810000001","Nodes","1",21.000000,23.430355,"Default Known Flow Node","Known Flow",464607.017580,181673.076645,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80120800000088","Nodes","88",21.000000,22.205133,"DDS demands","Known Flow",464664.017595,181654.701640,,0.000000,,,,,-6.849999,,-6.125392,-6.849999,,"",,,,,"D1 PROFILE",
"80120800000089","Nodes","89",21.000000,21.984918,"DDS demands","Known Flow",464637.142588,181686.201648,,0.000000,,,,,-4.999999,,-4.471089,-4.999999,,"",,,,,"D1 PROFILE",
"80120800000130","Nodes","130",21.000000,24.590180,"Default Known Flow Node","Known Flow",464674.392598,181748.326665,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80120800000121","Nodes","121",21.000000,24.590180,"DDS demands","Known Flow",464670.143005,181748.368328,,0.000000,,,,,-7.519999,,-6.724518,-7.519999,,"",,,,,"D1 PROFILE",
"80120800000131","Nodes","131",21.000000,24.537127,"Default Known Flow Node","Known Flow",464681.517600,181791.826677,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80120800000086","Nodes","86",21.000000,21.983591,"DDS demands","Known Flow",464695.392604,181650.451639,,0.000000,,,,,-6.800000,,-6.080681,-6.800000,,"",,,,,"D1 PROFILE",
"80120800000087","Nodes","87",21.000000,21.818878,"DDS demands","Known Flow",464714.892609,181696.201651,,0.000000,,,,,-3.069999,,-2.745248,-3.069999,,"",,,,,"D1 PROFILE",
"80120800278679","Nodes","-278679",21.000000,21.552926,"Default Known Flow Node","Known Flow",464774.267625,181705.451654,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80120800000044","Nodes","44",21.000000,21.552926,"DDS demands","Known Flow",464774.017625,181695.326651,,0.000000,,,,,-6.530000,,-5.839243,-6.530000,,"",,,,,"D1 PROFILE",
"80120800278683","Nodes","-278683",21.000000,21.422006,"Default Known Flow Node","Known Flow",464785.267628,181795.701678,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
