"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C3)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)"
"60605400000050","Nodes","50","21.000000","37.091323","DDS demands","Known Flow","382883.000000","812448.625000","","0.000000","","","-7.659999","","","-6.849708","-7.659999","","","","","D1 PROFILE","",""
"60605400000049","Nodes","49","21.000000","37.386351","DDS demands","Known Flow","382840.750000","812398.875000","","0.000000","","","-10.580000","","","-9.460826","-10.580000","","","","","D1 PROFILE","",""
"60605400000003","Nodes","P08117082, Tor Ecosse Dev, 9.60","22.999998","47.003240","CSEP DDS Matched","Known Flow","382840.266664","812516.180546","","0.000000","","","","-9.600000","","-8.584492","-9.600000","","","","","","DC PROFILE",""
"60605400000005","Nodes","5","21.000000","47.375935","DDS demands","Known Flow","382874.125000","812497.250000","","0.000000","","","-8.890000","","","-7.949597","-8.890000","","","","","D1 PROFILE","",""
"60605400000002","Nodes","2","21.000000","48.944704","DDS demands","Known Flow","382947.156607","812472.298354","","0.000000","","","-3.819999","","","-3.415912","-3.819999","","","","","D1 PROFILE","",""
"60605400000001","Nodes","BLACKBURN DG, No Clocks/Constant, SITE ID 1227","21.000000","49.999998","Default Known Pressure Node","Known Pressure","382950.250000","812467.000000","","999998.967025","","","","","","165.197804","184.740006","","","","","","",""
"60605400000051","Nodes","51","21.000000","37.385217","DDS demands","Known Flow","382866.125000","812392.375000","","0.000000","","","-0.790000","","","-0.706432","-0.790000","","","","","D1 PROFILE","",""
"60605400000018","Nodes","18","21.000000","35.122588","DDS demands","Known Flow","382579.238788","813083.562804","","0.000000","","","-13.149999","","","-11.758964","-13.149999","","","","","D1 PROFILE","",""
"60605400000017","Nodes","17","21.000000","35.446498","DDS demands","Known Flow","382567.175707","813085.604248","","0.000000","","","-10.689999","","","-9.559189","-10.689999","","","","","D1 PROFILE","",""
"60605400000006","Nodes","6","21.000000","46.715729","DDS demands","Known Flow","382802.750000","812537.125000","","0.000000","","","-1.320000","","","-1.180367","-1.320000","","","","","D1 PROFILE","",""
"60605400000012","Nodes","12","21.000000","38.917504","DDS demands","Known Flow","382980.000000","812666.125000","","0.000000","","","-12.830000","","","-11.472815","-12.830000","","","","","D1 PROFILE","",""
"60605400000011","Nodes","11","21.000000","40.585355","DDS demands","Known Flow","382869.000000","812611.625000","","0.000000","","","-19.819999","","","-17.723398","-19.819999","","","","","D1 PROFILE","",""
"60605400000042","Nodes","42","21.000000","36.879272","DDS demands","Known Flow","382808.000000","812987.625000","","0.000000","","","-12.350000","","","-11.043591","-12.350000","","","","","D1 PROFILE","",""
"60605400000043","Nodes","43","21.000000","36.772312","DDS demands","Known Flow","382779.625000","812986.500000","","0.000000","","","-7.949999","","","-7.109032","-7.949999","","","","","D1 PROFILE","",""
"60605400000044","Nodes","44","21.000000","38.920385","DDS demands","Known Flow","382736.250000","812881.000000","","0.000000","","","-22.790001","","","-20.379228","-22.790001","","","","","D1 PROFILE","",""
"60605400000030","Nodes","30","21.000000","32.087040","DDS demands","Known Flow","382697.250000","812987.875000","","0.000000","","","-9.580000","","","-8.566607","-9.580000","","","","","D1 PROFILE","",""
"60605400000032","Nodes","32","21.000000","31.107121","DDS demands","Known Flow","382746.000000","812953.000000","","0.000000","","","-15.460000","","","-13.824608","-15.460000","","","","","D1 PROFILE","",""
"60605400000025","Nodes","25","21.000000","40.570359","DDS demands","Known Flow","382620.875000","812954.625000","","0.000000","","","-8.050000","","","-7.198454","-8.050000","","","","","D1 PROFILE","",""
"60605400000026","Nodes","26","21.000000","40.318317","DDS demands","Known Flow","382659.487681","812954.893966","","0.000000","","","-7.409999","","","-6.626154","-7.409999","","","","","D1 PROFILE","",""
"60605400000024","Nodes","24","21.000000","44.108293","DDS demands","Known Flow","382634.498009","812908.130388","","0.000000","-16.819999","","-8.749999","","","-22.865152","-25.569999","","","C3 PROFILE","","D1 PROFILE","",""
"60605400000046","Nodes","46","21.000000","40.789840","DDS demands","Known Flow","382694.375000","812887.500000","","0.000000","","","-6.780000","","","-6.062797","-6.780000","","","","","D1 PROFILE","",""
"60605400001027","Nodes","1027","21.000000","40.576523","Default Known Flow Node","Known Flow","382685.125000","812853.500000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60605400000057","Nodes","57","21.000000","31.184361","DDS demands","Known Flow","382718.500000","812676.250000","","0.000000","","","-27.189999","","","-24.313783","-27.189999","","","","","D1 PROFILE","",""
"60605400001029","Nodes","1029","21.000000","45.348799","Default Known Flow Node","Known Flow","382763.250000","812561.125000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60605400000014","Nodes","14","21.000000","40.504589","DDS demands","Known Flow","382861.875000","812585.875000","","0.000000","","","-7.259999","","","-6.492022","-7.259999","","","","","D1 PROFILE","",""
"60605400000010","Nodes","10","21.000000","44.392500","DDS demands","Known Flow","382930.375000","812593.500000","","0.000000","","","-2.279999","","","-2.038816","-2.279999","","","","","D1 PROFILE","",""
"60605400000013","Nodes","13","21.000000","44.364526","DDS demands","Known Flow","382957.750000","812621.750000","","0.000000","","","-3.209999","","","-2.870439","-3.209999","","","","","D1 PROFILE","",""
"60605400000009","Nodes","9","21.000000","45.081137","DDS demands","Known Flow","382939.250000","812589.625000","","0.000000","","","-1.570000","","","-1.403922","-1.570000","","","","","D1 PROFILE","",""
"60605400000015","Nodes","15","21.000000","44.984414","DDS demands","Known Flow","382931.750000","812546.125000","","0.000000","","","-3.359999","","","-3.004572","-3.359999","","","","","D1 PROFILE","",""
