"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)"
"60212200000024","Nodes","24","21.000000","28.192218","DDS demands","Known Flow","319591.400000","720628.365000","","0.000000","-5.179999","","","-4.632048","-5.179999","","","D1 PROFILE","",""
"60212200000039","Nodes","39","21.000000","38.063555","DDS demands","Known Flow","319424.525000","720933.490000","","0.000000","-5.389999","","","-4.819834","-5.389999","","","D1 PROFILE","",""
"60212200000067","Nodes","-10","21.000000","32.686609","Default Known Flow Node","Known Flow","319650.775000","720684.615000","","0.000000","","","","0.000000","0.000000","","","","",""
"60212200000072","Nodes","-1462480","21.000000","32.643594","Default Known Flow Node","Known Flow","319712.025000","720637.115000","","0.000000","","","","0.000000","0.000000","","","","",""
"60212200000066","Nodes","St Madoes DG, Tel, Constant, Site ID 1709","21.000000","49.999998","Default Known Pressure Node","Known Pressure","319752.814308","721132.511682","","999998.967025","","","","312.332379","349.279995","","","","",""
"60212200000001","Nodes","1","21.000000","49.675188","Default Known Flow Node","Known Flow","319745.440090","721121.547470","","0.000000","","","","0.000000","0.000000","","","","",""
"60212200000073","Nodes","-1462484","21.000000","49.717012","Default Known Flow Node","Known Flow","319762.695033","721023.207554","","0.000000","","","","0.000000","0.000000","","","","",""
"60212200000079","Nodes","-15","21.000000","32.393007","Default Known Flow Node","Known Flow","319394.052347","720766.855583","","0.000000","","","","0.000000","0.000000","","","","",""
"60212200000068","Nodes","-1462468","21.000000","28.192218","Default Known Flow Node","Known Flow","319573.618750","720642.302500","","0.000000","","","","0.000000","0.000000","","","","",""
"60212200000023","Nodes","23","21.000000","28.465358","DDS demands","Known Flow","319523.046295","720684.231156","","0.000000","-5.189999","","","-4.640990","-5.189999","","","D1 PROFILE","",""
"60212200000074","Nodes","-1462486","21.000000","32.349978","Default Known Flow Node","Known Flow","319359.579292","720729.176277","","0.000000","","","","0.000000","0.000000","","","","",""
"60212200000071","Nodes","-1462477","21.000000","46.464900","Default Known Flow Node","Known Flow","319657.087500","720920.927500","","0.000000","","","","0.000000","0.000000","","","","",""
"60212200000077","Nodes","-1462491","21.000000","36.655365","DDS demands","Known Flow","319280.680698","720890.427729","","0.000000","-8.680000","","","-7.761811","-8.680000","","","D1 PROFILE","",""
"60212200000070","Nodes","-1462475","21.000000","28.465358","Default Known Flow Node","Known Flow","319552.738780","720682.970680","","0.000000","","","","0.000000","0.000000","","","","",""
"60212200000084","Nodes","-6","21.000000","35.935894","DDS demands","Known Flow","319387.723063","720922.801080","","0.000000","-7.070000","","","-6.322121","-7.070000","","","D1 PROFILE","",""
"60212200000065","Nodes","-30","21.000000","45.547897","Default Known Flow Node","Known Flow","319441.252511","721147.771534","","0.000000","","","","0.000000","0.000000","","","","",""
"60212200000053","Nodes","","21.000000","49.843320","DDS demands","Known Flow","319761.592538","721126.038239","","0.000000","-7.869999","","","-7.037494","-7.869999","","","D1 PROFILE","",""
"60212200000063","Nodes","","21.000000","49.678266","Default Known Flow Node","Known Flow","319751.548193","721109.314223","","0.000000","","","","0.000000","0.000000","","","","",""
"60212200000062","Nodes","","21.000000","49.843320","Default Known Flow Node","Known Flow","319763.444085","721126.304207","","0.000000","","","","0.000000","0.000000","","","","",""
"60212200000064","Nodes","","21.000000","49.678266","Default Known Flow Node","Known Flow","319723.148869","721105.242242","","0.000000","","","","0.000000","0.000000","","","","",""
