"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"60201600002188","Nodes","2188,","21.000000","27.554493","DDS demands","Known Flow","313224.785496","680496.829945","","0.000000","","","","","-1.129999","","","","","","-1.010466","-1.129999","","","","","","","D1 PROFILE","","","","",""
"60201600002178","Nodes","2178,","21.000000","27.396489","Default Known Flow Node","Known Flow","313227.095251","680487.000545","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600000162","Nodes","162,","21.000000","23.822785","DDS demands","Known Flow","313346.310420","680456.014368","","0.000000","-31.999999","","","","-31.360000","","","","","","-56.657647","-63.359997","","","C1 PROFILE","","","","D1 PROFILE","","","","",""
"60201600000154","Nodes","154,","21.000000","25.638583","DDS demands","Known Flow","312811.772275","680562.575397","","0.000000","","","","","-7.070000","","","","","","-6.322121","-7.070000","","","","","","","D1 PROFILE","","","","",""
"60201600000170","Nodes","170,","21.000000","24.654836","DDS demands","Known Flow","312731.657253","680723.498441","","0.000000","","","","","-22.709999","","","","","","-20.307688","-22.709999","","","","","","","D1 PROFILE","","","","",""
"60201600002370","Nodes","2370,","21.000000","26.703024","Default Known Flow Node","Known Flow","312853.960936","680635.283161","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600000152","Nodes","152,","21.000000","26.459267","DDS demands","Known Flow","312874.581552","680577.537215","","0.000000","","","","","-27.999999","","","","","","-25.038100","-27.999999","","","","","","","D1 PROFILE","","","","",""
"60201600002322","Nodes","2322,","21.000000","26.809460","Default Known Flow Node","Known Flow","312920.333972","680550.814512","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600002331","Nodes","2331,","21.000000","25.299543","Default Known Flow Node","Known Flow","312731.882253","680556.513395","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600000284","Nodes","284,","21.000000","24.761636","DDS demands","Known Flow","312658.458857","680653.930770","","0.000000","","","","","-6.139999","","","","","","-5.490497","-6.139999","","","","","","","D1 PROFILE","","","","",""
"60201600000631","Nodes","631,","21.000000","24.635932","DDS demands","Known Flow","312644.777229","680707.317436","","0.000000","","","","","-6.530000","","","","","","-5.839243","-6.530000","","","","","","","D1 PROFILE","","","","",""
"60201600000149","Nodes","149,","21.000000","30.369264","DDS demands","Known Flow","312996.465968","680888.736952","","0.000000","","","","","-37.910001","","","","","","-33.899803","-37.910001","","","","","","","D1 PROFILE","","","","",""
"60201600000312","Nodes","312,","21.000000","29.924336","DDS demands","Known Flow","312935.661308","680894.559487","","0.000000","","","","","-17.940000","","","","","","-16.042270","-17.940000","","","","","","","D1 PROFILE","","","","",""
"60201600000313","Nodes","313,","21.000000","28.871008","DDS demands","Known Flow","312871.451291","680947.942502","","0.000000","","","","","-15.129999","","","","","","-13.529516","-15.129999","","","","","","","D1 PROFILE","","","","",""
