"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)"
"60200700000389","Nodes","389","21.000000","31.551259","DDS demands","Known Flow","359255.953913","760673.225196","","0.000000","","","","","","","-4.169999","","","","-3.728888","-4.169999","","","","","","","","","D1 PROFILE","","",""
"60200700002389","Nodes","2389","21.000000","35.156702","Default Known Flow Node","Known Flow","359363.135942","760652.245190","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700000441","Nodes","441","21.000000","34.725753","DDS demands","Known Flow","359343.455936","760669.699195","","0.000000","","","","","","","-11.310000","","","","-10.113604","-11.310000","","","","","","","","","D1 PROFILE","","",""
"60200700002393","Nodes","2393","21.000000","35.387444","Default Known Flow Node","Known Flow","359422.464958","760831.875239","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700002440","Nodes","2440","21.000000","28.248749","Default Known Flow Node","Known Flow","359779.129357","760529.126356","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700002449","Nodes","2449","21.000000","36.161322","DDS demands","Known Flow","359561.445545","760707.014879","","0.000000","","","","","","","-8.660000","","","","-7.743927","-8.660000","","","","","","","","","D1 PROFILE","","",""
"60200700000443","Nodes","443","21.000000","34.459164","DDS demands","Known Flow","359534.650988","760813.171234","","0.000000","","","","","","","-9.029999","","","","-8.074787","-9.029999","","","","","","","","","D1 PROFILE","","",""
"60200700000190","Nodes","190","21.000000","37.562320","Default Known Flow Node","Known Flow","359522.434985","760970.366276","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700002394","Nodes","2394","21.000000","38.544287","Default Known Flow Node","Known Flow","359531.227987","760897.023257","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700000333","Nodes","333","21.000000","38.544287","Default Known Flow Node","Known Flow","359531.608608","760895.246673","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700000436","Nodes","436","21.000000","34.763997","Default Known Flow Node","Known Flow","359644.317018","760530.945157","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700000437","Nodes","437","21.000000","34.629885","DDS demands","Known Flow","359636.905526","760534.692381","","0.000000","","-17.440000","","","","","","","","","-15.595160","-17.440000","","","","C2 PROFILE","","","","","","","",""
"60200700000438","Nodes","438","21.000000","34.807280","Default Known Flow Node","Known Flow","359636.322016","760513.880152","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700002414","Nodes","2414","21.000000","35.996971","Default Known Flow Node","Known Flow","359690.630031","760614.069180","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700000475","Nodes","475","21.000000","35.945309","DDS demands","Known Flow","359701.629034","760638.281186","","0.000000","","","","","","","-2.939999","","","","-2.629000","-2.939999","","","","","","","","","D1 PROFILE","","",""
