"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"60203400002769","Nodes","","21.000000","36.748414","Default Known Flow Node","Known Flow","321765.978711","695562.466478","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400002771","Nodes","-200","21.000000","42.112489","Default Known Flow Node","Known Flow","322060.834791","695201.040380","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400002761","Nodes","-181","21.000000","37.524244","Default Known Flow Node","Known Flow","322268.080848","695120.004358","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400001003","Nodes","1003","21.000000","36.543403","DDS demands","Known Flow","321679.014954","694886.024561","","0.000000","","","","","","","-8.439999","","","","","","","-7.547198","-8.439999","","","","","","","","","D1 PROFILE","","","","","",""
"60203400001008","Nodes","1008","21.000000","30.190118","DDS demands","Known Flow","321906.353749","695677.466510","","0.000000","","","","","","","-5.010000","","","","","","","-4.480031","-5.010000","","","","","","","","","D1 PROFILE","","","","","",""
"60203400001002","Nodes","1002","21.000000","30.845558","Default Known Flow Node","Known Flow","321802.496746","695713.269297","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400000040","Nodes","40","21.000000","30.934857","DDS demands","Known Flow","321744.423766","695823.166714","","0.000000","","","","","","","-3.130000","","","","","","","-2.798902","-3.130000","","","","","","","","","D1 PROFILE","","","","","",""
"60203400000308","Nodes","308, P000107166, P07113476 (CPM1174), Jamphlars Road, (FY1 -160.71 & FY5 -205.67 SCMHS)","25.500000","26.778433","CSEP DDS Matched","Known Flow","321168.545098","695802.670181","","0.000000","","","","","-55.479999","","","-150.179988","","","","","","-183.904844","-205.659997","","","","","","","CC PROFILE","","","DC PROFILE","","","","",""
"60203400000053","Nodes","053","21.000000","48.266086","Default Known Flow Node","Known Flow","322123.040105","695046.166566","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400002633","Nodes","","21.000000","37.634505","Default Known Flow Node","Known Flow","321762.858485","694827.355372","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
