"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(I2)"
"60206100000294","Nodes","294","21.000000","27.197507","Default Known Flow Node","Known Flow","340743.216875","726964.231023","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100009057","Nodes","9057","21.000000","26.544132","Default Known Flow Node","Known Flow","340592.026834","726885.932002","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100000154","Nodes","154","21.000000","27.866871","Default Known Flow Node","Known Flow","340523.770815","726799.392978","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100009062","Nodes","9062","21.000000","26.537144","Default Known Flow Node","Known Flow","340590.346833","726896.631005","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100009063","Nodes","9063","21.000000","26.537144","Default Known Flow Node","Known Flow","340584.500832","726897.910005","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100009058","Nodes","9058","21.000000","26.537144","Default Known Flow Node","Known Flow","340593.789834","726886.439002","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100009060","Nodes","9060","21.000000","26.479490","Default Known Flow Node","Known Flow","340608.012534","726891.561015","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100009053","Nodes","9053","21.000000","26.761783","Default Known Flow Node","Known Flow","340592.559834","726866.131996","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100009061","Nodes","9061","21.000000","26.470367","Default Known Flow Node","Known Flow","340610.245499","726892.420426","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100009065","Nodes","9065","21.000000","26.465890","Default Known Flow Node","Known Flow","340609.907528","726900.837420","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100009066","Nodes","9066","21.000000","26.465890","Default Known Flow Node","Known Flow","340604.823837","726903.579007","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100009056","Nodes","9056","21.000000","26.474255","Default Known Flow Node","Known Flow","340622.629258","726881.220586","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100009005","Nodes","9005","21.000000","27.275653","Default Known Flow Node","Known Flow","340818.412643","726956.100798","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100000052","Nodes","52,","21.000000","27.279670","DDS demands","Known Flow","340823.463400","726959.995877","","0.000000","","","","","","-23.350000","","-20.879987","-23.350000","","","","","","","","D1 PROFILE",""
"60206100000257","Nodes","257","21.000000","26.449040","DDS demands","Known Flow","341051.177589","727041.078347","","0.000000","","","","","","-8.199999","","-7.332586","-8.199999","","","","","","","","D1 PROFILE",""
"60206100000256","Nodes","256","21.000000","26.654543","DDS demands","Known Flow","341039.813047","727064.788724","","0.000000","","","","","","-11.270000","","-10.077835","-11.270000","","","","","","","","D1 PROFILE",""
"60206100000242","Nodes","242","21.000000","26.316218","DDS demands","Known Flow","341426.565139","727139.255060","","0.000000","","","","","","-0.970000","","-0.867391","-0.970000","","","","","","","","D1 PROFILE",""
"60206100000241","Nodes","241","21.000000","26.107325","Default Known Flow Node","Known Flow","341363.895234","727090.871492","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100009014","Nodes","9014","21.000000","24.776994","Default Known Flow Node","Known Flow","341416.782679","727193.786679","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100000161","Nodes","161","21.000000","25.043643","DDS demands","Known Flow","341397.547445","727223.857974","","0.000000","","","","","","-17.440000","","-15.595160","-17.440000","","","","","","","","D1 PROFILE",""
"60206100009008","Nodes","9008","21.000000","26.454607","Default Known Flow Node","Known Flow","341094.774791","727053.443276","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100000314","Nodes","314","21.000000","26.037807","Default Known Flow Node","Known Flow","341150.840083","727137.127231","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100000055","Nodes","55","21.000000","26.412397","DDS demands","Known Flow","341328.336672","727139.754584","","0.000000","","","","","","-6.409999","","-5.731936","-6.409999","","","","","","","","D1 PROFILE",""
"60206100009011","Nodes","9011","21.000000","26.398176","DDS demands","Known Flow","341330.376053","727137.285239","","0.000000","","","","","","-0.880000","","-0.786911","-0.880000","","","","","","","","D1 PROFILE",""
"60206100009016","Nodes","9016","21.000000","26.161654","Default Known Flow Node","Known Flow","341272.511632","727210.781436","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100009032","Nodes","9032","21.000000","25.124444","Default Known Flow Node","Known Flow","341393.844451","727224.684764","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100009010","Nodes","9010","21.000000","26.371579","Default Known Flow Node","Known Flow","341358.992491","727097.791479","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100000057","Nodes","57","21.000000","25.587659","DDS demands","Known Flow","341378.749469","727066.984885","","0.000000","","","","","","-8.399999","","-7.511430","-8.399999","","","","","","","","D1 PROFILE",""
"60206100009023","Nodes","9023","21.000000","24.854951","Default Known Flow Node","Known Flow","341396.500053","727225.653094","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100000059","Nodes","59","21.000000","26.155196","DDS demands","Known Flow","341333.424924","727247.120591","","0.000000","","","","","","-16.229999","","-14.513155","-16.229999","","","","","","","","D1 PROFILE",""
"60206100009007","Nodes","9007","21.000000","26.454607","Default Known Flow Node","Known Flow","341094.111971","727042.371044","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100000258","Nodes","258","21.000000","26.076859","DDS demands","Known Flow","341120.076280","727077.244836","","0.000000","","","","","","-5.820000","","-5.204348","-5.820000","","","","","","","","D1 PROFILE",""
"60206100009015","Nodes","9015","21.000000","26.147932","Default Known Flow Node","Known Flow","341270.069007","727209.385690","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100009012","Nodes","9012","21.000000","26.435499","Default Known Flow Node","Known Flow","341325.444470","727143.128921","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100009021","Nodes","9021","21.000000","26.433218","Default Known Flow Node","Known Flow","341357.781706","727099.353103","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100009028","Nodes","9028","21.000000","24.857811","Default Known Flow Node","Known Flow","341395.409800","727225.255548","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
