"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"60207400000126","Nodes","126","21.000000","48.253712","Default Known Flow Node","Known Flow","307413.010000","725571.855000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000128","Nodes","128","21.000000","48.478663","Default Known Flow Node","Known Flow","307403.010000","725566.855000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000037","Nodes","37","21.000000","46.448293","DDS demands","Known Flow","307460.260000","725725.480000","","0.000000","","","","","0.000000","","","","","","","0.000000","0.000000","","","","","","","D1 PROFILE","","","","","",""
"60207400000137","Nodes","137","21.000000","46.431328","Default Known Flow Node","Known Flow","307452.010000","725724.605000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000092","Nodes","-92","21.000000","48.002053","Default Known Flow Node","Known Flow","307430.385000","725583.105000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000138","Nodes","138","21.000000","46.264890","Default Known Flow Node","Known Flow","307444.635000","725714.355000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000112","Nodes","-112","21.000000","46.233007","Default Known Flow Node","Known Flow","307424.260000","725716.480000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000139","Nodes","139","21.000000","46.231495","DDS demands","Known Flow","307423.260000","725716.230000","","0.000000","","","-37.450000","","-2.710000","","","","","","","-35.911792","-40.159998","","","","","C3 PROFILE","","D1 PROFILE","","","","","",""
"60207401462574","Nodes","-1462574","21.000000","46.231495","Default Known Flow Node","Known Flow","307418.885000","725715.230000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207401462562","Nodes","-1462562","21.000000","49.299403","Default Known Flow Node","Known Flow","307354.885000","725592.355000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000084","Nodes","-84","21.000000","48.508466","Default Known Flow Node","Known Flow","307394.885000","725565.480000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
