"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"60606000000077","Nodes","77","21.000000","57.011967","DDS demands","Known Flow","273461.340567","846592.882575","","0.000000","","","","","-7.389999","","","","-6.608270","-7.389999","","","","","","","D1 PROFILE","","",""
"60606000000079","Nodes","79","21.000000","56.996610","DDS demands","Known Flow","273446.965563","846577.132571","","0.000000","","","","","-3.250000","","","","-2.906208","-3.250000","","","","","","","D1 PROFILE","","",""
"60606000000078","Nodes","78","21.000000","56.878915","DDS demands","Known Flow","273495.715576","846628.257585","","0.000000","","","","","-8.050000","","","","-7.198454","-8.050000","","","","","","","D1 PROFILE","","",""
"60606000000112","Nodes","112","21.000000","62.506348","DDS demands","Known Flow","273521.090583","846941.007670","","0.000000","","","","","-5.409999","","","","-4.837718","-5.409999","","","","","","","D1 PROFILE","","",""
"60606000000036","Nodes","36","21.000000","60.424962","DDS demands","Known Flow","273566.465596","846744.632616","","0.000000","","","","","-15.580000","","","","-13.931915","-15.580000","","","","","","","D1 PROFILE","","",""
"60606000000061","Nodes","61","21.000000","57.491430","DDS demands","Known Flow","273680.340627","846914.007663","","0.000000","","","","","-7.499999","","","","-6.706634","-7.499999","","","","","","","D1 PROFILE","","",""
"60606000000062","Nodes","62","21.000000","57.332429","DDS demands","Known Flow","273735.590642","846856.507647","","0.000000","","","","","-1.940000","","","","-1.734782","-1.940000","","","","","","","D1 PROFILE","","",""
"60606000000066","Nodes","66","21.000000","54.802312","DDS demands","Known Flow","273724.715639","846971.632678","","0.000000","","","","","-9.609999","","","","-8.593433","-9.609999","","","","","","","D1 PROFILE","","",""
"60606000000067","Nodes","67","21.000000","54.663609","DDS demands","Known Flow","273812.465663","846895.007657","","0.000000","","","","","-5.509999","","","","-4.927140","-5.509999","","","","","","","D1 PROFILE","","",""
"60606000000063","Nodes","63","21.000000","57.317162","DDS demands","Known Flow","273710.090635","846839.757642","","0.000000","","","","","-2.710000","","","","-2.423330","-2.710000","","","","","","","D1 PROFILE","","",""
"60606000000064","Nodes","64","21.000000","57.319903","DDS demands","Known Flow","273758.215648","846868.882650","","0.000000","","","","","-2.669999","","","","-2.387561","-2.669999","","","","","","","D1 PROFILE","","",""
"60606000000037","Nodes","37","21.000000","60.166776","DDS demands","Known Flow","273596.465604","846720.757610","","0.000000","","","","","-4.139999","","","","-3.702062","-4.139999","","","","","","","D1 PROFILE","","",""
