"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(TT)"
"60606100000072","Nodes","72","21.000000","51.297759","DDS demands","Known Flow","358616.625000","865954.750000","","0.000000","","","","","-9.661000","","","","","-8.639039","-9.661000","","","","","","","","D1 PROFILE","","","","",""
"60606100000069","Nodes","69","21.000000","55.154270","DDS demands","Known Flow","358514.000000","865915.875000","","0.000000","","","","","-10.244000","","","","","-9.160368","-10.244000","","","","","","","","D1 PROFILE","","","","",""
"60606100000070","Nodes","70","21.000000","54.970998","DDS demands","Known Flow","358461.750000","865938.375000","","0.000000","","","","","-5.328000","","","","","-4.764393","-5.328000","","","","","","","","D1 PROFILE","","","","",""
"60606100000068","Nodes","68","21.000000","55.348814","DDS demands","Known Flow","358548.250000","865973.750000","","0.000000","","","","","-2.020999","","","","","-1.807214","-2.020999","","","","","","","","D1 PROFILE","","","","",""
"60606100000079","Nodes","79","21.000000","54.725474","DDS demands","Known Flow","358523.500000","865992.500000","","0.000000","","","","","-3.810000","","","","-16.620000","-18.268872","-20.430000","","","","","","","","D1 PROFILE","","","","PL-AF PROFILE",""
"60606100000074","Nodes","74","21.000000","51.224806","DDS demands","Known Flow","358633.875000","865915.625000","","0.000000","","","","","-4.665000","","","","","-4.171526","-4.665000","","","","","","","","D1 PROFILE","","","","",""
"606061-37","Nodes","-37","21.000000","50.989515","Default Known Flow Node","Known Flow","358687.250000","865968.500000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60606100000073","Nodes","73","21.000000","50.892385","DDS demands","Known Flow","358697.875000","865959.250000","","0.000000","","","","","-8.475000","","","","","-7.578497","-8.475000","","","","","","","","D1 PROFILE","","","","",""
"606061-1462473","Nodes","-1462473","21.000000","50.989515","Default Known Flow Node","Known Flow","358706.000000","865988.250000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"606061-1462509","Nodes","-1462509","21.000000","59.185623","Default Known Flow Node","Known Flow","358723.500000","865769.250000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
