"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)"
"60207600003074","Nodes","3074","21.000000","35.590388","Default Known Flow Node","Known Flow","302355.356429","689357.737790","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207600003041","Nodes","3041","21.000000","23.625364","Default Known Flow Node","Known Flow","302032.381955","689103.230283","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207600003104","Nodes","3104","21.000000","24.259538","Default Known Flow Node","Known Flow","302111.347052","689107.444034","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207600003071","Nodes","3071","21.000000","33.074006","Default Known Flow Node","Known Flow","302489.714245","689347.548965","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207600003060","Nodes","3060","21.000000","26.365562","Default Known Flow Node","Known Flow","302002.677333","689247.437760","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207600000090","Nodes","90","21.000000","31.090405","DDS demands","Known Flow","302479.000760","689232.116876","","0.000000","","","","-11.609999","","","","","-10.381868","-11.609999","","","","","","D1 PROFILE","","","",""
"60207600000091","Nodes","91","21.000000","30.637877","DDS demands","Known Flow","302411.693047","689223.460642","","0.000000","","","","-13.990000","","","","","-12.510108","-13.990000","","","","","","D1 PROFILE","","","",""
"60207600000092","Nodes","92","21.000000","30.275084","DDS demands","Known Flow","302395.028429","689262.339007","","0.000000","","","","-9.819999","","","","","-8.781219","-9.819999","","","","","","D1 PROFILE","","","",""
"60207600000125","Nodes","125","21.000000","30.309003","DDS demands","Known Flow","302348.549379","689201.307207","","0.000000","","","","-13.090000","","","","","-11.705312","-13.090000","","","","","","D1 PROFILE","","","",""
"60207600000126","Nodes","126","21.000000","29.642007","DDS demands","Known Flow","302200.803387","689267.744766","","0.000000","","","","-10.430000","","","","","-9.326693","-10.430000","","","","","","D1 PROFILE","","","",""
"60207600003058","Nodes","3058","21.000000","29.729515","Default Known Flow Node","Known Flow","302261.191404","689261.636764","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207600003026","Nodes","3026","21.000000","34.499833","Default Known Flow Node","Known Flow","302316.184419","689314.915778","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207600000026","Nodes","26","21.000000","35.824594","DDS demands","Known Flow","302347.643427","689364.259792","","0.000000","","","","-2.039999","","","","","-1.824204","-2.039999","","","","","","D1 PROFILE","","","",""
"60207600000113","Nodes","113","21.000000","35.263971","DDS demands","Known Flow","302370.477433","689360.371791","","0.000000","-22.989998","","","-4.179999","","","","","-24.295899","-27.169997","","","C1 PROFILE","","","D1 PROFILE","","","",""
"60207600000112","Nodes","112","21.000000","35.394179","Default Known Flow Node","Known Flow","302378.560436","689427.010809","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207600003075","Nodes","3075","21.000000","35.305971","Default Known Flow Node","Known Flow","302368.730048","689360.606642","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207600003062","Nodes","3062","21.000000","35.394179","Default Known Flow Node","Known Flow","302401.940442","689434.293811","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
