"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-AF)"
"60210600000110","Nodes","-103488","21.000000","46.359599","DDS demands","Known Flow","325143.430654","722837.194438","","0.000000","","","-4.449999","","","","","-3.979269","-4.449999","","","","","C4 PROFILE","","","",""
"60210600000056","Nodes","56","21.000000","48.327837","Default Known Flow Node","Known Flow","324897.108750","723037.707500","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60210600000057","Nodes","57","21.000000","41.825540","DDS demands","Known Flow","325380.784425","722796.615397","","0.000000","","","","-0.399999","","","","-0.357687","-0.399999","","","","","","D1 PROFILE","","",""
"60210600000011","Nodes","11","21.000000","48.009347","DDS demands","Known Flow","325078.830197","722932.033948","","0.000000","","","","-5.980000","","","","-5.347423","-5.980000","","","","","","D1 PROFILE","","",""
"60210600000052","Nodes","52","21.000000","48.153911","DDS demands","Known Flow","325068.765000","722908.645000","","0.000000","","","","-1.159999","","","","-1.037292","-1.159999","","","","","","D1 PROFILE","","",""
"60210600000111","Nodes","","21.000000","42.877720","DDS demands","Known Flow","325296.140347","722826.066146","","0.000000","","","","-4.670000","","","","-4.175997","-4.670000","","","","","","D1 PROFILE","","",""
"60210600000044","Nodes","44","21.000000","42.863501","Default Known Flow Node","Known Flow","325250.403125","722853.236467","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60210600000112","Nodes","-103493","21.000000","42.863501","Default Known Flow Node","Known Flow","325255.050946","722861.260910","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60210600000021","Nodes","21","21.000000","42.850395","DDS demands","Known Flow","325266.234306","722875.393895","","0.000000","","","","-6.370000","","","","-5.696168","-6.370000","","","","","","D1 PROFILE","","",""
"60210600000115","Nodes","-103496","21.000000","42.054432","Default Known Flow Node","Known Flow","325374.498384","722791.196333","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60210600000025","Nodes","25","21.000000","40.739489","DDS demands","Known Flow","325400.326278","722890.305977","","0.000000","","","","-11.949999","","","","-10.685903","-11.949999","","","","","","D1 PROFILE","","",""
"60210600000028","Nodes","28","21.000000","37.594748","Default Known Flow Node","Known Flow","325607.885695","722994.803366","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
